"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","374360","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2007 - 2013","2007","Clackamas","Anvil Lake and Black Wolf Meadows","45.1513","-121.8567","1225","","","Nuphar polysepala Engelm. "
"image","dig4436","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Bruce Neil Newhouse","","May 25, 2003","2003","Wasco","Rowena","45.6725","-121.2672","","","","Nuphar polysepala Engelm. "
"observation","366629","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T., Dutoit, S.","","27 July 2008","2008","Linn","Unnamed Bog east of Parrish Lake","44.5530","-122.0331","1071","","","Nuphar polysepala Engelm. "
"image","dig17138","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Gerald D. Carr","","July 19, 2008","2008","Benton","Porter Lake, west side of,  near junction of Smith Loop and Hurlburt Road, S of Corvallis; 44.4477&#176; N -123.24529&#176; W","44.4477","-123.2453","","","","Nuphar polysepala Engelm. "
"image","dig42553","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Alexander Abair","","July 23, 2016","2016","Curry","Floras Lake State Natural Area; 48m; 42.863056&#176; N -124.521389&#176; W","42.8631","-124.5214","48","","","Nuphar polysepala Engelm. "
"image","dig42555","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Alexander Abair","","July 23, 2016","2016","Curry","Floras Lake State Natural Area; 48m; 42.863056&#176; N -124.521389&#176; W","42.8631","-124.5214","48","","","Nuphar polysepala Engelm. "
"observation","360176","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Bluhm, W., Marttala, V.","","2004 - 2008","2004","[Unknown]","Bull Run Watershed","45.4541","-122.0145","213","","","Nuphar polysepala Engelm. "
"observation","417575","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Bevis/Sandler Pond","45.7508","-122.8172","","","","Nuphar polysepala Engelm. "
"observation","383029","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Wilson, B., Otting, N.","","21 July 2009","2009","Baker","Anthony Lake, boat ramp","44.9586","-118.2295","2190","","","Nuphar polysepala Engelm. "
"observation","316445","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Salix Associates","","31 August 2006","2006","Lane","Beaver Marsh, Mink Lake Basin","43.9426","-121.9232","1387","","","Nuphar polysepala Engelm. "
"observation","306034","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Coberly, C., Mitchell, K., Wilson, B., Brainerd, R.","","17 July 2006","2006","Coos","Muddy Lake, East side of NE corner","42.9906","-124.4528","4","","","Nuphar polysepala Engelm. "
"observation","368297","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2005 - 2013","2005","Douglas","Fish Creek Valley","43.1052","-122.4104","1600","","","Nuphar polysepala Engelm. "
"observation","225734","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Mt. Hood NF botanist","","15 July 2004","2004","Clackamas","west end of West Goodfellow Lake; 02S 07E 05 NW SE","45.4240","-121.9740","878","","","Nuphar polysepala Engelm. "
"observation","308458","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Wilson, B.","","6 September 2006","2006","Curry","Floras Lake - 2006","42.9029","-124.5010","0","","","Nuphar polysepala Engelm. "
"image","dig17135","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Gerald D. Carr","","July 29, 2008","2008","Linn","Parish Lake, small bog northeast of, off Parish Lake Road, ca. 4.4 mi. west-northwest of Highway 22; 1076m; 44.5343&#176; N -122.06982&#176; W","44.5343","-122.0698","1076","","","Nuphar polysepala Engelm. "
"observation","424548","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Newhouse, B., Brainerd, R.","","29 August 2007","2007","Lane","Meadow North of Cupit Mary Meadow","43.7428","-122.1126","1567","","","Nuphar polysepala Engelm. "
"observation","297925","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Brainerd, R., Newhouse, B., Wilson, B.","","21 June 2005","2005","Lane","Heceta Dunes ACEC","44.0383","-124.1092","","","","Nuphar polysepala Engelm. "
"observation","300730","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2005 - 2013","2005","Clackamas","Cache Meadows","45.1367","-121.9994","1234","","","Nuphar polysepala Engelm. "
"observation","375947","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","18 August 2009","2009","Douglas","Skipper Lakes Trail","43.3716","-122.4205","1551","","","Nuphar polysepala Engelm. "
"observation","316512","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Salix Associates","","30 August 2006","2006","Lane","West Porky Meadow, Mink Lake Basin","43.9261","-121.9256","1463","","","Nuphar polysepala Engelm. "
"observation","378394","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2006 - 2013","2006","Linn","Park Creek Basin","44.4832","-122.0383","1088","","","Nuphar polysepala Engelm. "
"observation","243734","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Battaile, J., Battaile, C.","","23 July 2003","2003","Klamath","LOW east meadow","42.3833","-122.2167","1503","","","Nuphar polysepala Engelm. "
"image","dig42554","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Alexander Abair","","July 23, 2016","2016","Curry","Floras Lake State Natural Area; 48m; 42.863056&#176; N -124.521389&#176; W","42.8631","-124.5214","48","","","Nuphar polysepala Engelm. "
"observation","226366","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Mt. Hood NF botanist","","31 July 2003","2003","Clackamas","Township Meadows","45.4338","-121.9991","914","","","Nuphar polysepala Engelm. "
"image","dig41885","Nymphaeaceae","Nymphaea odorata ssp. odorata","fragrant water lily, white water lily","Gerald D. Carr","","July 30, 2015","2015","Coos","Saunders Lake County Park, just off Hwy 101, N of North Bend; 20m; 43.53017&#176; N -124.21679&#176; W","43.5302","-124.2168","20","","","Nymphaea odorata Aiton ssp. odorata "
"observation","422520","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","8 August 2012","2012","Lane","Lopez Lake and Road 5884","43.5925","-122.1607","1554","","","Nuphar polysepala Engelm. "
"observation","380517","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Bluhm, W., Myers, E.","","2009 - 2010","2009","Marion","Tumble Lake Trail 3379","44.7496","-122.2240","1082","","","Nuphar polysepala Engelm. "
"observation","417590","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Big Eddy Oxbow","45.7508","-122.8172","","","","Nuphar polysepala Engelm. "
"observation","316661","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Salix Associates","","30 August 2006","2006","Lane","Cow Swamp, Mink Lake Basin","43.9498","-121.9752","1405","","","Nuphar polysepala Engelm. "
"observation","367302","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","22 August 2008","2008","Jefferson","Canyon Creek Meadows, Jefferson Wilderness","44.4957","-121.8254","1676","","","Nuphar polysepala Engelm. "
"observation","194035","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Bluhm, W., Marttala, V.","","1 July 2003","2003","Clackamas","Township Meadows - Bluhm and Marttala","45.4343","-122.0066","914","","","Nuphar polysepala Engelm. "
"image","dig17133","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Gerald D. Carr","","July 29, 2008","2008","Linn","Parish Lake, small bog northeast of, off Parish Lake Road, ca. 4.4 mi. west-northwest of Highway 22; 1076m; 44.5343&#176; N -122.06982&#176; W","44.5343","-122.0698","1076","","","Nuphar polysepala Engelm. "
"observation","330518","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Wilson, B., Otting, N.","","1 November 2007","2007","Hood River","Hwy 30, below I-84","45.6722","-121.8736","58","","","Nuphar polysepala Engelm. "
"observation","302680","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow about 2 miles NW of Cedar Swamp","44.0646","-121.9814","1210","","","Nuphar polysepala Engelm. "
"observation","410037","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Olson, B.B., Maffitt, V.","","6 June 2012","2012","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Nuphar polysepala Engelm. "
"observation","316375","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Salix Associates","","29 August 2006","2006","Lane","Cabin Meadow, Mink Lake Basin","43.9482","-121.9155","1462","","","Nuphar polysepala Engelm. "
"observation","366857","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2008 - 2013","2008","Douglas or Lane","Bristow Prairie and High Divide Trail","43.4414","-122.4604","1387","","","Nuphar polysepala Engelm. "
"observation","376113","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2009 - 2013","2009","Douglas","Fuller Lake Trail","43.4003","-122.4995","1494","","","Nuphar polysepala Engelm. "
"observation","302409","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Linn","meadow on east side of Jack Creek, south of Marion Lake","44.5455","-121.8656","1326","","","Nuphar polysepala Engelm. "
"image","dig17139","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Gerald D. Carr","","July 19, 2008","2008","Benton","Porter Lake, west side of,  near junction of Smith Loop and Hurlburt Road, S of Corvallis; 44.4477&#176; N -123.24529&#176; W","44.4477","-123.2453","","","","Nuphar polysepala Engelm. "
"observation","315520","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Brainerd, R., Newhouse, B.","","28 July 2003","2003","Linn","Wolf Meadow","44.2930","-122.1380","1006","","","Nuphar polysepala Engelm. "
"observation","207784","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Nuphar polysepala Engelm. "
"observation","366699","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2008 - 2013","2008","Douglas","Bradley Lake - Harvey","43.4004","-122.4801","1646","","","Nuphar polysepala Engelm. "
"image","dig17136","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Gerald D. Carr","","July 29, 2008","2008","Linn","Parish Lake, small bog northeast of, off Parish Lake Road, ca. 4.4 mi. west-northwest of Highway 22; 1076m; 44.5343&#176; N -122.06982&#176; W","44.5343","-122.0698","1076","","","Nuphar polysepala Engelm. "
"observation","372028","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Nuphar polysepala Engelm. "
"observation","371429","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2004 - 2011","2004","Douglas","Twin Lakes","43.2348","-122.5875","1481","","","Nuphar polysepala Engelm. "
"observation","296550","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Otting, N., Wilson, B.","","31 August 2005","2005","Clackamas","Bull Run Watershed: West Goodfellow Lake and the spur road to road 12","45.4224","-121.9712","914","","","Nuphar polysepala Engelm. "
"observation","378114","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Harvey, T.","","2003 - 2009","2003","Lane","Huckleberry Mountain: Harvey","43.8468","-122.3214","1402","","","Nuphar polysepala Engelm. "
"observation","323696","Nymphaeaceae","Nuphar polysepala","yellow pond lily, wakas","Otting, N., Antell, K., Pendergrass, K., Wilson, B.","","25 July 2007","2007","Union","Twin Lake and trail","45.3001","-118.1386","1222","","","Nuphar polysepala Engelm. "
