"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","394105","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 20 to 21","44.4752","-122.8183","","","","Fraxinus latifolia Benth. "
"observation","293209","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","2002","2002","Multnomah","I-84, mile 34 to 35","45.5972","-122.0594","","","","Fraxinus latifolia Benth. "
"observation","328643","Oleaceae","Fraxinus latifolia","Oregon ash","Morse, K.","","13 July 2007","2007","Josephine","Deer Creek Center - South","42.2745","-123.6359","382","","","Fraxinus latifolia Benth. "
"observation","314002","Oleaceae","Fraxinus latifolia","Oregon ash","Salix Associates","","2004","2004","Lane","Lowell Butte (Disappointment Butte)","43.9243","-122.7653","","","","Fraxinus latifolia Benth. "
"observation","286469","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 149 to 150","43.5525","-123.2852","","","","Fraxinus latifolia Benth. "
"observation","354732","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Otting, N.","","1 July 2008","2008","Douglas","Secale site on Doe Creek Road","42.9427","-123.5058","386","","","Fraxinus latifolia Benth. "
"observation","284512","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Linn","I-5, mile 230 to 231","44.5907","-123.0619","","","","Fraxinus latifolia Benth. "
"observation","353056","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","21 June 2008","2008","Douglas","North of Wilbur, Highway 99 creek crossing","43.3284","-123.3391","139","","","Fraxinus latifolia Benth. "
"observation","308797","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","12 July 2006","2006","Lincoln","Highway 34, mile 15","44.6618","-123.8483","","","","Fraxinus latifolia Benth. "
"observation","412698","Oleaceae","Fraxinus latifolia","Oregon ash","Newhouse, B.","","July 2008","2008","Lane","North side Baldy Trail realignment","44.0007","-123.0596","","","","Fraxinus latifolia Benth. "
"observation","309895","Oleaceae","Fraxinus latifolia","Oregon ash","Salix Associates","","2004 - 2005","2004","Polk","Baskett Butte - Salix Associates","44.9779","-123.2450","","","","Fraxinus latifolia Benth. "
"observation","394199","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Otting, N., Coberly, C.","","26 July 2004","2004","Linn","Highway 20, Albany to Sisters, mile post 24 to 25","44.4257","-122.7764","","","","Fraxinus latifolia Benth. "
"observation","286539","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 146 to 147","43.5167","-123.3142","","","","Fraxinus latifolia Benth. "
"observation","408916","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","25 July 2012","2012","Benton","Corvallis, ODOT parcel","44.5560","-123.2641","72","","","Fraxinus latifolia Benth. "
"observation","294915","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","9 June 2003","2003","Jackson","Lithia Park","42.1889","-122.7162","","","","Fraxinus latifolia Benth. "
"observation","289430","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 35 to 36","42.4056","-122.9436","","","","Fraxinus latifolia Benth. "
"observation","286975","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 129 to 130","43.2902","-123.3535","","","","Fraxinus latifolia Benth. "
"observation","287223","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 118 to 119","43.1379","-123.3645","183","","","Fraxinus latifolia Benth. "
"observation","396333","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Highway 58, mile post 5 to 6","43.9632","-122.9223","","","","Fraxinus latifolia Benth. "
"observation","283951","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Newhouse, B.","","2002","2002","Marion","I-5, mile 246 to 247","44.8180","-123.0222","","","","Fraxinus latifolia Benth. "
"observation","285326","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 194 to 195","44.0704","-123.0484","","","","Fraxinus latifolia Benth. "
"observation","286492","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 148 to 149","43.5391","-123.2929","","","","Fraxinus latifolia Benth. "
"observation","287070","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 125 to 126","43.2330","-123.3606","","","","Fraxinus latifolia Benth. "
"observation","287096","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 124 to 125","43.2191","-123.3578","","","","Fraxinus latifolia Benth. "
"observation","358341","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","17 October 2008","2008","Douglas","Highway 42, milepost 41.75","43.1036","-123.4399","171","","","Fraxinus latifolia Benth. "
"observation","385714","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","11 June 2010","2010","Linn","Intersection of Courtney Lane and Timber Lane","44.3459","-122.9367","118","","","Fraxinus latifolia Benth. "
"observation","292474","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","2002","2002","Hood River","I-84, mile 59 to 60","45.7047","-121.6017","","","","Fraxinus latifolia Benth. "
"observation","358302","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B.","","17 October 2008","2008","Douglas","Cow Creek rest area, I-5 northbound","42.7560","-123.3518","481","","","Fraxinus latifolia Benth. "
"observation","355504","Oleaceae","Fraxinus latifolia","Oregon ash","Wilson, B., Otting, N.","","4 July 2008","2008","Douglas","Lone Rock Drift Boat Launch","43.3168","-123.0611","","","","Fraxinus latifolia Benth. "
