"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig17224","Onagraceae","Epilobium ciliatum ssp. watsonii","Pacific willowherb","Gerald D. Carr","","June 19, 2006","2006","Benton","Jackson-Frazier Wetlands, Corvallis; 44.60419&#176; N -123.23901&#176; W","44.604200","-123.239000","","","","Epilobium ciliatum Raf. ssp. watsonii (Barbey) Hoch & P.H. Raven "
"observation","420922","Onagraceae","Epilobium hallianum","Sierra willowherb, Hall's willowherb","Harvey, T.","","2008 - 2011","2008","Linn","Wildcat Mountain RNA","44.3388","-122.1213","1228","","","Epilobium hallianum Hausskn. "
"image","dig20585","Onagraceae","Clarkia gracilis ssp. gracilis","slender godetia","Gerald D. Carr","","June 9, 2009","2009","Linn","Horse Rock Ridge ACEC, between Horse Rock and SE access from trailhead off BLM Road 14-1-32; 774m","44.2979","-122.8767","774","","","Clarkia gracilis (Piper) A. Nelson & J.F. Macbr. ssp. gracilis "
"observation","309479","Onagraceae","Circaea alpina ssp. pacifica","enchanter's nightshade","Salix Associates","","June 2006","2006","Benton","Owens Farm","44.6143","-123.2487","","","","Circaea alpina L. ssp. pacifica (Asch. & Magnus) P.H. Raven "
"observation","370835","Onagraceae","Epilobium oregonense","slimstem willowweed","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Epilobium oregonense Hausskn. "
"observation","395348","Onagraceae","Chamerion angustifolium","fireweed","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 65 to 66","44.3948","-122.1165","","","","Chamerion angustifolium (L.) Holub "
"observation","407562","Onagraceae","Oenothera cespitosa","tufted evening primrose","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Sand Hollow Well","43.9375","-120.1121","1247","","","Oenothera cespitosa Nutt. "
"observation","355607","Onagraceae","Epilobium ciliatum","fringed willowherb","Wilson, B.","","23 July 2008","2008","Douglas","Goodrich Highway - Wilson","43.4680","-123.3117","151","","","Epilobium ciliatum Raf. "
"image","dig20769","Onagraceae","Epilobium minutum","small flowered willowherb","Gerald D. Carr","","May 1, 2009","2009","Douglas","Weaver Road, 1.7 mi. southwest of Weaver; 42.99406&#176; N -123.33604&#176; W","42.9941","-123.3360","","","","Epilobium minutum Lindl. ex Lehm. "
"observation","377298","Onagraceae","Epilobium brachycarpum","tall annual willowherb, autumn willowherb","Harvey, T.","","2007 - 2013","2007","Lane","Eagle Creek Road 5883","43.6779","-122.1824","930","","","Epilobium brachycarpum C. Presl "
"observation","290935","Onagraceae","Oenothera pallida","whitestem evening primrose","Wilson, B.","","2002","2002","Gilliam","I-84, mile 144 to 145","45.7700","-120.0923","","","","Oenothera pallida Lindl. "
"image","dig12274","Onagraceae","Epilobium minutum","small flowered willowherb","Keir Morse","","April 12, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I002; 42.304515309&#176; N -123.647365418&#176; W","42.3045","-123.6474","","","","Epilobium minutum Lindl. ex Lehm. "
"observation","207375","Onagraceae","Taraxia tanacetifolia","tansy leaf evening primrose","Heinze, D.","","4 July 2003","2003","Lake","Duncan Reservoir","43.0726","-120.9456","1463","herbland, shrubland","","Taraxia tanacetifolia (Torr. & A. Gray) Piper "
"observation","293562","Onagraceae","Oenothera villosa ssp. strigosa","villous evening primrose","Wilson, B.","","2002","2002","Multnomah","I-84, mile 20 to 21","45.5394","-122.3270","","","","Oenothera villosa Thunb. ssp. strigosa (Rydb.) W. Dietr. & P.H. Raven "
"observation","141188","Onagraceae","Clarkia purpurea","winecup clarkia","Heinze, D.","","10 June 2003","2003","Josephine","Fish Hatchery Park","42.3574","-123.4210","293","herbland, savanna, shrubland","","Clarkia purpurea (Curtis) A. Nelson & J.F. Macbr. "
"observation","413734","Onagraceae","Chamerion angustifolium","fireweed","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Chamerion angustifolium (L.) Holub "
"observation","299135","Onagraceae","Epilobium ciliatum ssp. watsonii","Pacific willowherb","Brainerd, R., Wilson, B.","","18 July 2005","2005","Jackson","Mount Ashland, Pacific Crest Trail, south side","42.0801","-122.7269","2027","","","Epilobium ciliatum Raf. ssp. watsonii (Barbey) Hoch & P.H. Raven "
"observation","295604","Onagraceae","Chamerion angustifolium var. canescens","fireweed","Otting, N., Wilson, B.","","24 August 2005","2005","Multnomah","Bull Run Watershed: road 10 bridge over Log Creek","45.4974","-121.9094","716","","","Chamerion angustifolium (L.) Holub var. canescens (A.W. Wood) N.H. Holmgren & P.K. Holmgren "
"observation","395060","Onagraceae","Chamerion angustifolium","fireweed","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 56 to 57","44.4054","-122.2244","","","","Chamerion angustifolium (L.) Holub "
"observation","368544","Onagraceae","Chamerion angustifolium","fireweed","Harvey, T.","","2004 - 2005","2004","Lane","Fuji Lakes Basin","43.6670","-122.1040","1756","","","Chamerion angustifolium (L.) Holub "
