binomial,count
Camissoniopsis cheiranthifolia,5
Chamerion angustifolium,322
Circaea alpina,93
Clarkia amoena,17
Clarkia gracilis,15
Clarkia heterandra,7
Clarkia lassenensis,1
Clarkia purpurea,32
Clarkia rhomboidea,18
Epilobium brachycarpum,181
Epilobium ciliatum,237
Epilobium clavatum,3
Epilobium densiflorum,31
Epilobium glaberrimum,28
Epilobium hallianum,19
Epilobium hornemannii,5
Epilobium lactiflorum,25
Epilobium luteum,3
Epilobium minutum,55
Epilobium oreganum,3
Epilobium oregonense,24
Epilobium pallidum,1
Epilobium torreyi,4
Fuchsia magellanica,3
Gayophytum diffusum,41
Gayophytum heterozygum,5
Gayophytum humile,20
Gayophytum racemosum,1
Gayophytum ramosissimum,1
Ludwigia hexapetala,3
Ludwigia palustris,13
Ludwigia peploides,1
Oenothera biennis,3
Oenothera glazioviana,6
Oenothera pallida,2
Oenothera villosa,12
Oenothera wolfii,9
Taraxia ovata,2
Taraxia subacaulis,1
Taraxia tanacetifolia,5
Tetrapteron graciliflorum,3
