"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig42120","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Gerald D. Carr","","May 20, 2015","2015","Clackamas","Vic. Peach Cove Fen, West Linn; 43m; 45.30185&#176; N -122.67295&#176; W","45.301800","-122.673000","43","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","10094620","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","R.E. Brainerd","","18 August 2011","2011","Grant","Unaccessioned specimen: Brainerd, R. #1971","44.7373","-118.6223","2042","Wet meadow on stream bank where bette...","","Sceptridium multifidum Nishida ex Tagawa "
"image","dig20282","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Gerald D. Carr","","September 11, 2007","2007","Linn","NFD Road 11, ca. 11.9 mi. E of Lone Star","44.5743","-122.1226","","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","243063","Ophioglossaceae","Botrychium pinnatum","northwestern moonwort","ORBIC","","26 June 2003","2003","Grant","ORBIC Element Occurrence #  25973","44.7683","-118.6100","1920","","","Botrychium pinnatum H. St. John "
"observation","303013","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow northeast of Dillon Lake","44.0332","-121.9642","1180","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","179270","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Salix Associates","","2 July 2002","2002","Lane","Owl Creek Meadow","44.1595","-122.1561","","","","Sceptridium multifidum Nishida ex Tagawa "
"image","dig20283","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Gerald D. Carr","","September 11, 2007","2007","Linn","NFD Road 11, ca. 11.9 mi. east of Lone Star; 44.57434&#176; N -122.12262&#176; W","44.5743","-122.1226","","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","361788","Ophioglossaceae","Botrychium lineare","slender moonwort","Bluhm, W.","","2002 - 2004","2002","Wallowa","Sensitive species - location undisclosed","45.3000","-117.3000","1585","","","Botrychium lineare W.H. Wagner "
"observation","371947","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","420783","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","2004 - 2011","2004","Douglas","Hemlock Lake","43.1770","-122.7063","1356","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","207851","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","367538","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","11 September 2006","2006","Lane","Cupit Mary Meadow","43.7322","-122.1112","1509","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","303093","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Dillon Lake","44.0285","-121.9701","1227","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","316487","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Salix Associates","","31 August 2006","2006","Lane","Beaver Marsh, Mink Lake Basin","43.9426","-121.9232","1387","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","242847","Ophioglossaceae","Botrychium pinnatum","northwestern moonwort","ORBIC","","29 June 2002","2002","Umatilla","ORBIC Element Occurrence #  25452","45.1086","-118.6089","1646","","","Botrychium pinnatum H. St. John "
"observation","337636","Ophioglossaceae","Botrychium pumicola","pumice moonwort","BLM Botanist","","28 June 2007","2007","Klamath","Sensitive species - location undisclosed","43.5000","-121.5000","","","","Botrychium pumicola Coville ex Underw. "
"observation","234659","Ophioglossaceae","Botrychium pinnatum","northwestern moonwort","ORBIC","","5 August 2002","2002","Union","ORBIC Element Occurrence #  2560","45.8267","-117.9600","1402","","","Botrychium pinnatum H. St. John "
"observation","420829","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","310651","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B.","","2004 - 2005","2004","Clackamas or Multnomah","Lower Bull Run Watershed","45.4731","-122.1036","232","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","422194","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","23 May 2013","2013","Lane","Jasper Prairie: Harvey","44.0005","-122.8689","253","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","303180","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow South of Cedar Swamp","44.0259","-121.9436","1203","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","401341","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","299113","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Wilson, B.","","18 July 2005","2005","Jackson","Mount Ashland, Pacific Crest Trail, south side","42.0801","-122.7269","2027","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","302779","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow North of Cedar Swamp","44.0451","-121.9577","1199","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","310335","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Newhouse, B.","","22 July 2006","2006","Lane","Box Canyon","43.9078","-122.0804","1131","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","302702","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow about 2 miles NW of Cedar Swamp","44.0646","-121.9814","1210","","","Sceptridium multifidum Nishida ex Tagawa "
"image","dig36717","Ophioglossaceae","Ophioglossum pusillum","northern adder's tongue","Bruce Neil Newhouse","","July 2, 2002","2002","Lane","Sensitive species - location undisclosed","44.2000","-122.1000","","","","Ophioglossum pusillum Raf. "
"observation","316341","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Salix Associates","","30 August 2006","2006","Lane","Shroy Meadow, Mink Lake Basin","43.9608","-121.9334","1369","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","420880","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","2006 - 2013","2006","Linn","Park Creek Basin","44.4832","-122.0383","1088","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","357841","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Wilson, B., Otting, N.","","18 September 2008","2008","Douglas","Huckleberry Lake","42.8991","-122.6190","1574","","","Sceptridium multifidum Nishida ex Tagawa "
"image","dig36716","Ophioglossaceae","Ophioglossum pusillum","northern adder's tongue","Bruce Neil Newhouse","","July 2, 2002","2002","Lane","Sensitive species - location undisclosed","44.2000","-122.1000","","","","Ophioglossum pusillum Raf. "
"observation","410059","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Newhouse, B., Mayrsohn, C.","","30 July 2009","2009","Douglas","Elk Meadows 2009","43.5220","-122.8915","","","","Sceptridium multifidum Nishida ex Tagawa "
"observation","242846","Ophioglossaceae","Botrychium minganense","mingan moonwort","ORBIC","","5 August 2002","2002","Union","ORBIC Element Occurrence #  25451","45.8267","-117.9600","1524","","","Botrychium minganense Vict. "
"observation","337006","Ophioglossaceae","Botrychium pumicola","pumice moonwort","BLM Botanist","","10 July 2006","2006","Klamath","Sensitive species - location undisclosed","43.6000","-121.6000","","","","Botrychium pumicola Coville ex Underw. "
"observation","419520","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Harvey, T.","","2003 - 2014","2003","Linn","Bachelor Mountain: Harvey","44.6180","-122.0225","1475","","","Sceptridium multifidum Nishida ex Tagawa "
"image","dig20281","Ophioglossaceae","Sceptridium multifidum","leather grape-fern","Gerald D. Carr","","August 21, 2009","2009","Deschutes","Three Creek Meadow, off NFD Road 16, ca. 15.6 mi. south of Sisters; 1923m; 44.11493&#176; N -121.62551&#176; W","44.1149","-121.6255","1923","","","Sceptridium multifidum Nishida ex Tagawa "
