"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","351637","Orchidaceae","Cypripedium fasciculatum","clustered lady slipper","ORBIC","","13 June 2006","2006","Jackson","Sensitive species - location undisclosed","42.4000","-123.2000","","","","Cypripedium fasciculatum Kellogg ex S. Watson "
"observation","371010","Orchidaceae","Goodyera oblongifolia","giant rattlesnake plantain, western rattlesnake plantain, Menzie's rattlesnake plantain","Harvey, T.","","29 September 2007","2007","Lane","Skookum Creek Swamp - Harvey","43.8740","-122.0752","896","","","Goodyera oblongifolia Raf. "
"observation","424141","Orchidaceae","Platanthera stricta","slender bog orchid","Newhouse, B., Brainerd, R.","","29 August 2007","2007","Lane","Erma Bell Lake Basin Meadow #47","43.8338","-122.0222","1554","","","Platanthera stricta Lindl. "
"observation","351451","Orchidaceae","Cypripedium montanum","mountain lady slipper","ORBIC","","28 May 2006","2006","Jackson","ORBIC Element Occurrence #  28780","42.1556","-123.1481","1011","","","Cypripedium montanum Douglas ex Lindl. "
"observation","365967","Orchidaceae","Goodyera oblongifolia","giant rattlesnake plantain, western rattlesnake plantain, Menzie's rattlesnake plantain","Harvey, T.","","2007","2007","Lane","Aubrey Mountain","43.7460","-122.4014","759","","","Goodyera oblongifolia Raf. "
"observation","298291","Orchidaceae","Cephalanthera austiniae","phantom orchid, snow orchid","Wilson, B.","","3 July 2005","2005","Lane","Rowdy Creek","44.0886","-122.7994","","","","Cephalanthera austiniae (A. Gray) A. Heller "
"image","dig10870","Orchidaceae","Neottia cordata","western heart-leaved twayblade","Melissa A. Carr","","April 17, 2004","2004","Benton","Alsea Falls","44.3286","-123.4986","","","","Neottia cordata (L.) Rich. "
"image","dig12290","Orchidaceae","Epipactis gigantea","chatterbox, stream orchid, giant helleborine","Keir Morse","","June 24, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I176; 42.2809710985&#176; N -123.647742881&#176; W","42.2810","-123.6477","","","","Epipactis gigantea Douglas ex Hook. "
"observation","365818","Orchidaceae","Goodyera oblongifolia","giant rattlesnake plantain, western rattlesnake plantain, Menzie's rattlesnake plantain","Harvey, T.","","2004 - 2008","2004","Lane","Alpine Trail, including Buckhead Mountain","43.8171","-122.4996","914","","","Goodyera oblongifolia Raf. "
"observation","374507","Orchidaceae","Platanthera dilatata","white bog orchid, bog candles, rein orchid","Harvey, T.","","2003 - 2013","2003","Linn","Bruno Meadows: Harvey","44.6477","-122.0028","1244","","","Platanthera dilatata (Pursh) Lindl. ex Beck "
"observation","316731","Orchidaceae","Spiranthes porrifolia","western ladies tresses","Salix Associates","","30 August 2006","2006","Lane","Dealy Meadow, Mink Lake Basin","43.9498","-121.9752","1401","","","Spiranthes porrifolia Lindl. "
"observation","303141","Orchidaceae","Platanthera dilatata var. leucostachys","long-spurred bog orchid, Sierra rein orchid","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow South of Cedar Swamp","44.0259","-121.9436","1203","","","Platanthera dilatata (Pursh) Lindl. ex Beck var. leucostachys (Lindl.) Luer "
"observation","352447","Orchidaceae","Corallorhiza maculata","spotted coralroot","Wilson, B.","","7 June 2008","2008","Douglas","Bushnell Rocks, from north side","43.1307","-123.5892","511","","","Corallorhiza maculata (Raf.) Raf. "
"observation","326827","Orchidaceae","Epipactis gigantea","chatterbox, stream orchid, giant helleborine","Morse, K.","","29 June 2007","2007","Josephine","Deer Creek Center - North","42.2904","-123.6499","456","","","Epipactis gigantea Douglas ex Hook. "
