binomial,count
Calypso bulbosa,58
Cephalanthera austiniae,11
Corallorhiza maculata,56
Corallorhiza mertensiana,58
Corallorhiza striata,13
Corallorhiza trifida,1
Cypripedium californicum,9
Cypripedium fasciculatum,123
Cypripedium montanum,5
Epipactis gigantea,14
Goodyera oblongifolia,155
Neottia banksiana,57
Neottia convallarioides,13
Neottia cordata,28
Platanthera dilatata,89
Platanthera elegans,9
Platanthera elongata,7
Platanthera ephemerantha,1
Platanthera huronensis,2
Platanthera sparsiflora,17
Platanthera stricta,82
Platanthera transversa,9
Platanthera unalascensis,17
Spiranthes porrifolia,10
Spiranthes stellata,6
