"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","377906","Orobanchaceae","Castilleja suksdorfii","Suksdorf's paintbrush","Harvey, T.","","2010","2010","Douglas","Hills Peak","43.4096","-122.1882","1509","","","Castilleja suksdorfii A. Gray "
"observation","378445","Orobanchaceae","Castilleja rupicola","cliff paintbrush","Harvey, T.","","11 September 2009","2009","Lane","Pyramid Rock","43.4630","-122.4991","1524","","","Castilleja rupicola Piper "
"image","dig13326","Orobanchaceae","Orobanche fasciculata","clustered broomrape","Keir Morse","","June 1, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I052; 42.3083827365&#176; N -123.659344319&#176; W","42.3084","-123.6593","","","","Orobanche fasciculata Nutt. "
"observation","313171","Orobanchaceae","Orthocarpus imbricatus","mountain owl clover","Salix Associates","","27 July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 8","43.9282","-122.1205","1585","","","Orthocarpus imbricatus Torr. ex S. Watson "
"observation","199336","Orobanchaceae","Castilleja hispida","harsh Indian paintbrush","Harvey, T.","","4 July 2003","2003","Linn","Bugaboo Ridge Trail","44.6331","-122.0028","1280","","","Castilleja hispida Benth. "
"observation","375761","Orobanchaceae","Castilleja pilosa","parrothead Indian paintbrush","Duncan, J., Plaisance, E.","","5 June 2008","2008","Lake","State Route 140 E of top of Doherty Slide","42.0136","-119.4750","1890","","","Castilleja pilosa (S. Watson) Rydb. "
"observation","288028","Orobanchaceae","Bellardia viscosa","yellow parentucellia","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Douglas","I-5, mile 88 to 89","42.8043","-123.2559","","","","Bellardia viscosa (L.) Fisch. & C.A. Mey. "
"observation","366429","Orobanchaceae","Pedicularis groenlandica","elephant's head pedicularis","Harvey, T.","","6 September 2007","2007","Douglas","Big Swamp","43.4167","-122.1607","1143","","","Pedicularis groenlandica Retz. "
"image","dig41240","Orobanchaceae","Castilleja litoralis","Pacific paintbrush, Oregon Coast paintbrush","Gerald D. Carr","","July 30, 2015","2015","Curry","Seep area in E roadside ditch of Hwy 101, ca. 2 mi. SE of Port Orford; 37m; 42.72224&#176; N -124.46622&#176; W","42.7222","-124.4662","37","","","Castilleja litoralis Pennell "
"image","dig14430","Orobanchaceae","Triphysaria pusilla","dwarf triphysaria, dwarf owl clover","Keir Morse","","May 4, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I098; 42.2774957598&#176; N -123.641146318&#176; W","42.2775","-123.6411","","","","Triphysaria pusilla (Benth.) T.I. Chuang & Heckard "
"observation","377981","Orobanchaceae","Pedicularis attollens","little elephant head","Harvey, T.","","2010","2010","Douglas","Hills Peak","43.4096","-122.1882","1509","","","Pedicularis attollens A. Gray "
"observation","424549","Orobanchaceae","Pedicularis groenlandica","elephant's head pedicularis","Newhouse, B., Brainerd, R.","","29 August 2007","2007","Lane","Meadow North of Cupit Mary Meadow","43.7428","-122.1126","1567","","","Pedicularis groenlandica Retz. "
"observation","355993","Orobanchaceae","Castilleja chromosa","desert paintbrush","Wilson, B., Housley, L.","","6 August 2008","2008","Lake","Road 017 ridgetop","42.2024","-120.2822","1908","","","Castilleja chromosa A. Nelson "
"observation","379311","Orobanchaceae","Castilleja suksdorfii","Suksdorf's paintbrush","Bluhm, W., Myers, E.","","August 2009","2009","Linn","Duffy Lake and Mowich Lake Trails 3427/3422","44.4974","-121.9179","1189","","","Castilleja suksdorfii A. Gray "
"observation","370890","Orobanchaceae","Pedicularis bracteosa var. flavida","towering lousewort","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Pedicularis bracteosa Benth. var. flavida (Pennell) Cronquist "
"observation","351137","Orobanchaceae","Castilleja rupicola","cliff paintbrush","ORBIC","","22 June 2005","2005","Douglas","ORBIC Element Occurrence #  27799","43.4008","-122.4400","","","","Castilleja rupicola Piper "
"observation","316500","Orobanchaceae","Castilleja miniata var. miniata","scarlet paintbrush","Salix Associates","","30 August 2006","2006","Lane","West Porky Meadow, Mink Lake Basin","43.9261","-121.9256","1463","","","Castilleja miniata Douglas ex Hook. var. miniata "
"observation","368308","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Harvey, T.","","2005 - 2013","2005","Douglas","Fish Creek Valley","43.1052","-122.4104","1600","","","Pedicularis racemosa Douglas ex Benth. "
"observation","365849","Orobanchaceae","Orobanche uniflora","naked broomrape","Harvey, T.","","2004 - 2008","2004","Lane","Alpine Trail, including Buckhead Mountain","43.8171","-122.4996","914","","","Orobanche uniflora L. "
"observation","368867","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Harvey, T.","","2006 - 2013","2006","Lane","Gold Lake and Bog","43.6380","-122.0379","1467","","","Pedicularis racemosa Douglas ex Benth. "
"observation","368445","Orobanchaceae","Castilleja hispida","harsh Indian paintbrush","Harvey, T.","","5 August 2004","2004","Marion","French Creek Ridge ","44.7934","-122.1824","1244","","","Castilleja hispida Benth. "
"observation","302484","Orobanchaceae","Pedicularis groenlandica","elephant's head pedicularis","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Linn","meadow at confluence of Eight Lakes Creek and Horse Pasture Creek","44.5470","-121.8533","1265","","","Pedicularis groenlandica Retz. "
"observation","374901","Orobanchaceae","Castilleja pruinosa","frosted paintbrush","Harvey, T.","","2004 - 2009","2004","Douglas","Illahee Rock","43.3489","-122.5628","1487","","","Castilleja pruinosa Fernald "
"observation","181458","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Simpson, C., Harvey, T.","","20 September 2002","2002","Lane","Groundhog Mountain/Little Groundhog Mountain area","43.5781","-122.3402","1622","","","Pedicularis racemosa Douglas ex Benth. "
"image","dig23871","Orobanchaceae","Cordylanthus tenuis ssp. viscidus","sticky birdbeak","Gerald D. Carr","","September 7, 2010","2010","Josephine","Lone Mountain Road, 2.7 mi. southwest of O'Brien; 462m; 42.0503&#176; N -123.74401&#176; W","42.0503","-123.7440","462","","","Cordylanthus tenuis A. Gray ssp. viscidus (Howell) T.I. Chuang & Heckard "
"image","dig11765","Orobanchaceae","Castilleja elata","slender paintbrush, Siskiyou paintbrush","Keir Morse","","June 26, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I182; 42.2719670315&#176; N -123.644170392&#176; W","42.2720","-123.6442","","","","Castilleja elata Piper "
"image","dig20454","Orobanchaceae","Castilleja minor var. exilis","seep paintbrush","Gerald D. Carr","","September 19, 2009","2009","Lake","Hwy 395, near shore of Lake Abert; 1301m","42.5290","-120.2331","1301","","","Castilleja minor (A. Gray) A. Gray var. exilis (A. Nelson) J.M. Egger "
"observation","194038","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Bluhm, W., Marttala, V.","","1 July 2003","2003","Clackamas","Township Meadows - Bluhm and Marttala","45.4343","-122.0066","914","","","Pedicularis racemosa Douglas ex Benth. "
"image","dig25267","Orobanchaceae","Orthocarpus cuspidatus ssp. copelandii","Copeland's owl clover","Gerald D. Carr","","September 8, 2010","2010","Josephine","Bigelow Lake, north-northeast of,  via trail off NFD Road 070; 1791m","42.0914","-123.3698","1791","","","Orthocarpus cuspidatus Greene ssp. copelandii (Eastw.) T.I. Chuang & Heckard "
"image","dig38436","Orobanchaceae","Castilleja lacera","cutleaf paintbrush","Gerald D. Carr","","May 27, 2014","2014","Douglas","along Ingram Drive, off I-5 at exit 119 [R. Halse 9083], Roseburg; 168m; 43.15231&#176; N -123.36218&#176; W","43.1523","-123.3622","168","","","Castilleja lacera (Benth.) T.I. Chuang & Heckard "
"image","dig23646","Orobanchaceae","Castilleja brevilobata","short lobed paintbrush","Gerald D. Carr","","May 12, 2010","2010","Josephine","Illinois River Rd., 2.0 mi. west of Hwy. 199, Selma; 436m","42.2815","-123.6525","436","","","Castilleja brevilobata Piper "
"image","dig13338","Orobanchaceae","Orobanche uniflora","naked broomrape","Keir Morse","","June 1, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I105; 42.3034059061&#176; N -123.647657363&#176; W","42.3034","-123.6477","","","","Orobanche uniflora L. "
"observation","367210","Orobanchaceae","Orobanche uniflora","naked broomrape","Harvey, T.","","2004 - 2011","2004","Douglas","BVD Meadow and Trail","43.2203","-122.5678","1402","","","Orobanche uniflora L. "
"observation","376755","Orobanchaceae","Orthocarpus imbricatus","mountain owl clover","Harvey, T.","","2010","2010","Douglas","Balm Mountain - Harvey","43.3716","-122.4205","1600","","","Orthocarpus imbricatus Torr. ex S. Watson "
"observation","192348","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Bluhm, W.","","2002","2002","Hood River","Lookout Mountain, Hood River County","45.3410","-121.5279","1798","","","Pedicularis racemosa Douglas ex Benth. "
"observation","375048","Orobanchaceae","Castilleja pruinosa","frosted paintbrush","Harvey, T.","","2006 - 2011","2006","Douglas","Lookout Mountain, Douglas County","43.2638","-122.7458","1402","","","Castilleja pruinosa Fernald "
"observation","367586","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Harvey, T.","","11 September 2006","2006","Lane","Cupit Mary Meadow","43.7322","-122.1112","1509","","","Pedicularis racemosa Douglas ex Benth. "
"image","bor6294","Orobanchaceae","Pedicularis aurantiaca","orange-red flowered pedicularis","Richard R. Halse","","May 24, 2009","2009","Klamath","near milepost 41, State Highway 66 ca 18.3 mi. east of Lincoln or 8 miles west of Keno; 1246m","42.1172","-122.0711","1246","","","Pedicularis aurantiaca (E.F. Sprague) Monfils & Prather "
"observation","204153","Orobanchaceae","Pedicularis racemosa","white sickletop lousewort","Bluhm, W.","","2003","2003","Linn","Browder Ridge: Bluhm","44.3816","-122.1009","1158","","","Pedicularis racemosa Douglas ex Benth. "
"observation","353598","Orobanchaceae","Bellardia viscosa","yellow parentucellia","Wilson, B., Otting, N.","","30 June 2008","2008","Douglas","Ditch 1 mile north of Curtain","43.7272","-123.2066","122","","","Bellardia viscosa (L.) Fisch. & C.A. Mey. "
"observation","371566","Orobanchaceae","Castilleja hispida","harsh Indian paintbrush","Harvey, T.","","2004 - 2005","2004","Douglas","Wild Rose Point","43.3715","-122.5386","1472","","","Castilleja hispida Benth. "
"observation","376228","Orobanchaceae","Pedicularis groenlandica","elephant's head pedicularis","Harvey, T.","","2009 - 2012","2009","Douglas","Loletta Lakes, Peak and wetlands","43.3991","-122.4289","1603","","","Pedicularis groenlandica Retz. "
"observation","202154","Orobanchaceae","Castilleja miniata","scarlet paintbrush","Harvey, T.","","2003 - 2004","2003","Lane","Potholes/Olallie Trail","44.0781","-122.0708","1384","","","Castilleja miniata Douglas ex Hook. "
