binomial,count
Bellardia viscosa,85
Castilleja ambigua,3
Castilleja applegatei,3
Castilleja arachnoidea,6
Castilleja attenuata,15
Castilleja brevilobata,4
Castilleja chlorotica,1
Castilleja elata,5
Castilleja hispida,50
Castilleja litoralis,2
Castilleja mendocinensis,3
Castilleja miniata,100
Castilleja parviflora,3
Castilleja pruinosa,28
Castilleja rupicola,26
Castilleja schizotricha,2
Castilleja suksdorfii,19
Castilleja tenuis,37
Cordylanthus ramosus,1
Cordylanthus tenuis,4
Euphrasia stricta,3
Kopsiopsis strobilacea,9
Orobanche californica,3
Orobanche corymbosa,1
Orobanche fasciculata,13
Orobanche pinorum,5
Orobanche uniflora,32
Orthocarpus bracteosus,11
Orthocarpus cuspidatus,2
Orthocarpus imbricatus,43
Orthocarpus luteus,1
Pedicularis attollens,2
Pedicularis bracteosa,48
Pedicularis contorta,5
Pedicularis groenlandica,70
Pedicularis racemosa,106
Triphysaria eriantha,9
Triphysaria pusilla,23
