"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","421901","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Harvey, T.","","2013","2013","Lane","Elk Camp and Nevergo Meadow","43.8876","-122.5978","1347","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","311748","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","South Taylor","44.1270","-123.2910","102","","","Oxalis suksdorfii Trel. "
"observation","367480","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Harvey, T.","","22 October 2008","2008","Linn","Crabtree Valley","44.5267","-122.0787","975","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","304245","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","30 April 2006","2006","Lincoln","Agate Beach State Park and Agate Beach Inn","44.6586","-124.0554","2","","","Oxalis corniculata L. "
"observation","367389","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Harvey, T.","","2005 - 2008","2005","Douglas","Rd 5851, by Balm Mountain, Coal Creek","43.4005","-122.4205","1341","","","Oxalis suksdorfii Trel. "
"observation","319349","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","2007","2007","Lincoln","near Eddyville School","44.6339","-123.7763","27","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","361541","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Bluhm, W., Bluhm, J.","","25 May 2005","2005","Multnomah","Forest Park, Portland","45.5698","-122.7743","15","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","385039","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","10 May 2010","2010","Lincoln","Coast Range list 37: Green Mountain Road","44.7647","-123.6724","401","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","381230","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","May 2009","2009","Lincoln","Moolack Beach","44.7023","-124.0613","5","","","Oxalis corniculata L. "
"observation","381790","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","16 June 2009","2009","Benton","Mary's Peak; East Ridge Trail","44.4965","-123.5464","785","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","294992","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","1 August 2003","2003","Coos","Reiber property","43.3305","-124.1306","","","","Oxalis corniculata L. "
"observation","369094","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Oxalis trilliifolia Hook. "
"observation","304778","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Wilson, B., Brainerd, R.","","June 2006","2006","Multnomah","Bull Run Watershed: 7.8 mile point on the 10 road","45.4751","-122.1065","305","","","Oxalis trilliifolia Hook. "
"observation","200317","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Oxalis trilliifolia Hook. "
"observation","358666","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","T28S R04W S01, E of China Ditch","43.1713","-123.1082","534","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","375358","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Harvey, T.","","2006 - 2013","2006","Linn","Park Creek Basin","44.4832","-122.0383","1088","","","Oxalis trilliifolia Hook. "
"observation","317854","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","BLM Botanist","","2007","2007","Lincoln","Saddle Bag Mountain Research Natural Area","44.9929","-123.7823","","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","354575","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","15 July 2008","2008","Lincoln","Beverly Beach State Park","44.7288","-124.0568","3","","","Oxalis corniculata L. "
"observation","180241","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Koenig, J.","","9 May 2002","2002","Lane","Major Prairie Oak Habitat Inventory","43.8888","-122.2621","671","","","Oxalis suksdorfii Trel. "
"observation","307422","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: end of road at gate at Griffith Creek","44.5023","-123.4687","","","","Oxalis trilliifolia Hook. "
"observation","416738","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Wood, W.","","20 April 2013","2013","Curry","Harris Butte","42.0713","-124.3085","","","","Oxalis suksdorfii Trel. "
"observation","332620","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Bluhm, W.","","May 2008","2008","Lincoln","Drift Creek Camp","44.9028","-123.9117","76","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","190524","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Salix Associates","","September 2002","2002","Lane","Weiss Road Oak Restoration Site","43.9041","-123.1403","","","","Oxalis suksdorfii Trel. "
"observation","423757","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Harvey, T.","","2012","2012","Douglas","Upper Elk Meadows: Harvey","43.5296","-122.9021","1231","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","310970","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Brainerd, R., Newhouse, B.","","2 June 2005","2005","Lane","Cedar Creek Site","43.7087","-123.1161","544","","","Oxalis suksdorfii Trel. "
"observation","379603","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Bluhm, W., Myers, E.","","2010","2010","Marion","Little North Santiam River Trail 3338","44.8389","-122.3251","","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","384994","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","10 May 2010","2010","Polk","Coast Range list 35: Steer Creek Road end at Bradish Boulevard","44.7308","-123.6436","320","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","185594","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Native Plant Society of Oregon","","12 July 2003","2003","Lane","Horsepasture Mountain","44.1209","-122.0910","1448","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","311994","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Oxalis suksdorfii Trel. "
"image","dig41891","Oxalidaceae","Oxalis dillenii","graygreen sorrel, southern yellow wood sorrel","Gerald D. Carr","","June 2, 2015","2015","Benton","SW 4th St. on-ramp to Hwy 20 (westbound), roadside, Corvallis; 76m; 44.55636&#176; N -123.26754&#176; W","44.5564","-123.2675","76","","","Oxalis dillenii Jacq. "
"observation","304074","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","15 July 2006","2006","Tillamook","Neskowin Wayside","45.1040","-123.9810","","","","Oxalis corniculata L. "
"image","dig22427","Oxalidaceae","Oxalis incarnata","crimson wood sorrel","Wendell Wood","","April 10, 2010","2010","Curry","immediately north of the Natural Bridges parking area, Samuel H. Boardman Scenic Corridor; T39S R14W S21","42.1876","-124.3625","","","","Oxalis incarnata L. "
"observation","333039","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Bluhm, W.","","May 2008","2008","Clackamas","Salmon River Trail - Bluhm","45.2395","-121.8770","518","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","379395","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Bluhm, W., Myers, E.","","July 2010","2010","Marion","Elkhorn Mountain area","44.8203","-122.3093","457","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","226311","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Mt. Hood NF botanist","","31 July 2003","2003","Clackamas","Township Meadows","45.4338","-121.9991","914","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"image","dig37757","Oxalidaceae","Oxalis pes-caprae","Bermuda buttercup","Wendell Wood","","February 20, 2015","2015","Curry","30 feet west of Highway 101 approximately 3.25 miles north of the state line, (near 360 mp); T41S R13W S15","42.0362","-124.2432","","","","Oxalis pes-caprae L. "
"image","dig17583","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Gerald D. Carr","","September 23, 2007","2007","Linn","Majestic Falls, McDowell Falls County Park; 44.54457&#176; N -123.45289&#176; W","44.4679","-122.6762","","","","Oxalis trilliifolia Hook. "
"observation","309050","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","19 November 2006","2006","Lincoln","Yachats, south of Adobe resort and west of Highway 101","44.3119","-124.1043","12","","","Oxalis corniculata L. "
"observation","377325","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Harvey, T.","","2007 - 2013","2007","Lane","Eagle Creek Road 5883","43.6779","-122.1824","930","","","Oxalis trilliifolia Hook. "
"observation","384128","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 1: by the Trestle Gate to the Eisele Summit tree farm","44.6452","-123.5803","213","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"image","dig41894","Oxalidaceae","Oxalis dillenii","graygreen sorrel, southern yellow wood sorrel","Gerald D. Carr","","June 2, 2015","2015","Benton","SW 4th St. on-ramp to Hwy 20 (westbound), roadside, Corvallis; 76m; 44.55636&#176; N -123.26754&#176; W","44.5564","-123.2675","76","","","Oxalis dillenii Jacq. "
"observation","381160","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Wilson, B.","","19 July 2010","2010","Benton","Takena Landing","44.6421","-123.1084","","","","Oxalis suksdorfii Trel. "
"observation","329847","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","13 May 2008","2008","Lane","Paradise Campground","44.1859","-122.0915","463","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","381016","Oxalidaceae","Oxalis corniculata","creeping yellow wood sorrel","Wilson, B.","","July 2010","2010","Lincoln","Yachats 804 Trail","44.3257","-124.1029","6","","","Oxalis corniculata L. "
"observation","353274","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Wilson, B.","","21 June 2008","2008","Douglas","Tyee Campground","43.4851","-123.4844","1524","","","Oxalis suksdorfii Trel. "
"observation","370344","Oxalidaceae","Oxalis trilliifolia","great oxalis, trillium leaved oxalis","Harvey, T.","","2004 - 2007","2004","Linn","Monument Peak","44.6896","-122.3270","1219","","","Oxalis trilliifolia Hook. "
"image","dig41898","Oxalidaceae","Oxalis dillenii","graygreen sorrel, southern yellow wood sorrel","Gerald D. Carr","","June 4, 2015","2015","Benton","SW 4th St. on-ramp to Hwy 20 (westbound), roadside, Corvallis; 76m; 44.55636&#176; N -123.26754&#176; W","44.5564","-123.2675","76","","","Oxalis dillenii Jacq. "
"observation","205508","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Oxalis suksdorfii Trel. "
"observation","317753","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","BLM Botanist","","2007","2007","Benton","Grass Mountain Research Natural Area","44.4244","-123.6751","","","","Oxalis suksdorfii Trel. "
"image","dig17570","Oxalidaceae","Oxalis suksdorfii","western yellow oxalis, Suksdorf's oxalis","Gerald D. Carr","","June 11, 2007","2007","Douglas","Briarwood Road (BLM 25-7-21), 1.6 mi. north of Hubbard Ceek Road., northwest of Umpqua; 43.40185&#176; N -123.53111&#176; W","43.4019","-123.5311","","","","Oxalis suksdorfii Trel. "
"observation","371873","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Harvey, T.","","2004 - 2010","2004","Lane","Winberry Creek Rd 102-150","43.8737","-122.5784","351","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
"observation","384233","Oxalidaceae","Oxalis oregana","Oregon wood sorrel, redwood sorrel","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 4: Road 410 and Green Mountain Road intersection","44.6875","-123.6276","152","","","Oxalis oregana Nutt. ex Torr. & A. Gray "
