"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig33626","Papaveraceae","Corydalis scouleri","Scouler's corydalis, western corydalis","Paul Slichter","","May 20, 2009","2009","Multnomah","Upper Elowah Falls & McCord Creek, trail to, John B Yeon State Park; 163m; T02N R07E S31","45.612100","-121.994500","163","","","Corydalis scouleri Hook. "
"image","dig17597","Papaveraceae","Meconella oregana","white meconella","Gerald D. Carr","","March 27, 2007","2007","Wasco","Sensitive species - location undisclosed","45.7000","-121.3000","","","","Meconella oregana Nutt. "
"observation","304593","Papaveraceae","Eschscholzia californica","California poppy, golden poppy","Wilson, B.","","17 June 2006","2006","Multnomah","Holiday Inn Express, Portland","45.5372","-122.6983","23","","","Eschscholzia californica Cham. "
"observation","207187","Papaveraceae","Dicentra formosa ssp. formosa","bleedingheart","Bluhm, W.","","September 2004","2004","Marion","Hawk Mountain via Rhodendron Ridge Trail","44.8500","-121.9481","1387","","","Dicentra formosa (Haw.) Walp. ssp. formosa "
"observation","308865","Papaveraceae","Eschscholzia californica","California poppy, golden poppy","Wilson, B.","","29 September 2006","2006","Josephine","Grants Pass, exit 59","42.4620","-123.3186","344","","","Eschscholzia californica Cham. "
"image","dig12418","Papaveraceae","Eschscholzia californica","California poppy, golden poppy","Keir Morse","","April 28, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I083; 42.279052851&#176; N -123.646134494&#176; W","42.2791","-123.6461","","","","Eschscholzia californica Cham. "
"observation","310218","Papaveraceae","Dicentra uniflora","steer's head, one flowered dicentra","Newhouse, B.","","2002 - 2004","2002","Lane","Bohemia Mountain, Fairview Peak, and Noonday Ridge Road","43.5783","-122.6333","","","","Dicentra uniflora Kellogg "
"observation","202290","Papaveraceae","Dicentra formosa","White flowered bleedingheart, Oregon dicentra","Harvey, T.","","2003 - 2010","2003","Linn","Three Pyramids - Harvey","44.4976","-122.0786","1167","","","Dicentra formosa (Haw.) Walp. "
"observation","318141","Papaveraceae","Dicentra formosa","White flowered bleedingheart, Oregon dicentra","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Dicentra formosa (Haw.) Walp. "
"observation","408192","Papaveraceae","Eschscholzia californica","California poppy, golden poppy","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Eschscholzia californica Cham. "
"observation","329682","Papaveraceae","Dicentra formosa","White flowered bleedingheart, Oregon dicentra","Wilson, B.","","2008","2008","Polk","Luckiamute Landing","44.7390","-123.1435","50","","","Dicentra formosa (Haw.) Walp. "
"observation","380707","Papaveraceae","Dicentra formosa ssp. formosa","bleedingheart","Bluhm, W., Savage, J., Kimmich, R.","","27 June 2009","2009","Yamhill","Yamhill Oaks Preserve","45.1802","-123.3722","91","","","Dicentra formosa (Haw.) Walp. ssp. formosa "
