"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","376855","Phrymaceae","Erythranthe nasuta","large nose monkeyflower","Harvey, T.","","2005 - 2010","2005","Douglas","Big Squaw Mountain - Harvey","43.1425","-122.7651","1219","","","Erythranthe nasuta (Greene) G.L. Nesom "
"observation","312535","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 1","43.9067","-122.1973","1402","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"observation","243295","Phrymaceae","Diplacus douglasii","Douglas monkeyflower","ORBIC","","22 April 2003","2003","Josephine","ORBIC Element Occurrence #  26656","42.3372","-123.5881","530","","","Diplacus douglasii (Benth.) G.L. Nesom "
"image","dig35874","Phrymaceae","Diplacus kelloggii","Kellogg's monkeyflower","Gerald D. Carr","","May 18, 2013","2013","Jackson","Slope above (E side of) CR777, 3.9 mi. N of jct. with Upper Applegate Rd.; 709m; 42.06407&#176; N -123.16437&#176; W","42.0641","-123.1644","709","","","Diplacus kelloggii (Curran ex Greene) G.L. Nesom "
"observation","372581","Phrymaceae","Erythranthe pulsiferae","Pulsifer's monkeyflower","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Erythranthe pulsiferae (A. Gray) G.L. Nesom "
"observation","421891","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2013","2013","Lane","Elk Camp and Nevergo Meadow","43.8876","-122.5978","1347","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","195032","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Bluhm, W., Myers, E.","","May 2003","2003","Josephine","York Creek Botanical Area","42.3812","-123.8259","274","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"observation","367296","Phrymaceae","Erythranthe lewisii","great purple monkeyflower, Lewis' monkeyflower","Harvey, T.","","22 August 2008","2008","Jefferson","Canyon Creek Meadows, Jefferson Wilderness","44.4957","-121.8254","1676","","","Erythranthe lewisii (Pursh) G.L. Nesom & N.S. Fraga "
"image","dig25077","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Gerald D. Carr","","August 13, 2010","2010","Douglas","NFD Road 2133, 0.4 mi. east of Loletta Lakes, ca. 35 mi. south of Oakridge via Rigdon Road; 1631m; 43.39632&#176; N -122.42849&#176; W","43.3963","-122.4285","1631","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"image","dig42457","Phrymaceae","Diplacus cusickii","Cusick's monkeyflower","Paul Slichter","","June 30, 2010","2010","Wheeler","Roadside ditch along Oregon Highway #19 at Shady Grove Rest Area between Kimberly and Spray, Oregon; 547m","44.8125","-119.7197","547","","","Diplacus cusickii (Greene) G.L. Nesom "
"image","dig22869","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Tanya Harvey","","July 1, 2005","2005","Douglas","Abbott Butte; 1859m; T30S R02E S23","42.9467","-122.5500","1859","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"image","dig21391","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Gerald D. Carr","","August 21, 2009","2009","Deschutes","Three Creek Meadow, off NFD Road 16, ca. 15.6 mi. south of Sisters; 1923m","44.1149","-121.6255","1923","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","367073","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Harvey, T.","","2004 - 2013","2004","Douglas","Buck Canyon","43.0762","-122.4105","1359","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","354140","Phrymaceae","Erythranthe lewisii","great purple monkeyflower, Lewis' monkeyflower","Wilson, B., Otting, N.","","10 July 2008","2008","Lake","Deep Creek, Road 4015-019, mile 3.1","42.0377","-120.2005","1953","","","Erythranthe lewisii (Pursh) G.L. Nesom & N.S. Fraga "
"image","dig41416","Phrymaceae","Diplacus congdonii","Congdon's monkeyflower","Gerald D. Carr","","April 16, 2015","2015","Jackson","Sensitive species - location undisclosed","42.2000","-123.1000","648","","","Diplacus congdonii (B.L. Rob.) G.L. Nesom "
"observation","316374","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Salix Associates","","29 August 2006","2006","Lane","Cabin Meadow, Mink Lake Basin","43.9482","-121.9155","1462","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"observation","371627","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2004 - 2005","2004","Douglas","Wild Rose Point","43.3715","-122.5386","1472","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","309197","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Duncan, J.","","22 July 2006","2006","Jackson","Siskiyou Crest from Big Red Mtn. to Observation Peak, and Cow Creek headwaters","42.0084","-122.8850","","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig34410","Phrymaceae","Erythranthe primuloides","primrose monkeyflower","Tanya Harvey","","July 25, 2010","2010","Douglas","Hills Peak; T25S R05E S10","43.4150","-122.2006","","","","Erythranthe primuloides (Benth.) G.L. Nesom & N.S. Fraga "
"image","dig25086","Phrymaceae","Diplacus douglasii","Douglas monkeyflower","Gerald D. Carr","","April 27, 2010","2010","Douglas","Beatty Creek, west of,  Cow Creek Road; 42.91788&#176; N -123.45954&#176; W","42.9179","-123.4595","","","","Diplacus douglasii (Benth.) G.L. Nesom "
"observation","371862","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Harvey, T.","","2004 - 2010","2004","Lane","Winberry Creek Rd 102-150","43.8737","-122.5784","351","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig25091","Phrymaceae","Erythranthe floribunda","purple stemmed monkeyflower","Gerald D. Carr","","July 5, 2010","2010","Gilliam","Highway 19, 0.4 mi. north of junction with Upper Rock Creek Road, north of Olex; 338m; 45.5061&#176; N -120.17649&#176; W","45.5061","-120.1765","338","","","Erythranthe floribunda (Douglas ex Lindl.) G.L. Nesom "
"image","dig38650","Phrymaceae","Diplacus aurantiacus","bush monkeyflower","Gerald D. Carr","","May 7, 2014","2014","Curry","Steep slope on E side of Hwy 101, 0.9 mi. NW of jct. with Carpenterville Rd.; 55m; 42.0851&#176; N -124.32643&#176; W","42.0851","-124.3264","55","","","Diplacus aurantiacus (Curtis) Jeps. "
"observation","301819","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Harvey, T.","","2005 - 2011","2005","Douglas","Whitehorse meadows, including Wolf Lake","43.1486","-122.4501","1603","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
"observation","370153","Phrymaceae","Erythranthe alsinoides","chickweed monkeyflower","Harvey, T.","","2005 - 2013","2005","Lane","Hills Creek Reservoir cliffs and Road 21","43.6338","-122.4399","472","","","Erythranthe alsinoides (Douglas ex Benth.) G.L. Nesom & N.S. Fraga "
"image","dig28425","Phrymaceae","Erythranthe breweri","Brewer's monkeyflower","Gerald D. Carr","","July 18, 2011","2011","Jefferson","Gravelly north shore of Scout Lake, near Suttle Lake, southwest of Camp Sherman; 1120m","44.4108","-121.7464","1120","","","Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga "
