"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","356269","Pinaceae","Pinus ponderosa var. ponderosa","ponderosa pine","Wilson, B., Housley, L.","","6 August 2008","2008","Lake","Road 3910","42.1807","-120.2010","1866","","","Pinus ponderosa Douglas ex C. Lawson var. ponderosa "
"observation","397899","Pinaceae","Pinus monticola","western white pine","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Highway 58, mile post 59 to 60","43.6179","-122.0809","","","","Pinus monticola D. Don "
"observation","303514","Pinaceae","Pinus contorta var. latifolia","lodgepole pine","Brainerd, R., Newhouse, B.","","11 August 2005","2005","Lane","Meadow south, southwest of Deer Creek Trailhead","43.5884","-122.0996","1596","","","Pinus contorta Douglas ex Loudon var. latifolia Engelm. "
"image","dig25538","Pinaceae","Pinus contorta","lodgepole pine, shore pine","Gerald D. Carr","","March 8, 2010","2010","Benton","Peavy Arboretum, ca. 6 mi. north of Corvallis; 110m; 44.65625&#176; N -123.23163&#176; W","44.6562","-123.2316","110","","","Pinus contorta Douglas ex Loudon "
"observation","375854","Pinaceae","Abies amabilis","Pacific silver fir, silver fir","Harvey, T.","","18 August 2009","2009","Douglas","Skipper Lakes Trail","43.3716","-122.4205","1551","","","Abies amabilis Douglas ex J. Forbes "
"observation","367110","Pinaceae","Pseudotsuga menziesii","Douglas-fir","Harvey, T.","","2004 - 2013","2004","Douglas","Buck Canyon","43.0762","-122.4105","1359","","","Pseudotsuga menziesii (Mirb.) Franco "
"observation","180335","Pinaceae","Pinus ponderosa","ponderosa pine","Koenig, J.","","14 May 2002","2002","Lane","Cloverpatch Butte Oak Habitat Inventory","43.8171","-122.5621","800","","","Pinus ponderosa Douglas ex C. Lawson "
"observation","243751","Pinaceae","Tsuga mertensiana","mountain hemlock","Battaile, C., Battaile, J.","","9 August 2003","2003","Klamath","Mountain Lakes Wilderness","42.3333","-122.0833","1951","forest, herbland, savanna","","Tsuga mertensiana (Bong.) Carrière "
"observation","308718","Pinaceae","Picea sitchensis","Sitka spruce","Wilson, B.","","7 September 2006","2006","Douglas","Carter Lake boat ramp","43.8556","-124.1436","15","","","Picea sitchensis (Bong.) Carrière "
"observation","292142","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Wilson, B.","","2002","2002","Wasco","I-84, mile 72 to 73","45.6950","-121.3535","","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","424284","Pinaceae","Tsuga mertensiana","mountain hemlock","Newhouse, B., Brainerd, R.","","12 August 2007","2007","Lane","Meadow East of Chetlo Lake","43.7579","-122.0702","1600","","","Tsuga mertensiana (Bong.) Carrière "
"observation","294542","Pinaceae","Pinus ponderosa","ponderosa pine","Wilson, B., Otting, N.","","19 December 2002","2002","Jackson","Valley of the Rogue State Park","42.4108","-123.1510","321","","","Pinus ponderosa Douglas ex C. Lawson "
"observation","393885","Pinaceae","Pinus contorta var. contorta","shore pine","Wilson, B., Otting, N.","","27 June 2010","2010","Lincoln","Highway 101, mile post 144 to 145","44.5911","-124.0642","","","","Pinus contorta Douglas ex Loudon var. contorta "
"observation","288720","Pinaceae","Pinus ponderosa","ponderosa pine","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 62 to 63","42.5123","-123.3642","","","","Pinus ponderosa Douglas ex C. Lawson "
"observation","283009","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Clackamas","I-5, mile 283 to 284","45.2973","-122.7693","","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","395731","Pinaceae","Pinus contorta var. latifolia","lodgepole pine","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Jefferson","Highway 20, Albany to Sisters, mile post 83 to 84","44.4232","-121.8057","","","","Pinus contorta Douglas ex Loudon var. latifolia Engelm. "
"observation","316420","Pinaceae","Pinus contorta","lodgepole pine, shore pine","Salix Associates","","31 August 2006","2006","Lane","Beaver Marsh, Mink Lake Basin","43.9426","-121.9232","1387","","","Pinus contorta Douglas ex Loudon "
"observation","330370","Pinaceae","Abies grandis","grand fir","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","4 October 2007","2007","Douglas","China Ditch Loop site 2","43.1353","-123.1449","380","","","Abies grandis (Douglas ex D. Don) Lindl. "
"observation","353731","Pinaceae","Picea engelmannii","Engelmann spruce","Wilson, B., Otting, N.","","7 July 2008","2008","Lane","Junction of Highway 58 and the road to Waldo Lake","43.6179","-122.0828","1353","","","Picea engelmannii Parry ex Engelm. "
"observation","296333","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Otting, N., Wilson, B., Brainerd, R.","","31 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 12 and 1211","45.4473","-122.1116","335","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","168239","Pinaceae","Pinus ponderosa","ponderosa pine","Duncan, J., Vos, B.","","18 May 2002","2002","Jackson","Pilot Rock - 41S 02E 03 NW of NE","42.0381","-122.5700","1463","","","Pinus ponderosa Douglas ex C. Lawson "
"observation","326934","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Morse, K.","","29 June 2007","2007","Josephine","Deer Creek Center - North","42.2922","-123.6505","456","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","206772","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Bluhm, W., Myers, E.","","August 2003","2003","Clackamas","Sugar Pine Botanical Area","44.9064","-121.9576","1219","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","384478","Pinaceae","Abies grandis","grand fir","Wilson, B.","","18 April 2010","2010","Benton","Fort Hoskins Park","44.6756","-123.4632","152","","","Abies grandis (Douglas ex D. Don) Lindl. "
"observation","296621","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Otting, N., Wilson, B.","","1 September 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 1210 and 1210056","45.4583","-122.0535","716","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","296136","Pinaceae","Abies procera","noble fir","Otting, N., Wilson, B.","","30 August 2005","2005","Clackamas","Bull Run Watershed: end of road 1000524","45.4573","-121.8923","853","","","Abies procera Rehder "
"observation","294368","Pinaceae","Pinus lambertiana","sugar pine","Heinze, D.","","19 April 2005","2005","Josephine","Slate Creek","42.3670","-123.5138","293","forest, savanna","","Pinus lambertiana Douglas "
"image","dig28752","Pinaceae","Pinus lambertiana","sugar pine","Gerald D. Carr","","July 25, 2011","2011","Lane","NFD Road 2129, ca. 5.2 mi. northeast of junction with NFS Road 21, ca. 14 air mi. south of Oakridge; 1265m; 43.54409&#176; N -122.40371&#176; W","43.5441","-122.4037","1265","","","Pinus lambertiana Douglas "
"observation","328037","Pinaceae","Pinus ponderosa","ponderosa pine","Morse, K.","","17 May 2007","2007","Josephine","Deer Creek Center - North","42.3063","-123.6590","456","","","Pinus ponderosa Douglas ex C. Lawson "
"observation","332827","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Bluhm, W.","","August 2008","2008","Tillamook","Kings and Elk Mountains","45.6167","-123.4985","244","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","181148","Pinaceae","Tsuga heterophylla","western hemlock","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Tsuga heterophylla (Raf.) Sarg. "
"observation","296630","Pinaceae","Tsuga heterophylla","western hemlock","Otting, N., Wilson, B.","","1 September 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 1210 and 1210056","45.4583","-122.0535","716","","","Tsuga heterophylla (Raf.) Sarg. "
"observation","395865","Pinaceae","Pinus ponderosa var. ponderosa","ponderosa pine","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Jefferson","Highway 20, Albany to Sisters, mile post 89 to 90","44.4151","-121.6984","","","","Pinus ponderosa Douglas ex C. Lawson var. ponderosa "
"observation","285547","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 186 to 187","43.9706","-123.0106","","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","388648","Pinaceae","Pinus contorta var. latifolia","lodgepole pine","Wilson, B., Brainerd, R.","","17 May 2007","2007","Deschutes","Highway 97, mile post 154 to 155","43.8581","-121.4114","","","","Pinus contorta Douglas ex Loudon var. latifolia Engelm. "
"observation","292842","Pinaceae","Pseudotsuga menziesii var. menziesii","coast Douglas-fir","Wilson, B.","","2002","2002","Hood River","I-84, mile 45 to 46","45.6746","-121.8674","","","","Pseudotsuga menziesii (Mirb.) Franco var. menziesii "
"observation","171700","Pinaceae","Pseudotsuga menziesii","Douglas-fir","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Pseudotsuga menziesii (Mirb.) Franco "
"observation","378942","Pinaceae","Abies lasiocarpa var. lasiocarpa","subalpine fir","Bluhm, W., Myers, E.","","2010","2010","Linn","Bingham Ridge Trail 3421 Willamette National Forest","44.6031","-121.8841","","","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa "
"observation","354514","Pinaceae","Tsuga heterophylla","western hemlock","Wilson, B., Otting, N.","","11 July 2008","2008","Douglas","Susan Creek Falls day use area","43.2986","-122.9051","291","","","Tsuga heterophylla (Raf.) Sarg. "
