"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","229177","Plantaginaceae","Plantago major","common plantain","Wilson, B.","","2002","2002","Hood River","Koberg Beach State Park & Rest Area","45.6981","-121.4741","37","","","Plantago major L. "
"observation","301911","Plantaginaceae","Veronica serpyllifolia var. humifusa","thyme leaved speedwell","Harvey, T.","","2005 - 2011","2005","Douglas","Whitehorse meadows, including Wolf Lake","43.1486","-122.4501","1603","","","Veronica serpyllifolia L. var. humifusa (Dicks.) Vahl "
"observation","330627","Plantaginaceae","Plantago lanceolata","English plantain, buckhorn plantain","Wilson, B.","","19 November 2007","2007","Lincoln","South Beach State Park","44.6066","-124.0634","","","","Plantago lanceolata L. "
"observation","289732","Plantaginaceae","Plantago lanceolata","English plantain, buckhorn plantain","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 23 to 24","42.2709","-122.8039","","","","Plantago lanceolata L. "
"observation","416898","Plantaginaceae","Penstemon richardsonii","cutleaf beardtongue, Richardson's penstemon","Wood, W.","","5 May 2013","2013","Wasco","Tom McCall Preserve, Mayer State Park","45.6832","-121.2996","","","","Penstemon richardsonii Douglas ex Lindl. "
"observation","385196","Plantaginaceae","Plantago major","common plantain","Wilson, B.","","15 May 2010","2010","Benton","Coast Range list 40: intersection with road to Hoskins","44.6722","-123.5158","271","","","Plantago major L. "
"observation","300057","Plantaginaceae","Collinsia rattanii","Rattan's collinsia","Harvey, T.","","9 June 2006","2006","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Collinsia rattanii A. Gray "
"observation","422569","Plantaginaceae","Veronica serpyllifolia var. humifusa","thyme leaved speedwell","Harvey, T.","","8 August 2012","2012","Lane","Lopez Lake and Road 5884","43.5925","-122.1607","1554","","","Veronica serpyllifolia L. var. humifusa (Dicks.) Vahl "
"observation","200364","Plantaginaceae","Synthyris reniformis","snow queen","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Synthyris reniformis (Douglas ex Benth.) Benth. "
"observation","423511","Plantaginaceae","Penstemon deustus","scabland penstemon","Harvey, T.","","6 July 2012","2012","Lane","Sensitive species - location undisclosed","43.5000","-122.7000","1362","","","Penstemon deustus Douglas ex Lindl. "
"observation","309041","Plantaginaceae","Plantago subnuda","Mexican plantain","Wilson, B.","","19 November 2006","2006","Lincoln","Yachats, south of Adobe resort and west of Highway 101","44.3119","-124.1043","12","","","Plantago subnuda Pilg. "
"observation","294569","Plantaginaceae","Plantago lanceolata","English plantain, buckhorn plantain","Wilson, B.","","19 December 2002","2002","Josephine","Manzanita Rest Area, I-5, northbound","42.5174","-123.3625","","","","Plantago lanceolata L. "
"observation","190134","Plantaginaceae","Nothochelone nemorosa","woodland beard tongue","Koenig, J.","","19 July 2002","2002","Clackamas","Table Rock Wilderness","44.9552","-122.3285","1387","","","Nothochelone nemorosa (Douglas ex Lindl.) Straw "
"observation","329214","Plantaginaceae","Veronica arvensis","corn speedwell","Morse, K.","","15 April 2007","2007","Josephine","Deer Creek Center - South","42.2793","-123.6458","382","","","Veronica arvensis L. "
"observation","382189","Plantaginaceae","Digitalis purpurea","foxglove","Wilson, B.","","25 June 2009","2009","Clatsop","Nehalem River boat launch at Hwy 101","45.7071","-123.8857","13","","","Digitalis purpurea L. "
"observation","404090","Plantaginaceae","Plantago lanceolata","English plantain, buckhorn plantain","Stein, M., Otting, N., Wilson, B.","","23 April 2011","2011","Benton","Seep S of Grass Mountain","44.4142","-123.6894","610","","","Plantago lanceolata L. "
"image","dig25367","Plantaginaceae","Penstemon anguineus","tongue leaved penstemon","Gerald D. Carr","","September 9, 2010","2010","Josephine","NFD Road 070, 0.77 mi. south of washout, northwest of Bigelow Lakes; 1704m; 42.09169&#176; N -123.37586&#176; W","42.0917","-123.3759","1704","","","Penstemon anguineus Eastw. "
"observation","308578","Plantaginaceae","Plantago coronopus","cutleaf plantain","Wilson, B.","","7 September 2006","2006","Curry","Highway 101 pull out south of Crystal Creek Road, Curry County","42.8310","-124.4788","30","","","Plantago coronopus L. "
"observation","370581","Plantaginaceae","Veronica americana","American brooklime","Harvey, T.","","2008 - 2013","2008","Lane","Mutton Meadow","43.4920","-122.3806","686","","","Veronica americana Schwein. ex Benth. "
"observation","417929","Plantaginaceae","Callitriche stagnalis","pond water starwort","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Callitriche stagnalis Scop. "
"observation","378053","Plantaginaceae","Veronica serpyllifolia var. humifusa","thyme leaved speedwell","Harvey, T.","","2010","2010","Douglas","Hills Peak","43.4096","-122.1882","1509","","","Veronica serpyllifolia L. var. humifusa (Dicks.) Vahl "
"observation","191685","Plantaginaceae","Penstemon procerus var. brachyanthus","short flowered pincushion beardtongue","Bluhm, W.","","September 2002","2002","Deschutes","Green Lakes Trail","44.0614","-121.7411","1658","","","Penstemon procerus Douglas ex Graham var. brachyanthus (Pennell) Cronquist "
"observation","330274","Plantaginaceae","Plantago major","common plantain","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","4 October 2007","2007","Douglas","Pioneer Park, Canyonville","42.9264","-123.2754","82","","","Plantago major L. "
"observation","337700","Plantaginaceae","Penstemon cinicola","ash penstemon, small flowered penstemon","BLM Botanist","","7 August 2007","2007","Deschutes","21S 10E 24 - 2007","43.7398","-121.4771","","","","Penstemon cinicola D.D. Keck "
"image","dig27162","Plantaginaceae","Callitriche trochlearis","wheel fruited water starwort","Gerald D. Carr","","April 20, 2011","2011","Jackson","Upper Table Rock summit plateau, off Modoc Road, north of White City; 620m; 42.46788&#176; N -122.89547&#176; W","42.4679","-122.8955","620","","","Callitriche trochlearis Fassett "
"observation","371428","Plantaginaceae","Nothochelone nemorosa","woodland beard tongue","Harvey, T.","","2004 - 2011","2004","Douglas","Twin Lakes","43.2348","-122.5875","1481","","","Nothochelone nemorosa (Douglas ex Lindl.) Straw "
