binomial,count
Antirrhinum orontium,5
Antirrhinum vexillo-calyculatum,3
Callitriche fassettii,2
Callitriche heterophylla,13
Callitriche marginata,1
Callitriche stagnalis,16
Callitriche trochlearis,1
Callitriche verna,1
Collinsia grandiflora,32
Collinsia linearis,10
Collinsia parviflora,95
Collinsia rattanii,23
Collinsia sparsiflora,2
Cymbalaria muralis,2
Digitalis purpurea,190
Gratiola ebracteata,13
Hippuris vulgaris,4
Keckiella lemmonii,2
Kickxia elatine,33
Kickxia spuria,3
Linaria dalmatica,7
Linaria maroccana,1
Linaria vulgaris,5
Nothochelone nemorosa,92
Nuttallanthus texanus,1
Penstemon anguineus,3
Penstemon azureus,3
Penstemon barrettiae,1
Penstemon cardwellii,84
Penstemon cinicola,9
Penstemon davidsonii,12
Penstemon deustus,37
Penstemon eriantherus,1
Penstemon euglaucus,5
Penstemon humilis,7
Penstemon laetus,3
Penstemon newberryi,1
Penstemon ovatus,1
Penstemon parvulus,1
Penstemon peckii,1
Penstemon procerus,35
Penstemon rattanii,6
Penstemon richardsonii,2
Penstemon roezlii,5
Penstemon rupicola,69
Penstemon rydbergii,7
Penstemon serrulatus,26
Penstemon speciosus,7
Plantago arenaria,4
Plantago coronopus,14
Plantago erecta,2
Plantago lanceolata,383
Plantago major,222
Plantago maritima,9
Plantago patagonica,1
Plantago subnuda,17
Synthyris missurica,2
Synthyris reniformis,91
Synthyris schizantha,1
Tonella tenella,30
Veronica americana,99
Veronica anagallis-aquatica,5
Veronica arvensis,35
Veronica catenata,1
Veronica cusickii,1
Veronica filiformis,7
Veronica hederaefolia,1
Veronica officinalis,15
Veronica peregrina,27
Veronica persica,16
Veronica scutellata,37
Veronica serpyllifolia,89
Veronica wormskjoldii,18
