"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","407563","Poaceae","Poa pratensis","Kentucky bluegrass","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Sand Hollow Well","43.9375","-120.1121","1247","","","Poa pratensis L. "
"observation","283458","Poaceae","Schedonorus arundinaceus","tall fescue","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 264 to 265","45.0636","-122.9651","","","","Schedonorus arundinaceus (Schreb.) Dumort. "
"observation","295798","Poaceae","Anthoxanthum odoratum","sweet vernalgrass","Otting, N., Wilson, B.","","25 August 2005","2005","Multnomah","Bull Run Watershed: shore of Reservoir #2, at end of spur from road 10 in section 19","45.4647","-122.1116","274","","","Anthoxanthum odoratum L. "
"observation","285485","Poaceae","Phalaris arundinacea","reed canarygrass","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 188 to 189","43.9970","-123.0117","","","","Phalaris arundinacea L. "
"observation","304482","Poaceae","Schedonorus arundinaceus","tall fescue","Wilson, B.","","15 June 2006","2006","Coos","railroad crossing, North Spit","43.4370","-124.2388","2","","","Schedonorus arundinaceus (Schreb.) Dumort. "
"observation","380936","Poaceae","Agrostis capillaris","colonial bentgrass, browntop","Brainerd, R., Otting, N., Wilson, B.","","2009","2009","Lane","east of Lost Lake","44.4285","-121.8948","1219","","","Agrostis capillaris L. "
"observation","283589","Poaceae","Phalaris arundinacea","reed canarygrass","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 259 to 260","44.9956","-122.9977","","","","Phalaris arundinacea L. "
"observation","297048","Poaceae","Elymus repens","quackgrass","Brainerd, R., Wilson, B.","","23 July 2004","2004","Deschutes","Dry River","44.1316","-121.0223","994","","","Elymus repens (L.) Gould "
"observation","179008","Poaceae","Festuca roemeri","Roemer's fescue","Boyer, L.","","2002","2002","Lane","Jasper","44.0041","-122.8759","","","","Festuca roemeri Yu.E. Alexeev "
"observation","297175","Poaceae","Vulpia bromoides","brome fescue, rattail fescue","Brainerd, R., Otting, N., Wilson, B.","","2004","2004","Lane","Oakridge (west side of town)","43.7472","-122.4901","","","","Vulpia bromoides (L.) Gray "
"observation","401339","Poaceae","Poa trivialis","rough bluegrass","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Poa trivialis L. "
"observation","323196","Poaceae","Bromus hordeaceus","soft chess","Otting, N., Wilson, B.","","24 June 2007","2007","Douglas","Pond near Canyon Creek, BLM roads 31-5-13 and 31-5-12.1","42.8748","-123.2293","456","","","Bromus hordeaceus L. "
"observation","381420","Poaceae","Pseudoroegneria spicata","bluebunch wheatgrass","Brainerd, R., Wilson, B.","","13 September 2007","2007","Wheeler","Burnt Ranch Road","44.5987","-120.2146","726","","","Pseudoroegneria spicata (Pursh) Á. Löve "
"observation","306813","Poaceae","Aira caryophyllea","silver hairgrass","Wilson, B.","","12 August 2006","2006","Multnomah","hillside around Blackline, Inc.","45.5388","-122.7148","","","","Aira caryophyllea L. "
"observation","309847","Poaceae","Agrostis exarata","spike bentgrass","Salix Associates","","2004","2004","Benton","Allen & Allen","44.4903","-123.3269","73","","","Agrostis exarata Trin. "
"observation","405504","Poaceae","Alopecurus pratensis","meadow foxtail","Wilson, B.","","10 July 2011","2011","Benton","Jackson-Frazier Wetland","44.6041","-123.2401","66","","","Alopecurus pratensis L. "
"observation","284210","Poaceae","Holcus lanatus","velvetgrass","Wilson, B., Newhouse, B.","","2002","2002","Linn","I-5, mile 239 to 240","44.7199","-123.0541","","","","Holcus lanatus L. "
"observation","292550","Poaceae","Poa bulbosa","bulbous bluegrass","Wilson, B.","","2002","2002","Hood River","I-84, mile 56 to 57","45.6973","-121.6610","","","","Poa bulbosa L. "
