binomial,count
Achnatherum hymenoides,10
Achnatherum lemmonii,45
Achnatherum nelsonii,4
Achnatherum occidentale,30
Achnatherum thurberianum,18
Aegilops cylindrica,1
Aegilops triuncialis,1
Agropyron cristatum,43
Agrostis capillaris,283
Agrostis castellana,1
Agrostis densiflora,2
Agrostis exarata,90
Agrostis gigantea,24
Agrostis hallii,9
Agrostis howellii,2
Agrostis idahoensis,17
Agrostis microphylla,3
Agrostis oregonensis,15
Agrostis pallens,17
Agrostis scabra,45
Agrostis stolonifera,110
Agrostis variabilis,3
Aira caryophyllea,242
Aira elegantissima,9
Aira praecox,32
Alopecurus aequalis,6
Alopecurus geniculatus,19
Alopecurus pratensis,135
Alopecurus saccatus,2
Ammophila arenaria,39
Anthoxanthum aristatum,2
Anthoxanthum odoratum,181
Apera interrupta,7
Aristida oligantha,1
Arrhenatherum elatius,223
Avena barbata,20
Avena fatua,31
Avena sativa,19
Beckmannia syzigachne,13
Brachypodium sylvaticum,79
Briza maxima,17
Briza minor,51
Bromus briziformis,1
Bromus carinatus,216
Bromus catharticus,1
Bromus ciliatus,7
Bromus commutatus,5
Bromus diandrus,243
Bromus hordeaceus,212
Bromus inermis,21
Bromus japonicus,8
Bromus laevipes,6
Bromus madritensis,1
Bromus maritimus,2
Bromus orcuttianus,1
Bromus pacificus,5
Bromus rubens,3
Bromus secalinus,45
Bromus sitchensis,76
Bromus squarrosus,1
Bromus sterilis,72
Bromus suksdorfii,3
Bromus tectorum,318
Bromus vulgaris,147
Calamagrostis breweri,1
Calamagrostis canadensis,40
Calamagrostis nutkaensis,23
Calamagrostis rubescens,1
Calamagrostis stricta,29
Cenchrus longispinus,3
Cinna latifolia,14
Cortaderia jubata,17
Cortaderia selloana,1
Crypsis alopecuroides,3
Crypsis schoenoides,2
Cynodon dactylon,7
Cynosurus cristatus,27
Cynosurus echinatus,284
Dactylis glomerata,463
Danthonia californica,185
Danthonia decumbens,1
Danthonia intermedia,40
Danthonia spicata,2
Danthonia unispicata,14
Deschampsia cespitosa,156
Deschampsia danthonioides,24
Deschampsia elongata,71
Dichanthelium acuminatum,17
Dichanthelium oligosanthes,2
Digitaria ischaemum,3
Digitaria sanguinalis,52
Diplachne fusca,1
Distichlis spicata,6
Echinochloa crus-galli,38
Echinochloa muricata,4
Elymus elymoides,135
Elymus glaucus,404
Elymus lanceolatus,5
Elymus multisetus,5
Elymus repens,53
Elymus trachycaulus,16
Elymus wawawaiensis,2
Eragrostis cilianensis,4
Eragrostis curvula,21
Eragrostis hypnoides,7
Eragrostis mexicana,14
Eragrostis minor,3
Eragrostis pectinacea,19
Eragrostis pilosa,1
Festuca californica,45
Festuca elmeri,9
Festuca filiformis,2
Festuca idahoensis,3
Festuca occidentalis,80
Festuca roemeri,68
Festuca rubra,307
Festuca subulata,26
Festuca subuliflora,14
Festuca trachyphylla,3
Festuca valesiaca,15
Festuca viridula,17
Gastridium phleoides,13
Glyceria borealis,7
Glyceria declinata,5
Glyceria elata,24
Glyceria leptostachya,5
Glyceria striata,60
Hesperostipa comata,6
Hierochloë occidentalis,9
Hierochloë odorata,1
Holcus lanatus,477
Holcus mollis,49
Hordeum brachyantherum,39
Hordeum jubatum,20
Hordeum marinum,21
Hordeum murinum,41
Koeleria macrantha,65
Leersia oryzoides,27
Leymus cinereus,36
Leymus condensatus,2
Leymus flavescens,3
Leymus mollis,39
Leymus triticoides,2
Lolium multiflorum,62
Lolium perenne,141
Melica aristata,2
Melica bulbosa,1
Melica fugax,1
Melica geyeri,9
Melica harfordii,10
Melica smithii,1
Melica subulata,75
Molinia caerulea,1
Muhlenbergia andina,1
Muhlenbergia asperifolia,2
Muhlenbergia filiformis,73
Muhlenbergia mexicana,5
Muhlenbergia richardsonis,8
Nassella tenuissima,3
Panicum capillare,36
Panicum dichotomiflorum,11
Panicum miliaceum,8
Panicum rigidulum,1
Pascopyrum smithii,1
Paspalum dilatatum,13
Paspalum distichum,6
Phalaris aquatica,15
Phalaris arundinacea,345
Phalaris canariensis,1
Phalaris paradoxa,1
Phleum alpinum,15
Phleum pratense,87
Phragmites australis,4
Pleuropogon refractus,12
Poa annua,190
Poa bulbosa,218
Poa chambersii,2
Poa compressa,69
Poa cusickii,3
Poa infirma,11
Poa laxiflora,9
Poa leibergii,1
Poa macrantha,4
Poa marcida,5
Poa nemoralis,3
Poa palustris,21
Poa pratensis,212
Poa pringlei,1
Poa rhizomata,15
Poa secunda,61
Poa stenantha,2
Poa trivialis,27
Poa wheeleri,1
Poa ×multnomae,4
Podagrostis humilis,29
Podagrostis thurberiana,3
Polypogon interruptus,1
Polypogon maritimus,1
Polypogon monspeliensis,21
Pseudoroegneria spicata,30
Puccinellia distans,1
Puccinellia lemmonii,1
Puccinellia nutkaensis,1
Rytidosperma penicillatum,4
Schedonorus arundinaceus,810
Schedonorus pratensis,8
Sclerochloa dura,1
Secale cereale,59
Setaria pumila,3
Setaria verticillata,1
Setaria viridis,15
Sorghum halepense,3
Spartina patens,1
Sporobolus cryptandrus,6
Taeniatherum caput-medusae,52
Thinopyrum intermedium,40
Thinopyrum ponticum,19
Thinopyrum pycnanthum,1
Torreyochloa pallida,26
Triplasis purpurea,3
Trisetum canescens,31
Trisetum cernuum,28
Trisetum spicatum,2
Triticum aestivum,12
Vahlodea atropurpurea,7
Ventenata dubia,65
Vulpia bromoides,56
Vulpia microstachys,59
Vulpia myuros,116
Vulpia octoflora,7
