"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","376488","Polemoniaceae","Leptosiphon bicolor","bicolored linanthus","Newhouse, B., Brainerd, R.","","2007","2007","Lane","Meisen Property","44.0004","-123.1231","242","","","Leptosiphon bicolor Nutt. "
"observation","409113","Polemoniaceae","Collomia grandiflora","large flowered collomia","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","26 July 2012","2012","Linn","Bowers Rock State Park","44.6338","-123.1585","","","","Collomia grandiflora Douglas ex Lindl. "
"image","dig12862","Polemoniaceae","Leptosiphon bicolor","bicolored linanthus","Keir Morse","","April 28, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I076; 42.2819642172&#176; N -123.650494058&#176; W","42.2820","-123.6505","","","","Leptosiphon bicolor Nutt. "
"observation","300232","Polemoniaceae","Polemonium californicum","California polemonium","Harvey, T.","","2004 - 2011","2004","Douglas","Abbott Butte","42.9321","-122.5699","1637","","","Polemonium californicum Eastw. "
"observation","352785","Polemoniaceae","Gilia capitata ssp. capitata","bluefield gilia","Wilson, B.","","18 June 2008","2008","Douglas","Road 31-5-13.1, site 1","42.8830","-123.2278","661","","","Gilia capitata Sims ssp. capitata "
"observation","407874","Polemoniaceae","Collomia linearis","narrowleaf collomia","Wilson, B., Otting, N.","","26 June 2012","2012","Lake","Hill Camp near Big Hole Reservoir","42.0529","-119.7006","1885","","","Collomia linearis Nutt. "
"observation","141624","Polemoniaceae","Gilia capitata ssp. capitata","bluefield gilia","Cole, Gl.","","22 June 2002","2002","Linn","Quentin Creek Roadless Area","44.3090","-122.2406","640","forest","","Gilia capitata Sims ssp. capitata "
"observation","324712","Polemoniaceae","Gilia sinuata","rosy gilia","BLM Botanist","","2007","2007","Lake","Benjamin Research Natural Area","43.5936","-120.3663","","","","Gilia sinuata Douglas ex Benth. "
"image","dig12590","Polemoniaceae","Gilia capitata ssp. capitata","bluefield gilia","Keir Morse","","May 17, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I131; 42.2998854024&#176; N -123.656999147&#176; W","42.2999","-123.6570","","","","Gilia capitata Sims ssp. capitata "
"observation","424623","Polemoniaceae","Navarretia intertexta","needleleaf navarretia","Gibson, Ju.","","2013","2013","Benton","Jackson Frazier Wetlands welcome sign area","44.6040","-123.2388","","","","Navarretia intertexta (Benth.) Hook. "
"observation","356460","Polemoniaceae","Leptosiphon harknessii","Harkness' linanthus","Wilson, B., Newhouse, B.","","7 August 2008","2008","Lake","Road 012, site 3","42.4686","-120.6941","1786","","","Leptosiphon harknessii (Curran) J.M. Porter & L.A. Johnson "
"observation","311569","Polemoniaceae","Navarretia squarrosa","skunkweed","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","North Taylor","44.1378","-123.2937","102","","","Navarretia squarrosa (Eschsch.) Hook. & Arn. "
