binomial,count
Collomia debilis,1
Collomia grandiflora,61
Collomia heterophylla,99
Collomia linearis,12
Collomia mazama,4
Collomia tenella,1
Collomia tinctoria,19
Gilia capitata,92
Gilia millefoliata,1
Gilia sinuata,1
Ipomopsis aggregata,48
Leptosiphon bicolor,45
Leptosiphon bolanderi,1
Leptosiphon ciliatus,2
Leptosiphon harknessii,19
Leptosiphon nuttallii,4
Linanthus pungens,11
Microsteris gracilis,120
Navarretia capillaris,11
Navarretia divaricata,22
Navarretia heterandra,7
Navarretia intertexta,47
Navarretia leucocephala,2
Navarretia sinistra,7
Navarretia squarrosa,37
Navarretia tagetina,6
Navarretia willamettensis,4
Phlox adsurgens,22
Phlox diffusa,56
Phlox hoodii,11
Phlox speciosa,12
Polemonium californicum,9
Polemonium carneum,42
Polemonium micranthum,3
Polemonium occidentale,6
Polemonium pulcherrimum,7
