binomial,count
Aconogonon davisiae,12
Aconogonon phytolaccifolium,23
Bistorta bistortoides,86
Eriogonum compositum,84
Eriogonum diclinum,1
Eriogonum douglasii,2
Eriogonum elatum,7
Eriogonum heracleoides,2
Eriogonum latifolium,5
Eriogonum marifolium,11
Eriogonum microthecum,4
Eriogonum niveum,23
Eriogonum nudum,100
Eriogonum ovalifolium,5
Eriogonum pendulum,1
Eriogonum pyrolifolium,7
Eriogonum spergulinum,1
Eriogonum sphaerocephalum,5
Eriogonum strictum,5
Eriogonum ternatum,1
Eriogonum umbellatum,72
Eriogonum vimineum,8
Fallopia convolvulus,5
Fallopia japonica,20
Fallopia sachalinensis,3
Fallopia ×bohemica,7
Oxyria digyna,4
Persicaria amphibia,6
Persicaria hydropiper,11
Persicaria hydropiperoides,11
Persicaria lapathifolia,5
Persicaria maculosa,30
Persicaria orientalis,1
Persicaria pensylvanica,3
Persicaria punctata,4
Persicaria wallichii,2
Polygonum aviculare,52
Polygonum cascadense,29
Polygonum douglasii,57
Polygonum majus,7
Polygonum minimum,62
Polygonum paronychia,11
Polygonum polygaloides,12
Polygonum sawatchense,1
Polygonum shastense,2
Polygonum spergulariiforme,6
Rumex acetosella,408
Rumex californicus,1
Rumex conglomeratus,27
Rumex crispus,223
Rumex fueginus,6
Rumex obtusifolius,80
Rumex occidentalis,9
Rumex paucifolius,1
Rumex persicarioides,2
Rumex salicifolius,38
Rumex sanguineus,1
Rumex venosus,5
