"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","228838","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","2002 - 2003","2002","Morrow","Boardman Rest Area on eastbound I-84","45.8329","-119.7681","88","","","Portulaca oleracea L. "
"observation","358370","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","17 October 2008","2008","Douglas","Ben Irving Reservoir; picnic area","43.0468","-123.5797","268","","","Portulaca oleracea L. "
"observation","357155","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","16 August 2008","2008","Wasco","Clarno nursery","44.9184","-120.4725","389","","","Portulaca oleracea L. "
"image","dig13663","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","406853","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","16 September 2011","2011","Harney","Chickahominy Reservoir","43.5460","-119.6136","1316","","","Portulaca oleracea L. "
"observation","325267","Portulacaceae","Portulaca oleracea","common purslane","Olson, B.B., Maffitt, V.","","26 August 2005","2005","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Portulaca oleracea L. "
"observation","329186","Portulacaceae","Portulaca oleracea","common purslane","Morse, K.","","19 July 2007","2007","Josephine","Deer Creek Center - South","42.2785","-123.6458","382","","","Portulaca oleracea L. "
"image","dig13660","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 19, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","396060","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","2009","2009","Deschutes","Highway 20, Albany to Sisters, mile post 99 to 100","44.3073","-121.5696","","","","Portulaca oleracea L. "
"observation","299429","Portulacaceae","Portulaca oleracea","common purslane","Brainerd, R., Wilson, B.","","20 July 2005","2005","Jackson","Stewart State Park near boat ramp","42.6843","-122.6186","579","","","Portulaca oleracea L. "
"observation","312005","Portulacaceae","Portulaca oleracea","common purslane","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Portulaca oleracea L. "
"image","dig13664","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","297162","Portulacaceae","Portulaca oleracea","common purslane","Brainerd, R., Otting, N., Wilson, B.","","2004","2004","Lane","Oakridge (west side of town)","43.7472","-122.4901","","","","Portulaca oleracea L. "
"observation","381190","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","2010","2010","Benton","Corvallis: Walnut and 13th to Circle and Highland","44.5906","-123.2675","63","","","Portulaca oleracea L. "
"observation","351878","Portulacaceae","Portulaca oleracea","common purslane","Kuykendall, K., Brainerd, R., Lytjen, D., Newhouse, B., Otting, N., Wilson, B.","","2008","2008","Lake","Lakeview","42.1859","-120.3462","","","","Portulaca oleracea L. "
"observation","330579","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","1 November 2007","2007","Multnomah","Multnomah Falls","45.5790","-122.1165","24","","","Portulaca oleracea L. "
"observation","393859","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","21 August 2009","2009","Malheur","Highway 20, Bend to Ontario, mile post 256 to 257","43.9887","-117.0498","","","","Portulaca oleracea L. "
"observation","418544","Portulacaceae","Portulaca oleracea","common purslane","Maze, D.","","7 July 2013","2013","Multnomah","Willamette Park 2013","45.4752","-122.6684","","","","Portulaca oleracea L. "
"observation","383234","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","17 August 2009","2009","Union","Charles Reynolds Rest Area, I-84","45.2353","-118.0148","870","","","Portulaca oleracea L. "
"observation","409729","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","20 August 2012","2012","Wasco","Celilo Park","45.6505","-120.9612","55","","","Portulaca oleracea L. "
"observation","392470","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Coberly, C., Otting, N.","","21 August 2009","2009","Harney","Highway 20, Bend to Ontario, mile post 129 to 130","43.5604","-119.0838","","","","Portulaca oleracea L. "
"observation","322066","Portulacaceae","Portulaca oleracea","common purslane","Otting, N., Mitchell, K., Wilson, B.","","10 June 2007","2007","Malheur","Ontario State Recreation Area","44.0476","-116.9734","653","","","Portulaca oleracea L. "
"observation","321536","Portulacaceae","Portulaca oleracea","common purslane","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Portulaca oleracea L. "
"image","dig13661","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 19, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","323875","Portulacaceae","Portulaca oleracea","common purslane","Brainerd, R., Otting, N., Wilson, B.","","10 August 2007","2007","Harney","Hines, near Best Western","43.5730","-119.0768","1268","","","Portulaca oleracea L. "
"observation","358039","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Amacher Park","43.2806","-123.3575","135","","","Portulaca oleracea L. "
"observation","230481","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","2002 - 2003","2002","Umatilla","Hermiston - Wilson","45.8404","-119.2895","","","","Portulaca oleracea L. "
"observation","300643","Portulacaceae","Portulaca oleracea","common purslane","Smith, R.M.","","5 September 2005","2005","Deschutes","Deschutes County, misc. sites","44.0578","-121.2586","","","","Portulaca oleracea L. "
"observation","207633","Portulacaceae","Portulaca oleracea","common purslane","Duncan, J.","","11 October 2004","2004","Jackson","Emigrant Lake","42.1401","-122.6134","","","","Portulaca oleracea L. "
"observation","228897","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","2002 - 2004","2002","Gilliam","Arlington","45.7162","-120.2012","76","","","Portulaca oleracea L. "
"observation","352066","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","2008","2008","Crook","Prineville, from the Stafford Inn to Juniper Street","44.3043","-120.8318","889","","","Portulaca oleracea L. "
"observation","323755","Portulacaceae","Portulaca oleracea","common purslane","Otting, N., Wilson, B.","","26 July 2007","2007","Union","Super 8 and Best Western Motels area by LaGrande exit from I-84","45.3432","-118.1214","847","","","Portulaca oleracea L. "
"observation","231269","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","2002 - 2008","2002","Jefferson","Madras","44.6288","-121.1398","","","","Portulaca oleracea L. "
"image","dig13662","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","229425","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","2002 - 2008","2002","Multnomah","Troutdale","45.5456","-122.4010","9","","","Portulaca oleracea L. "
"image","dig13659","Portulacaceae","Portulaca oleracea","common purslane","Keir Morse","","July 19, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I241; 42.2785323673&#176; N -123.645801729&#176; W","42.2785","-123.6458","","","","Portulaca oleracea L. "
"observation","392906","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N., Coberly, C.","","21 August 2009","2009","Harney","Highway 20, Bend to Ontario, mile post 179 to 180","43.7860","-118.2500","","","","Portulaca oleracea L. "
"observation","357071","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","16 August 2008","2008","Deschutes","Cline Falls State Park","44.2920","-121.5579","972","","","Portulaca oleracea L. "
"observation","394252","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 26 to 27","44.4051","-122.7538","","","","Portulaca oleracea L. "
"observation","383252","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B., Otting, N.","","20 August 2009","2009","Malheur","I-84 rest area, Ontario, westbound","44.0270","-116.9412","645","","","Portulaca oleracea L. "
"observation","383744","Portulacaceae","Portulaca oleracea","common purslane","Wilson, B.","","8 October 2009","2009","Linn","Hwy 20 below Mountain House","44.4066","-122.2904","423","","","Portulaca oleracea L. "
