"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig12185","Primulaceae","Dodecatheon hendersonii","Henderson's shooting star, broadleaf shooting star","Keir Morse","","March 28, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I012; 42.291548777&#176; N -123.653309835&#176; W","42.291500","-123.653300","","","","Dodecatheon hendersonii A. Gray "
"observation","327410","Primulaceae","Dodecatheon hendersonii","Henderson's shooting star, broadleaf shooting star","Morse, K.","","17 May 2007","2007","Josephine","Deer Creek Center - North","42.2971","-123.6550","456","","","Dodecatheon hendersonii A. Gray "
"image","dig26215","Primulaceae","Lysimachia europaea","northern starflower, arctic starflower","Gerald D. Carr","","July 14, 2010","2010","Clackamas","Trail 724 to Black Wolf Meadows/Anvil Lake, NFD Road 160, 14.2 mi. north of Ripplebrook via NFD Roads 57 and 58; 1265m; 45.14749&#176; N -121.86431&#176; W","45.1475","-121.8643","1265","","","Lysimachia europaea (L.) U. Manns & Anderb. "
"observation","243667","Primulaceae","Dodecatheon pulchellum","darkthroat shooting star","Battaile, C., Battaile, J.","","26 May 2003","2003","Lake","Sensitive species - location undisclosed","42.8000","-121.0000","","","","Dodecatheon pulchellum (Raf.) Merr. "
"observation","308824","Primulaceae","Lysimachia arvensis","scarlet pimpernel","Wilson, B.","","29 September 2006","2006","Josephine","Intersection of Highway 199 and the road to Cave Junction","42.1621","-123.6456","408","","","Lysimachia arvensis (L.) U. Manns & Anderb. "
"image","dig40861","Primulaceae","Androsace filiformis","slender stemmed fairy candelabra, slender rock jasmine","Gerald D. Carr","","July 14, 2015","2015","Hood River","Dirt road track, just off NFD Rd. 44 (Dufur Mill Rd.), vic. Bottle Prairie, ca. 10 air mi. E of Mt. Hood; 1394m; 45.39508&#176; N -121.50015&#176; W","45.3951","-121.5002","1394","","","Androsace filiformis Retz. "
"observation","328008","Primulaceae","Lysimachia latifolia","western starflower","Morse, K.","","3 July 2007","2007","Josephine","Deer Creek Center - North","42.3063","-123.6602","456","","","Lysimachia latifolia (Hook.) Cholewa "
"image","dig41800","Primulaceae","Lysimachia ciliata","fringed loosestrife","Gerald D. Carr","","July 13, 2015","2015","Multnomah","S of I-84 at exit 25, S side of Rooster Rock State Park; 13m","45.5426","-122.2384","13","","","Lysimachia ciliata L. "
"image","dig26586","Primulaceae","Cyclamen purpurascens","Cyclamen","Rob Soreng","","September 15, 2011","2011","Lane","East side of Floral Hill, Ribbon Trail, Eugene; 200m; 44.02989&#176; N -123.05749&#176; W","44.0299","-123.0575","200","","","Cyclamen purpurascens Mill. "
"image","dig34487","Primulaceae","Lysimachia europaea","northern starflower, arctic starflower","Tanya Harvey","","August 24, 2013","2013","Lane","""Castle Lake"", unnamed lake along Rd 1993; T17S R06E S14","44.0926","-122.0507","","","","Lysimachia europaea (L.) U. Manns & Anderb. "
"observation","367265","Primulaceae","Dodecatheon jeffreyi","tall mountain shooting star, Jeffrey's shooting star","Harvey, T.","","22 August 2008","2008","Jefferson","Canyon Creek Meadows, Jefferson Wilderness","44.4957","-121.8254","1676","","","Dodecatheon jeffreyi Van Houtte "
"observation","384686","Primulaceae","Lysimachia latifolia","western starflower","Wilson, B.","","18 April 2010","2010","Polk","Ritner Creek Park","44.7401","-123.4912","119","","","Lysimachia latifolia (Hook.) Cholewa "
"observation","319492","Primulaceae","Lysimachia europaea","northern starflower, arctic starflower","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Island Creek Recreation Area","42.9133","-123.4800","226","","","Lysimachia europaea (L.) U. Manns & Anderb. "
"observation","413186","Primulaceae","Lysimachia arvensis","scarlet pimpernel","Newhouse, B.","","2010 - 2012","2010","Lane","Coyote-Spencer Wetlands, Eugene","44.0113","-123.2633","","","","Lysimachia arvensis (L.) U. Manns & Anderb. "
