"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","192712","Pteridaceae","Cheilanthes gracillima","lace lipfern, lace fern","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Cheilanthes gracillima D.C. Eaton "
"observation","318120","Pteridaceae","Adiantum aleuticum","northern maidenhair fern, western maidenhair fern","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Adiantum aleuticum (Rupr.) C.A. Paris "
"observation","422251","Pteridaceae","Pentagramma triangularis","goldback fern","Harvey, T.","","23 May 2013","2013","Lane","Jasper Prairie: Harvey","44.0005","-122.8689","253","","","Pentagramma triangularis (Kaulf.) Yatsk., Windham, E. Wollenw. "
"observation","351734","Pteridaceae","Cheilanthes intertexta","coastal lipfern","ORBIC","","13 June 2007","2007","Jackson","Sensitive species - location undisclosed","42.0000","-122.5000","1366","","","Cheilanthes intertexta (Maxon) Maxon "
"observation","375610","Pteridaceae","Cheilanthes gracillima","lace lipfern, lace fern","Harvey, T.","","2008 - 2009","2008","Linn","Lava Area along Hwy 126","44.3240","-121.9994","884","","","Cheilanthes gracillima D.C. Eaton "
"observation","422820","Pteridaceae","Pentagramma triangularis","goldback fern","Harvey, T.","","2012","2012","Linn","McKenzie Cliffs","44.2783","-122.0877","549","","","Pentagramma triangularis (Kaulf.) Yatsk., Windham, E. Wollenw. "
"observation","379555","Pteridaceae","Cryptogramma acrostichoides","American parsley fern","Bluhm, W., Myers, E.","","2010","2010","Marion","Little North Santiam River Trail 3338","44.8389","-122.3251","","","","Cryptogramma acrostichoides R. Br. "
"observation","360790","Pteridaceae","Cheilanthes gracillima","lace lipfern, lace fern","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Cheilanthes gracillima D.C. Eaton "
"observation","403271","Pteridaceae","Pentagramma triangularis","goldback fern","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Pentagramma triangularis (Kaulf.) Yatsk., Windham, E. Wollenw. "
"observation","421678","Pteridaceae","Cheilanthes gracillima","lace lipfern, lace fern","Harvey, T.","","2013","2013","Lane","Eagles Rest","43.8445","-122.7535","785","","","Cheilanthes gracillima D.C. Eaton "
"image","dig23203","Pteridaceae","Aspidotis densa","Indian's dream, podfern","Gerald D. Carr","","April 28, 2010","2010","Douglas","Beatty Creek, west of,  Cow Creek Road; 42.91788&#176; N -123.45954&#176; W","42.9179","-123.4595","","","","Aspidotis densa (Brack.) Lellinger "
"observation","377003","Pteridaceae","Aspidotis densa","Indian's dream, podfern","Harvey, T.","","2004 - 2011","2004","Douglas","BVD Meadow and Trail","43.2203","-122.5678","1402","","","Aspidotis densa (Brack.) Lellinger "
"observation","204097","Pteridaceae","Cryptogramma acrostichoides","American parsley fern","Bluhm, W.","","2003","2003","Linn","Browder Ridge: Bluhm","44.3816","-122.1009","1158","","","Cryptogramma acrostichoides R. Br. "
