"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","422076","Ranunculaceae","Anemone deltoidea","threeleaf anemone, western white anemone","Harvey, T.","","2013","2013","Lane","Heavenly Bluff","43.5659","-122.5796","1337","","","Anemone deltoidea Hook. "
"image","dig35268","Ranunculaceae","Delphinium distichum","meadow larkspur, Burke's larkspur","Gerald D. Carr","","July 11, 2013","2013","Crook","NFD Rd. 42 at SW corner of Big Summit Prairie, 1.1 mi. E of jct. with NFD Rd. 4210, E of Prineville; 1411m","44.3526","-120.2827","1411","","","Delphinium distichum Geyer ex A. Gray "
"observation","416027","Ranunculaceae","Ranunculus orthorhynchus var. orthorhynchus","straightbeak buttercup, bird's foot buttercup","Newhouse, B.","","2007","2007","Benton","Homestead #1, OSU Prairie","44.7056","-123.3087","144","","","Ranunculus orthorhynchus Hook. var. orthorhynchus "
"observation","418711","Ranunculaceae","Ranunculus uncinatus","little buttercup","Maze, D.","","2 May 2014","2014","Columbia","McCormick Park","45.8522","-122.8167","","","","Ranunculus uncinatus D. Don "
"observation","317999","Ranunculaceae","Ranunculus uncinatus","little buttercup","BLM Botanist","","2007","2007","Benton","Forest Peak Research Natural Area","44.6687","-123.3324","","","","Ranunculus uncinatus D. Don "
"observation","179169","Ranunculaceae","Ranunculus occidentalis","western buttercup","Boyer, L.","","2002","2002","Lane","Coburg Hills","44.1817","-123.0319","","","","Ranunculus occidentalis Nutt. "
"image","dig11399","Ranunculaceae","Aquilegia formosa","red columbine, Sitka columbine","Keir Morse","","May 12, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I125; 42.2981395291&#176; N -123.658339719&#176; W","42.2981","-123.6583","","","","Aquilegia formosa Fisch. ex DC. "
"observation","412718","Ranunculaceae","Actaea rubra","western red baneberry","Newhouse, B.","","July 2008","2008","Lane","North side Baldy Trail realignment","44.0007","-123.0596","","","","Actaea rubra (Aiton) Willd. "
"observation","304688","Ranunculaceae","Ranunculus uncinatus","little buttercup","Wilson, B., Brainerd, R.","","12 June 2006","2006","Multnomah","Bull Run Watershed: end of road 1211411 on the south end of the dam at Bull Run Reservoir #1","45.4810","-122.0806","3","","","Ranunculus uncinatus D. Don "
"observation","330739","Ranunculaceae","Ranunculus repens","double flowered creeping buttercup","Wilson, B.","","3 December 2007","2007","Lincoln","Depoe Bay","44.8108","-124.0592","16","","","Ranunculus repens L. "
"observation","181530","Ranunculaceae","Aconitum columbianum","Columbia monkshood","Battaile, J., Battaile, C.","","13 September 2002","2002","Klamath","Clover Creek trail","42.3000","-122.1367","1707","","","Aconitum columbianum Nutt. "
"observation","422264","Ranunculaceae","Ranunculus occidentalis","western buttercup","Harvey, T.","","23 May 2013","2013","Lane","Jasper Prairie: Harvey","44.0005","-122.8689","253","","","Ranunculus occidentalis Nutt. "
"observation","181072","Ranunculaceae","Actaea rubra","western red baneberry","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Actaea rubra (Aiton) Willd. "
