binomial,count
Aconitum columbianum,87
Actaea rubra,100
Anemone deltoidea,140
Anemone drummondii,6
Anemone lyallii,82
Anemone occidentalis,3
Anemone oregana,48
Aquilegia formosa,143
Caltha leptosepala,109
Ceratocephala testiculata,6
Cimicifuga elata,24
Cimicifuga laciniata,2
Clematis ligusticifolia,16
Clematis vitalba,18
Coptis aspleniifolia,1
Coptis laciniata,35
Delphinium distichum,1
Delphinium glareosum,3
Delphinium glaucum,7
Delphinium leucophaeum,2
Delphinium menziesii,6
Delphinium nudicaule,6
Delphinium nuttallianum,14
Delphinium nuttallii,4
Delphinium oreganum,7
Delphinium pavonaceum,3
Delphinium trolliifolium,19
Enemion hallii,3
Enemion stipitatum,3
Myosurus apetalus,1
Myosurus minimus,4
Ranunculus acris,1
Ranunculus alismifolius,19
Ranunculus aquatilis,21
Ranunculus arvensis,4
Ranunculus austrooreganus,9
Ranunculus californicus,4
Ranunculus eschscholtzii,2
Ranunculus ficaria,6
Ranunculus flammula,36
Ranunculus glaberrimus,4
Ranunculus gormanii,19
Ranunculus hebecarpus,1
Ranunculus lobbii,3
Ranunculus muricatus,3
Ranunculus occidentalis,112
Ranunculus orthorhynchus,64
Ranunculus parviflorus,4
Ranunculus populago,9
Ranunculus repens,100
Ranunculus sardous,1
Ranunculus sceleratus,4
Ranunculus uncinatus,146
Thalictrum fendleri,2
Thalictrum occidentale,44
Thalictrum polycarpum,19
Trautvetteria caroliniensis,14
