"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","413894","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Rhamnus purshiana DC. "
"observation","199012","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Harvey, T.","","2003 - 2014","2003","Linn","Bachelor Mountain: Harvey","44.6180","-122.0225","1475","","","Rhamnus purshiana DC. "
"observation","309296","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Mitchell, K.","","30 April 2006","2006","Tillamook","Confluence of the North and South Fork Salmonberry River","45.7151","-123.5201","","","","Rhamnus purshiana DC. "
"observation","409342","Rhamnaceae","Ceanothus cuneatus","buckbrush","Wilson, B.","","30 July 2012","2012","Linn","Riverside Landing State Park","44.6002","-123.1952","61","","","Ceanothus cuneatus (Hook.) Nutt. ex Torr. & A. Gray "
"observation","320772","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Brainerd, R., Otting, N., Wilson, B.","","20 May 2007","2007","Crook","Highway 26 apple site between Prineville and Dayville","44.4235","-120.4889","1249","","","Ceanothus velutinus Douglas ex Hook. "
"image","dig38447","Rhamnaceae","Ceanothus pumilus","Siskiyou mat","Gerald D. Carr","","May 7, 2014","2014","Curry","Bank on N side of Hwy 101, ca. 0.7 mi. W of N end of Rogue River Bridge, Wedderburn; 37m; 42.42869&#176; N -124.42691&#176; W","42.4287","-124.4269","37","","","Ceanothus pumilus Greene "
"observation","352550","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","T28S R04W S01, E of China Ditch","43.1713","-123.1082","534","","","Ceanothus velutinus Douglas ex Hook. "
"observation","395514","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 74 to 75","44.4333","-121.9547","","","","Ceanothus velutinus Douglas ex Hook. "
"image","dig39421","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Gerald D. Carr","","August 13, 2014","2014","Linn","Fish Lake, off Hwy 126, 1.6 mi. S of jct. with Hwy 20; 965m; 44.40081&#176; N -122.00428&#176; W","44.4008","-122.0043","965","","","Rhamnus purshiana DC. "
"observation","207190","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Bluhm, W.","","September 2004","2004","Marion","Hawk Mountain via Rhodendron Ridge Trail","44.8500","-121.9481","1387","","","Rhamnus purshiana DC. "
"observation","405574","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Wilson, B.","","10 July 2011","2011","Benton","Jackson-Frazier Wetland","44.6041","-123.2401","66","","","Rhamnus purshiana DC. "
"observation","307856","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: tiny spur off road 3408","44.4935","-123.5149","","","","Ceanothus velutinus Douglas ex Hook. "
"observation","313685","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Salix Associates","","14 August 2003","2003","Linn","Hoodoo Ski Area Alpine Slide","44.4092","-121.8757","1426","","","Rhamnus purshiana DC. "
"observation","330152","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Wilson, B., Otting, N.","","3 October 2007","2007","Douglas","Holmes Creek site 4","43.0311","-123.7306","382","","","Rhamnus purshiana DC. "
"observation","395390","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 67 to 68","44.4036","-122.0805","","","","Ceanothus velutinus Douglas ex Hook. "
"observation","198937","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Harvey, T.","","2003 - 2014","2003","Linn","Bachelor Mountain: Harvey","44.6180","-122.0225","1475","","","Ceanothus velutinus Douglas ex Hook. "
"observation","327838","Rhamnaceae","Ceanothus cuneatus","buckbrush","Morse, K.","","5 May 2007","2007","Josephine","Deer Creek Center - North","42.3035","-123.6475","456","","","Ceanothus cuneatus (Hook.) Nutt. ex Torr. & A. Gray "
"image","dig11796","Rhamnaceae","Ceanothus integerrimus","deer brush","Keir Morse","","May 31, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I050; 42.3032787471&#176; N -123.649439527&#176; W","42.3033","-123.6494","","","","Ceanothus integerrimus Hook. & Arn. "
"observation","370128","Rhamnaceae","Ceanothus cuneatus","buckbrush","Harvey, T.","","2005","2005","Lane","?Gateway Rock Ridge?","43.5352","-122.3801","1021","","","Ceanothus cuneatus (Hook.) Nutt. ex Torr. & A. Gray "
"observation","322934","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Seven Mile Creek; along road to trailhead stop 2","42.7231","-122.0903","1318","","","Ceanothus velutinus Douglas ex Hook. "
"observation","408260","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Rhamnus purshiana DC. "
"image","dig18974","Rhamnaceae","Ceanothus velutinus var. laevigatus","tobacco brush","Gerald D. Carr","","September 11, 2007","2007","Linn","NFDR 11, ca. 9.8 mi. east of Lone Star; 44.5819&#176; N -122.15159&#176; W","44.5819","-122.1516","","","","Ceanothus velutinus Douglas ex Hook. var. laevigatus Torr. & A. Gray "
"image","dig23732","Rhamnaceae","Ceanothus pumilus","Siskiyou mat","Gerald D. Carr","","April 28, 2010","2010","Douglas","Cow Creek Road, 11.6 mi. west of I-5 exit 80, west of Glendale; 430m; 42.76462&#176; N -123.53956&#176; W","42.7646","-123.5396","430","","","Ceanothus pumilus Greene "
"image","dig18951","Rhamnaceae","Ceanothus pumilus","Siskiyou mat","Gerald D. Carr","","April 9, 2007","2007","Josephine","CR 5070, 2 mi. west of Selma, north of Eight Dollar Mountain; 42.28167&#176; N -123.65278&#176; W","42.2817","-123.6528","","","","Ceanothus pumilus Greene "
"observation","288947","Rhamnaceae","Ceanothus cuneatus","buckbrush","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 53 to 54","42.4308","-123.2517","","","","Ceanothus cuneatus (Hook.) Nutt. ex Torr. & A. Gray "
"observation","358590","Rhamnaceae","Ceanothus integerrimus","deer brush","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Bland Mountain Fire, creek crossing","42.9496","-123.1054","299","","","Ceanothus integerrimus Hook. & Arn. "
"image","dig18954","Rhamnaceae","Ceanothus sanguineus","redstem ceanothus, Oregon tea tree","Gerald D. Carr","","June 7, 2008","2008","Benton","Bellfountain Road, just west of Gray Creek, 2.9 mi. north of Bellfountain; 44.39924&#176; N -123.35521&#176; W","44.3992","-123.3552","","","","Ceanothus sanguineus Pursh "
"observation","356584","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Otting, N., Newhouse, B.","","7 August 2008","2008","Lake","Spur 100 of Road 3780; site 2","42.3362","-120.5585","1818","","","Ceanothus velutinus Douglas ex Hook. "
"observation","288354","Rhamnaceae","Ceanothus cuneatus","buckbrush","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 76 to 77","42.6950","-123.3872","","","","Ceanothus cuneatus (Hook.) Nutt. ex Torr. & A. Gray "
"observation","356023","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Wilson, B., Housley, L.","","6 August 2008","2008","Lake","Road 017 aspen grove","42.2024","-120.2822","1932","","","Ceanothus velutinus Douglas ex Hook. "
"observation","364977","Rhamnaceae","Ceanothus velutinus var. velutinus","tobacco brush, sticky laurel","Bluhm, W., Bluhm, J.","","June 2006","2006","Linn","Patjens Lake Loop Trail 3395","44.3679","-121.8809","1280","","","Ceanothus velutinus Douglas ex Hook. var. velutinus "
"observation","296557","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Otting, N., Wilson, B.","","31 August 2005","2005","Clackamas","Bull Run Watershed: West Goodfellow Lake and the spur road to road 12","45.4224","-121.9712","914","","","Rhamnus purshiana DC. "
"observation","377806","Rhamnaceae","Ceanothus integerrimus","deer brush","Harvey, T.","","2008 - 2010","2008","Lane","Youngs Flat Camp picnic area","43.5205","-122.4399","558","","","Ceanothus integerrimus Hook. & Arn. "
"observation","290078","Rhamnaceae","Ceanothus integerrimus","deer brush","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 9 to 10","42.1243","-122.6276","","","","Ceanothus integerrimus Hook. & Arn. "
"observation","328413","Rhamnaceae","Rhamnus californica ssp. occidentalis","California coffeeberry","Morse, K.","","31 July 2007","2007","Josephine","Deer Creek Center - South","42.2731","-123.6464","382","","","Rhamnus californica Eschsch. ssp. occidentalis (Howell) C.B. Wolf "
"observation","303107","Rhamnaceae","Rhamnus purshiana","cascara, chittam","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow South of Cedar Swamp","44.0259","-121.9436","1203","","","Rhamnus purshiana DC. "
"observation","201222","Rhamnaceae","Ceanothus velutinus","tobacco brush, snowbrush, mountain balm","Harvey, T.","","2003 - 2005","2003","Linn","Crescent Mountain: Harvey","44.4399","-122.0586","1140","","","Ceanothus velutinus Douglas ex Hook. "
"observation","288479","Rhamnaceae","Ceanothus integerrimus","deer brush","Wilson, B., Brainerd, R., Newhouse, B.","","2003","2003","Josephine","I-5, mile 71 to 72","42.6330","-123.3852","","","","Ceanothus integerrimus Hook. & Arn. "
