"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig2977","Rosaceae","Crataegus monogyna","English hawthorn","Bruce Neil Newhouse","","May 18, 2002","2002","Lane","Skinner Butte","44.058600","-123.093100","","","","Crataegus monogyna Jacq. "
"observation","356038","Rosaceae","Prunus emarginata","bitter cherry","Wilson, B., Housley, L.","","6 August 2008","2008","Lake","Road 017 aspen grove","42.2024","-120.2822","1932","","","Prunus emarginata (Douglas ex Hook.) Walp. "
"observation","196928","Rosaceae","Rubus bifrons","Himalayan blackberry","Bluhm, W.","","April 2003","2003","Linn","Pine Grove Cemetery: Bluhm","44.4021","-123.2147","76","","","Rubus bifrons Vest "
"observation","192771","Rosaceae","Sorbus sitchensis var. grayi","Gray's mountain ash, dwarf mountain ash, Sitka mountain ash","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Sorbus sitchensis M. Roem. var. grayi (Wenz.) C.L. Hitchc. "
"observation","282843","Rosaceae","Oemleria cerasiformis","osoberry","Wilson, B., Otting, N., Newhouse, B.","","2003","2003","Washington","I-5, mile 288 to 289","45.3683","-122.7582","","","","Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) J.W. Landon "
"observation","311389","Rosaceae","Rubus laciniatus","evergreen blackberry, cut leaved blackberry","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","Long Tom ACEC","44.1430","-123.2942","102","","","Rubus laciniatus Willd. "
"observation","418409","Rosaceae","Geum macrophyllum","largeleaf avens","Maze, D.","","5 August 2013","2013","Multnomah","Skyline Blvd and Cornell","45.4773","-122.7433","","","","Geum macrophyllum Willd. "
"observation","196840","Rosaceae","Rubus ursinus","Pacific blackberry, Pacific dewberry","Bluhm, W.","","July 2003","2003","Josephine","Onion Creek Trail","42.4089","-123.6925","610","","","Rubus ursinus Cham. & Schltdl. "
"observation","317684","Rosaceae","Amelanchier alnifolia","Saskatoon serviceberry","BLM Botanist","","2007","2007","Benton","Grass Mountain Research Natural Area","44.4244","-123.6751","","","","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. "
"observation","423291","Rosaceae","Sorbus scopulina","Rocky Mountain mountain ash","Harvey, T.","","2013","2013","Linn","Parish Lake","44.5267","-122.0787","1088","","","Sorbus scopulina Greene "
"image","dig13897","Rosaceae","Rosa pisocarpa","cluster rose","Keir Morse","","July 2, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I209; 42.2957376333&#176; N -123.653134772&#176; W","42.2957","-123.6531","","","","Rosa pisocarpa A. Gray "
"observation","181554","Rosaceae","Rosa gymnocarpa","naked-hip rose","Battaile, J., Battaile, C.","","13 September 2002","2002","Klamath","Clover Creek trail","42.3000","-122.1367","1707","","","Rosa gymnocarpa Nutt. "
"observation","332633","Rosaceae","Rubus parviflorus","thimbleberry","Bluhm, W.","","May 2008","2008","Lincoln","Drift Creek Camp","44.9028","-123.9117","76","","","Rubus parviflorus Nutt. "
"observation","333058","Rosaceae","Rubus spectabilis","salmonberry","Bluhm, W.","","May 2008","2008","Clackamas","Salmon River Trail - Bluhm","45.2395","-121.8770","518","","","Rubus spectabilis Pursh "
"observation","229690","Rosaceae","Holodiscus discolor","ocean spray","Wilson, B.","","2002","2002","Marion","Rest area and park on I-5 at 241 mile marker","44.7463","-123.0583","94","","","Holodiscus discolor (Pursh) Maxim. "
"image","dig29174","Rosaceae","Spiraea × hitchcockii","Hitchcock's spiraea","Gerald D. Carr","","September 16, 2011","2011","Lane","Quaking Aspen Swamp, SE corner of, ca. 12 mi. southeast of Cougar Dam; 1358m; 44.05948&#176; N -122.09455&#176; W","44.0595","-122.0946","1358","","","Spiraea × hitchcockii W.J. Hess & Stoynoff "
"image","dig38790","Rosaceae","Filipendula occidentalis","queen of the forest","Gerald D. Carr","","July 12, 2014","2014","Tillamook","Sensitive species - location undisclosed","45.5000","-123.7000","32","","","Filipendula occidentalis (S. Watson) Howell "
"observation","202394","Rosaceae","Sorbus sitchensis","Sitka mountain ash","Harvey, T.","","2003 - 2010","2003","Linn","Three Pyramids - Harvey","44.4976","-122.0786","1167","","","Sorbus sitchensis M. Roem. "
"observation","417898","Rosaceae","Prunus spinosa","blackthorn, sloe","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Prunus spinosa L. "
"observation","401130","Rosaceae","Prunus avium","sweet cherry","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Prunus avium (L.) L. "
"observation","301946","Rosaceae","Fragaria vesca","woodland strawberry, woods strawberry","Harvey, T.","","2004 - 2007","2004","Douglas","Watson Falls","43.2488","-122.3899","838","","","Fragaria vesca L. "
"observation","207193","Rosaceae","Rosa gymnocarpa","naked-hip rose","Bluhm, W.","","September 2004","2004","Marion","Hawk Mountain via Rhodendron Ridge Trail","44.8500","-121.9481","1387","","","Rosa gymnocarpa Nutt. "
"observation","180599","Rosaceae","Cercocarpus ledifolius","curlleaf mountain mahogany","Heinze, D.","","26 May 2002","2002","Klamath","Gerber Reservoir","42.2057","-121.1208","1475","","","Cercocarpus ledifolius Nutt. ex Torr. & A. Gray "
