"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig41686","Rubiaceae","Galium aparine","stickywilly, cleavers","Gerald D. Carr","","August 26, 2015","2015","Crook","Banks of irrigation canal on S side of SR 126, 0.8 mi. W of Powell Butte, 10.5 mi. WSW of jct. with Hwy 26 at Prineville; 947m; 44.24759&#176; N -121.03359&#176","44.247600","-121.033600","947","","","Galium aparine L. "
"observation","368249","Rubiaceae","Galium oreganum","Oregon bedstraw","Harvey, T.","","2005 - 2013","2005","Douglas","Fish Creek Valley","43.1052","-122.4104","1600","","","Galium oreganum Britton "
"observation","382246","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","25 June 2009","2009","Polk","Fort Yamhill","45.0693","-123.5676","130","","","Galium aparine L. "
"observation","414017","Rubiaceae","Galium aparine","stickywilly, cleavers","Newhouse, B.","","21 May 2003","2003","Lane","Glenwood riparian areas along the Willamette River","44.0479","-123.0378","","","","Galium aparine L. "
"observation","309378","Rubiaceae","Sherardia arvensis","blue fieldmadder","Newhouse, B., Alverson, E.","","2003 - 2006","2003","Lane","Lower Coyote Creek","44.1320","-123.2851","","","","Sherardia arvensis L. "
"observation","382308","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","12 July 2009","2009","Lane","Between Highway 101 and the ocean, just south of Rock Creek","44.3620","-124.1174","12","","","Galium aparine L. "
"observation","405064","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","1 May 2011","2011","Lincoln","Burnt Woods State Forest 10","44.5872","-123.6853","328","","","Galium aparine L. "
"observation","229161","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","2002","2002","Hood River","Koberg Beach State Park & Rest Area","45.6981","-121.4741","37","","","Galium aparine L. "
"observation","369025","Rubiaceae","Galium aparine","stickywilly, cleavers","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Galium aparine L. "
"observation","382110","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","25 June 2009","2009","Tillamook","Coast Trail just W of Hwy 101","45.7493","-123.9631","92","","","Galium aparine L. "
"observation","384118","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 1: by the Trestle Gate to the Eisele Summit tree farm","44.6452","-123.5803","213","","","Galium aparine L. "
"observation","299624","Rubiaceae","Galium oreganum","Oregon bedstraw","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Galium oreganum Britton "
"observation","301567","Rubiaceae","Galium bifolium","low mountain bedstraw","Harvey, T.","","2005 - 2014","2005","Marion","Hawk Mountain","44.8518","-121.9372","1393","","","Galium bifolium S. Watson "
"image","dig41685","Rubiaceae","Galium aparine","stickywilly, cleavers","Gerald D. Carr","","August 26, 2015","2015","Crook","Banks of irrigation canal on S side of SR 126, 0.8 mi. W of Powell Butte, 10.5 mi. WSW of jct. with Hwy 26 at Prineville; 947m; 44.24759&#176; N -121.03359&#176","44.2476","-121.0336","947","","","Galium aparine L. "
"observation","361761","Rubiaceae","Galium triflorum","sweetscented bedstraw, fragrant bedstraw","Bluhm, W.","","2004 - 2006","2004","Curry","Harris Beach State Park, Brookings","42.0713","-124.3085","0","","","Galium triflorum Michx. "
"observation","191222","Rubiaceae","Galium triflorum","sweetscented bedstraw, fragrant bedstraw","Bluhm, W.","","March 2003","2003","Benton","Dimple Hill","44.6158","-123.3201","160","","","Galium triflorum Michx. "
"observation","422353","Rubiaceae","Galium oreganum","Oregon bedstraw","Harvey, T.","","21 September 2011","2011","Marion","Jefferson Park - Whitewater Trail","44.7204","-121.8171","1798","","","Galium oreganum Britton "
"observation","329477","Rubiaceae","Galium aparine","stickywilly, cleavers","Morse, K.","","19 April 2007","2007","Josephine","Deer Creek Center - South","42.2822","-123.6508","382","","","Galium aparine L. "
"observation","385392","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","2010","2010","Benton","Avery Park, Corvallis","44.5553","-123.2748","75","","","Galium aparine L. "
"observation","374473","Rubiaceae","Galium trifidum","small bedstraw","Harvey, T.","","2003 - 2013","2003","Linn","Bruno Meadows: Harvey","44.6477","-122.0028","1244","","","Galium trifidum L. "
"observation","404868","Rubiaceae","Galium aparine","stickywilly, cleavers","Wilson, B.","","7 April 2011","2011","Benton","308 Ankeny Road","44.7902","-123.0606","80","","","Galium aparine L. "
"observation","418197","Rubiaceae","Galium oreganum","Oregon bedstraw","Newhouse, B.","","21 July 2004","2004","Lane","Blue River area road extension, about 1 mile NE of N end of Hagen Block Research Natural Area","44.2036","-122.3821","","","","Galium oreganum Britton "
