"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","389268","Salicaceae","Populus tremuloides","quaking aspen","Wilson, B.","","7 July 2008","2008","Klamath","Highway 97, mile post 245 to 246","42.6294","-121.8788","","","","Populus tremuloides Michx. "
"observation","198514","Salicaceae","Salix pedicellaris","bog willow","Bluhm, W., Marttala, V., Carter, B.","","1 July 2003","2003","Multnomah","Latourell Prairie, Bull Run Watershed","45.5546","-122.0119","","","","Salix pedicellaris Pursh "
"observation","316271","Salicaceae","Salix sitchensis","Sitka willow","Salix Associates","","30 August 2006","2006","Lane","Shroy Meadow, Mink Lake Basin","43.9608","-121.9334","1369","","","Salix sitchensis Sanson ex Bong. "
"observation","285824","Salicaceae","Populus trichocarpa","black cottonwood","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 175 to 176","43.8145","-123.0381","","","","Populus trichocarpa Torr. & A. Gray "
"observation","421382","Salicaceae","Salix boothii","Booth's willow","Harvey, T.","","24 August 2013","2013","Lane","Castle Lake","44.0926","-122.0507","1352","","","Salix boothii Dorn "
"observation","357996","Salicaceae","Salix hookeriana","coastal willow, Hooker's willow","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Roseburg- Stewart Park","43.2302","-123.3716","141","","","Salix hookeriana Barratt ex Hook. "
"observation","290131","Salicaceae","Populus trichocarpa","black cottonwood","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 7 to 8","42.1007","-122.6085","","","","Populus trichocarpa Torr. & A. Gray "
"observation","292318","Salicaceae","Populus trichocarpa","black cottonwood","Wilson, B.","","2002","2002","Hood River","I-84, mile 64 to 65","45.7097","-121.5004","","","","Populus trichocarpa Torr. & A. Gray "
"observation","226301","Salicaceae","Populus trichocarpa","black cottonwood","Mt. Hood NF botanist","","31 July 2003","2003","Clackamas","Township Meadows","45.4338","-121.9991","914","","","Populus trichocarpa Torr. & A. Gray "
"observation","358046","Salicaceae","Salix sitchensis","Sitka willow","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Amacher Park","43.2806","-123.3575","135","","","Salix sitchensis Sanson ex Bong. "
"observation","421196","Salicaceae","Salix eastwoodiae","Sierra willow, Eastwood's willow","Harvey, T.","","2009 - 2013","2009","Lane","Warfield Bog and Wetlands","43.6347","-122.2423","1494","","","Salix eastwoodiae Cockerell ex A. Heller "
