binomial,count
Populus alba,36
Populus deltoides,9
Populus nigra,37
Populus tremuloides,49
Populus trichocarpa,587
Salix amygdaloides,3
Salix boothii,45
Salix commutata,8
Salix delnortensis,1
Salix eastwoodiae,12
Salix exigua,92
Salix geyeriana,54
Salix hookeriana,213
Salix lasiandra,109
Salix lasiolepis,56
Salix lemmonii,29
Salix ligulifolia,3
Salix melanopsis,26
Salix monochroma,1
Salix pedicellaris,2
Salix planifolia,7
Salix prolixa,13
Salix scouleriana,155
Salix sitchensis,256
Salix ×fragilis,3
Salix ×pendulina,2
