"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","394632","Sapindaceae","Acer circinatum","vine maple","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 41 to 42","44.3948","-122.4885","","","","Acer circinatum Pursh "
"observation","377282","Sapindaceae","Acer circinatum","vine maple","Harvey, T.","","2007 - 2013","2007","Lane","Eagle Creek Road 5883","43.6779","-122.1824","930","","","Acer circinatum Pursh "
"observation","181395","Sapindaceae","Acer circinatum","vine maple","Simpson, C., Harvey, T.","","20 September 2002","2002","Lane","Groundhog Mountain/Little Groundhog Mountain area","43.5781","-122.3402","1622","","","Acer circinatum Pursh "
"observation","358145","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Glide- Colliding Rivers viewpoint","43.2976","-123.1013","214","","","Acer macrophyllum Pursh "
"observation","380380","Sapindaceae","Acer glabrum var. douglasii","Douglas maple","Bluhm, W.","","June 2009","2009","Linn","Tamolitch Dry Falls Trail","44.2980","-122.0340","","","","Acer glabrum Torr. var. douglasii (Hook.) Dippel "
"observation","319986","Sapindaceae","Acer circinatum","vine maple","Stein, M., Otting, N., Wilson, B.","","14 May 2007","2007","Benton","Grass Mountain","44.4196","-123.6743","971","","","Acer circinatum Pursh "
"observation","292824","Sapindaceae","Acer circinatum","vine maple","Wilson, B.","","2002","2002","Hood River","I-84, mile 45 to 46","45.6746","-121.8674","","","","Acer circinatum Pursh "
"observation","423347","Sapindaceae","Acer macrophyllum","bigleaf maple","Harvey, T.","","19 October 2013","2013","Lane","Road 757 Rocky Slope","43.8884","-122.2223","914","","","Acer macrophyllum Pursh "
"observation","382772","Sapindaceae","Acer circinatum","vine maple","Wilson, B., Otting, N.","","20 July 2009","2009","Linn","House Rock Forest Camp","44.3923","-122.2455","437","","","Acer circinatum Pursh "
"observation","285414","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 190 to 191","44.0222","-123.0268","","","","Acer macrophyllum Pursh "
"observation","288507","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 70 to 71","42.6201","-123.3816","","","","Acer macrophyllum Pursh "
"observation","418166","Sapindaceae","Acer circinatum","vine maple","Newhouse, B.","","21 July 2004","2004","Lane","Blue River area road extension, about 1 mile NE of N end of Hagen Block Research Natural Area","44.2036","-122.3821","","","","Acer circinatum Pursh "
"observation","374287","Sapindaceae","Acer circinatum","vine maple","Harvey, T.","","2007 - 2013","2007","Clackamas","Anvil Lake and Black Wolf Meadows","45.1513","-121.8567","1225","","","Acer circinatum Pursh "
"observation","394141","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 22 to 23","44.4511","-122.7951","","","","Acer macrophyllum Pursh "
"observation","306816","Sapindaceae","Acer circinatum","vine maple","Wilson, B.","","12 August 2006","2006","Multnomah","hillside around Blackline, Inc.","45.5388","-122.7148","","","","Acer circinatum Pursh "
"observation","379930","Sapindaceae","Acer macrophyllum","bigleaf maple","Bluhm, W., Myers, E.","","2009 - 2010","2009","Linn","Willamette National Forest Road 040","44.6805","-121.9325","640","","","Acer macrophyllum Pursh "
"observation","413155","Sapindaceae","Acer circinatum","vine maple","Newhouse, B.","","2010 - 2012","2010","Lane","Coyote-Spencer Wetlands, Eugene","44.0113","-123.2633","","","","Acer circinatum Pursh "
"observation","283194","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 275 to 276","45.1939","-122.8379","","","","Acer macrophyllum Pursh "
"observation","285640","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 182 to 183","43.9130","-123.0130","","","","Acer macrophyllum Pursh "
"observation","409091","Sapindaceae","Acer macrophyllum","bigleaf maple","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","26 July 2012","2012","Linn","Bowers Rock State Park","44.6338","-123.1585","","","","Acer macrophyllum Pursh "
"image","dig22970","Sapindaceae","Acer glabrum var. douglasii","Douglas maple","Gerald D. Carr","","July 22, 2010","2010","Douglas","NFD Road 2133, 1.7 mi. southeast of Loletta Lakes, ca. 34 mi. south of Oakridge via Rigdon Road; 1460m; 43.38712&#176; N -122.41316&#176; W","43.3871","-122.4132","1460","","","Acer glabrum Torr. var. douglasii (Hook.) Dippel "
