"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","373181","Saxifragaceae","Micranthes ferruginea","rusty saxifrage","Harvey, T.","","2003 - 2004","2003","Lane","Potholes/Olallie Trail","44.0781","-122.0708","1384","","","Micranthes ferruginea (Graham) Brouillet & Gornall "
"observation","199367","Saxifragaceae","Heuchera micrantha","crevice alumroot","Harvey, T.","","4 July 2003","2003","Linn","Bugaboo Ridge Trail","44.6331","-122.0028","1280","","","Heuchera micrantha Douglas ex Lindl. "
"observation","303716","Saxifragaceae","Tiarella trifoliata var. unifoliata","one leaf foamflower","Brainerd, R., Newhouse, B.","","1 September 2005","2005","Lane","Meadow at Deer Creek Trailhead","43.5924","-122.0956","1570","","","Tiarella trifoliata L. var. unifoliata (Hook.) Kurtz "
"observation","379305","Saxifragaceae","Boykinia major","large boykinia, mountain boykinia","Bluhm, W., Myers, E.","","August 2009","2009","Linn","Duffy Lake and Mowich Lake Trails 3427/3422","44.4974","-121.9179","1189","","","Boykinia major A. Gray "
"observation","366691","Saxifragaceae","Saxifraga mertensiana","Mertens' saxifrage","Harvey, T.","","2008 - 2013","2008","Douglas","Bradley Lake - Harvey","43.4004","-122.4801","1646","","","Saxifraga mertensiana Bong. "
"observation","328626","Saxifragaceae","Lithophragma parviflorum var. parviflorum","small flowered fringecup","Morse, K.","","10 May 2007","2007","Josephine","Deer Creek Center - South","42.2744","-123.6400","382","","","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray var. parviflorum "
"observation","416318","Saxifragaceae","Lithophragma parviflorum var. parviflorum","small flowered fringecup","Newhouse, B.","","2007","2007","Benton","Jackson Upper, OSU Prairie","44.6200","-123.2988","293","","","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray var. parviflorum "
"observation","419806","Saxifragaceae","Mitella ovalis","oval leaved mitrewort, coastal mitrewort","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Mitella ovalis Greene "
"observation","299517","Saxifragaceae","Saxifraga bronchialis var. vespertina","yellowdot saxifrage","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Saxifraga bronchialis L. var. vespertina (Small) Rosend. "
"observation","301823","Saxifragaceae","Mitella pentandra","alpine mitrewort, five stamen mitrewort","Harvey, T.","","2005 - 2011","2005","Douglas","Whitehorse meadows, including Wolf Lake","43.1486","-122.4501","1603","","","Mitella pentandra Hook. "
"observation","371729","Saxifragaceae","Heuchera glabra","smooth alumroot, alpine alumroot","Harvey, T.","","22 August 2007","2007","Clackamas","Wildcat Mountain, Clackamas County","45.2955","-122.0348","1081","","","Heuchera glabra Willd. "
"observation","418064","Saxifragaceae","Tellima grandiflora","large fringecup","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
"observation","185398","Saxifragaceae","Lithophragma tenellum","slender woodland star","Vos, B.","","25 May 2003","2003","Lake","Frog Ponds, E. of Thompson Reservoir","42.9593","-121.0039","1761","","","Lithophragma tenellum Nutt. "
"image","dig41820","Saxifragaceae","Micranthes nelsoniana var. cascadensis","dotted saxifrage","Gerald D. Carr","","July 13, 2015","2015","Hood River","E Fork Hood River, Mt. Hood Meadows Ski Resort; 1626m; 45.33162&#176; N -121.66308&#176; W","45.3316","-121.6631","1626","","","Micranthes nelsoniana (D. Don) Small var. cascadensis (Calder & Savile) Gornall & Ohba "
"image","dig25073","Saxifragaceae","Micranthes rufidula","rusty haired saxifrage","Gerald D. Carr","","June 8, 2010","2010","Linn","Horse Rock Ridge, north facing cliffs, 0.6 air mi. northwest of trailhead; 747m; 44.29871&#176; N -122.87523&#176; W","44.2987","-122.8752","747","","","Micranthes rufidula Small "
"observation","366288","Saxifragaceae","Micranthes rufidula","rusty haired saxifrage","Harvey, T.","","2005 - 2010","2005","Douglas","Big Squaw Mountain - Harvey","43.1425","-122.7651","1219","","","Micranthes rufidula Small "
"observation","422657","Saxifragaceae","Tiarella trifoliata var. unifoliata","one leaf foamflower","Harvey, T.","","2013","2013","Linn","Marion Forks Campground","44.6037","-121.9413","757","","","Tiarella trifoliata L. var. unifoliata (Hook.) Kurtz "
"observation","420744","Saxifragaceae","Lithophragma parviflorum","","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray "
"observation","181145","Saxifragaceae","Tiarella trifoliata var. trifoliata","trefoil foamflower","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Tiarella trifoliata L. var. trifoliata "
"image","dig23383","Saxifragaceae","Bensoniella oregona","bensoniella","Gerald D. Carr","","June 8, 2009","2009","Douglas","Sensitive species - location undisclosed","43.0000","-123.8000","773","","","Bensoniella oregona (Abrams & Bacig.) C.V. Morton "
"observation","375878","Saxifragaceae","Boykinia major","large boykinia, mountain boykinia","Harvey, T.","","18 August 2009","2009","Douglas","Skipper Lakes Trail","43.3716","-122.4205","1551","","","Boykinia major A. Gray "
"observation","368583","Saxifragaceae","Mitella breweri","Brewer's mitrewort, feathery mitrewort","Harvey, T.","","2004 - 2005","2004","Lane","Fuji Lakes Basin","43.6670","-122.1040","1756","","","Mitella breweri A. Gray "
"observation","351920","Saxifragaceae","Mitella breweri","Brewer's mitrewort, feathery mitrewort","Wilson, B.","","May 2008","2008","Lane","Paradise Campground","44.1859","-122.0915","463","","","Mitella breweri A. Gray "
"observation","372898","Saxifragaceae","Tellima grandiflora","large fringecup","Harvey, T.","","2003 - 2011","2003","Linn","Carpenter Mountain: Harvey","44.2763","-122.1380","1366","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
"image","dig14073","Saxifragaceae","Micranthes integrifolia","wholeleaf saxifrage, common western saxifrage","Keir Morse","","March 23, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I002; 42.304515309&#176; N -123.647365418&#176; W","42.3045","-123.6474","","","","Micranthes integrifolia (Hook.) Small "
"observation","367325","Saxifragaceae","Micranthes ferruginea","rusty saxifrage","Harvey, T.","","22 August 2008","2008","Jefferson","Canyon Creek Meadows, Jefferson Wilderness","44.4957","-121.8254","1676","","","Micranthes ferruginea (Graham) Brouillet & Gornall "
"observation","333063","Saxifragaceae","Micranthes rufidula","rusty haired saxifrage","Bluhm, W.","","May 2008","2008","Clackamas","Salmon River Trail - Bluhm","45.2395","-121.8770","518","","","Micranthes rufidula Small "
"observation","368155","Saxifragaceae","Tellima grandiflora","large fringecup","Harvey, T.","","2005 - 2012","2005","Lane","Fall Creek Trail","43.9825","-122.5007","396","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
"observation","377428","Saxifragaceae","Lithophragma parviflorum","","Harvey, T.","","2010","2010","Lane","Grassy Glade - Harvey","43.4777","-122.3609","1036","","","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray "
"observation","170454","Saxifragaceae","Lithophragma parviflorum","","Boyer, L.","","2002","2002","Lane","Vicinity of Eugene","44.0627","-122.9970","","","","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray "
"observation","422559","Saxifragaceae","Tiarella trifoliata var. unifoliata","one leaf foamflower","Harvey, T.","","8 August 2012","2012","Lane","Lopez Lake and Road 5884","43.5925","-122.1607","1554","","","Tiarella trifoliata L. var. unifoliata (Hook.) Kurtz "
"observation","365074","Saxifragaceae","Boykinia occidentalis","slender boykinia, coast boykinia","Bluhm, W., Myers, E.","","2008 - 2010","2008","Marion","Shellburg Falls Recreation Area","44.8169","-122.6109","381","","","Boykinia occidentalis Torr. & A. Gray "
"observation","374174","Saxifragaceae","Micranthes ferruginea","rusty saxifrage","Harvey, T.","","2004 - 2011","2004","Clackamas","Table Rock Wilderness Trail","44.9633","-122.3238","1036","","","Micranthes ferruginea (Graham) Brouillet & Gornall "
"observation","295741","Saxifragaceae","Tiarella trifoliata","threeleaf foamflower","Otting, N., Wilson, B.","","24 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 10 and 1000524","45.4581","-121.8823","849","","","Tiarella trifoliata L. "
"observation","422848","Saxifragaceae","Tellima grandiflora","large fringecup","Harvey, T.","","2012","2012","Linn","McKenzie Cliffs","44.2783","-122.0877","549","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
"image","dig20252","Saxifragaceae","Bensoniella oregona","bensoniella","Gerald D. Carr","","June 8, 2009","2009","Douglas","Sensitive species - location undisclosed","43.0000","-123.8000","773","","","Bensoniella oregona (Abrams & Bacig.) C.V. Morton "
"observation","377137","Saxifragaceae","Tiarella trifoliata var. trifoliata","trefoil foamflower","Harvey, T.","","2003 - 2011","2003","Lane","Deception Butte","43.7466","-122.5785","991","","","Tiarella trifoliata L. var. trifoliata "
"observation","382585","Saxifragaceae","Tiarella trifoliata","threeleaf foamflower","Wilson, B., Otting, N., Rolle, W.","","16 July 2009","2009","Jackson","Skeeter Swamp","42.4623","-122.4008","1087","","","Tiarella trifoliata L. "
"image","dig19437","Saxifragaceae","Elmera racemosa var. racemosa","hairy elmera, yellow coralbells","Gerald D. Carr","","August 11, 2008","2008","Jefferson","Three-fingered Jack, glacial outwash plain at base of, near Canyon Creek; 1777m; 44.48592&#176; N -121.83836&#176; W","44.4859","-121.8384","1777","","","Elmera racemosa (S. Watson) Rydb. var. racemosa "
"observation","192773","Saxifragaceae","Tiarella trifoliata var. unifoliata","one leaf foamflower","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Tiarella trifoliata L. var. unifoliata (Hook.) Kurtz "
"observation","416896","Saxifragaceae","Saxifraga mertensiana","Mertens' saxifrage","Wood, W.","","5 May 2013","2013","Wasco","Tom McCall Preserve, Mayer State Park","45.6832","-121.2996","","","","Saxifraga mertensiana Bong. "
"observation","422168","Saxifragaceae","Saxifraga bronchialis var. vespertina","yellowdot saxifrage","Harvey, T.","","2013","2013","Lane","Heavenly Bluff","43.5659","-122.5796","1337","","","Saxifraga bronchialis L. var. vespertina (Small) Rosend. "
"observation","403160","Saxifragaceae","Tellima grandiflora","large fringecup","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
"observation","377800","Saxifragaceae","Boykinia major","large boykinia, mountain boykinia","Harvey, T.","","2008 - 2010","2008","Lane","Youngs Flat Camp picnic area","43.5205","-122.4399","558","","","Boykinia major A. Gray "
"image","dig25054","Saxifragaceae","Micranthes integrifolia","wholeleaf saxifrage, common western saxifrage","Gerald D. Carr","","April 17, 2010","2010","Wasco","Wapinitia Highway at Wapinitia Creek, 3.6 mi. east of Pine Grove; 629m; 45.11443&#176; N -121.29231&#176; W","45.1144","-121.2923","629","","","Micranthes integrifolia (Hook.) Small "
"observation","185397","Saxifragaceae","Lithophragma glabrum","smooth fringecup","Vos, B.","","25 May 2003","2003","Lake","Frog Ponds, E. of Thompson Reservoir","42.9593","-121.0039","1761","","","Lithophragma glabrum Nutt. "
"observation","207586","Saxifragaceae","Lithophragma campanulatum","large flowered hill star, campanulate fringecup","Duncan, J.","","17 June 2004","2004","Jackson","Buck Prairie Road, W of Hyatt Prairie Road","42.2493","-122.4517","","","","Lithophragma campanulatum Howell "
"observation","403089","Saxifragaceae","Micranthes occidentalis","western mountain saxifrage","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Micranthes occidentalis (S. Watson) Small "
"image","dig22034","Saxifragaceae","Micranthes odontoloma","stream saxifrage","Gerald D. Carr","","July 16, 2009","2009","Hood River","Rainy Lake Trail near trailhead off NFD Road 2820, ca. 12.7 mi. northwest of Dee; 1231m; 45.62622&#176; N -121.75909&#176; W","45.6262","-121.7591","1231","","","Micranthes odontoloma (Piper) A. Heller "
"observation","192741","Saxifragaceae","Mitella breweri","Brewer's mitrewort, feathery mitrewort","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Mitella breweri A. Gray "
"observation","299735","Saxifragaceae","Tellima grandiflora","large fringecup","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Tellima grandiflora (Pursh) Douglas ex Lindl. "
