binomial,count
Bensoniella oregona,8
Boykinia major,65
Boykinia occidentalis,37
Cascadia nuttallii,5
Chrysosplenium glechomifolium,5
Darmera peltata,7
Elmera racemosa,1
Heuchera chlorantha,9
Heuchera cylindrica,2
Heuchera glabra,10
Heuchera merriamii,15
Heuchera micrantha,91
Leptarrhena pyrolifolia,1
Lithophragma campanulatum,4
Lithophragma glabrum,9
Lithophragma parviflorum,61
Lithophragma tenellum,1
Micranthes californica,2
Micranthes ferruginea,44
Micranthes integrifolia,53
Micranthes marshallii,2
Micranthes nelsoniana,1
Micranthes nidifica,1
Micranthes occidentalis,3
Micranthes odontoloma,23
Micranthes oregana,43
Micranthes rufidula,43
Micranthes tolmiei,5
Mitella breweri,64
Mitella caulescens,30
Mitella diversifolia,6
Mitella ovalis,43
Mitella pentandra,51
Mitella trifida,34
Saxifraga bronchialis,31
Saxifraga cespitosa,6
Saxifraga mertensiana,26
Saxifragopsis fragarioides,4
Tellima grandiflora,160
Tiarella trifoliata,190
Tolmiea diplomenziesii,2
