"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","396037","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Otting, N., Coberly, C.","","27 July 2004","2004","Deschutes","Highway 20, Albany to Sisters, mile post 98 to 99","44.3196","-121.5799","","","","Verbascum thapsus L. "
"observation","391887","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Otting, N.","","21 August 2009","2009","Deschutes","Highway 20, Bend to Ontario, mile post 17 to 18","43.9482","-121.0365","","","","Verbascum thapsus L. "
"image","dig21238","Scrophulariaceae","Limosella aquatica","mudwort, northern mudwort","Gerald D. Carr","","September 12, 2009","2009","Multnomah","mud flat, near offshore end of pilings, 0.13 air mi. north northeast of visitor center, Rooster Rock State Park; 5m; 45.54893&#176; N -122.2348&#176; W","45.5489","-122.2348","5","","","Limosella aquatica L. "
"observation","317762","Scrophulariaceae","Scrophularia californica","California figwort","BLM Botanist","","2007","2007","Benton","Grass Mountain Research Natural Area","44.4244","-123.6751","","","","Scrophularia californica Cham. & Schltdl. "
"observation","185115","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Battaile, J., Battaile, C.","","23 August 2002","2002","Lake","Campbell Lake","42.5950","-119.6950","1350","","","Verbascum thapsus L. "
"observation","407105","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B.","","12 May 2012","2012","Benton","South part of Luckiamute Landing","44.7159","-123.1618","61","","","Verbascum thapsus L. "
"observation","320574","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Brainerd, R., Otting, N., Wilson, B.","","19 May 2007","2007","Deschutes","Peter's house, Deschutes River","44.2423","-121.2150","935","","","Verbascum thapsus L. "
"observation","287409","Scrophulariaceae","Verbascum blattaria","moth mullein","Wilson, B., Brainerd, R., Newhouse, B.","","2003","2003","Douglas","I-5, mile 112 to 113","43.0640","-123.3462","","","","Verbascum blattaria L. "
"observation","296876","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Lytjen, D., Wilson, B.","","21 July 2004","2004","Crook","Road near headwaters of Swamp Creek","44.2002","-120.2271","","","","Verbascum thapsus L. "
"observation","394011","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 15 to 16","44.5168","-122.8979","","","","Verbascum thapsus L. "
"image","dig22710","Scrophulariaceae","Scrophularia lanceolata","lanceleaf figwort","Bruce Neil Newhouse","","July 23, 2007","2007","Lane","Amazon headwaters; 43.992827&#176; N -123.079613&#176; W","43.9928","-123.0796","","","","Scrophularia lanceolata Pursh "
"observation","405210","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B.","","2011","2011","Deschutes","Brothers Rest Area","43.8135","-120.5998","1413","","","Verbascum thapsus L. "
"observation","293071","Scrophulariaceae","Verbascum blattaria","moth mullein","Wilson, B.","","2002","2002","Multnomah","I-84, mile 39 to 40","45.6274","-121.9683","","","","Verbascum blattaria L. "
"observation","314188","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Salix Associates","","2004","2004","Lane","Lowell Butte (Disappointment Butte)","43.9243","-122.7653","","","","Verbascum thapsus L. "
"observation","292593","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B.","","2002","2002","Hood River","I-84, mile 55 to 56","45.6928","-121.6800","","","","Verbascum thapsus L. "
"observation","289952","Scrophulariaceae","Verbascum blattaria","moth mullein","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 14 to 15","42.1895","-122.6695","","","","Verbascum blattaria L. "
"observation","304150","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Brainerd, R., Otting, N., Wilson, B.","","2005","2005","Linn","Lost Lake, Linn County","44.4328","-121.9083","1213","","","Verbascum thapsus L. "
"observation","388628","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Brainerd, R.","","17 May 2007","2007","Deschutes","Highway 97, mile post 148 to 149","43.9283","-121.3529","","","","Verbascum thapsus L. "
"observation","407240","Scrophulariaceae","Limosella aquatica","mudwort, northern mudwort","Wilson, B., Otting, N.","","15 June 2012","2012","Jefferson","Pond east of Fly Lake","44.5385","-121.4003","891","","","Limosella aquatica L. "
"observation","401000","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 45 to 46","44.1093","-120.1246","","","","Verbascum thapsus L. "
"observation","407575","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Sand Hollow Well","43.9375","-120.1121","1247","","","Verbascum thapsus L. "
"observation","289206","Scrophulariaceae","Verbascum thapsus","flannel mullein, cowboy toilet paper","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Jackson","I-5, mile 44 to 45","42.4244","-123.1107","","","","Verbascum thapsus L. "
