"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","375180","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2006 - 2011","2006","Douglas","Lookout Mountain, Douglas County","43.2638","-122.7458","1402","","","Selaginella wallacei Hieron. "
"observation","199533","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2011","2003","Lane","Deception Butte","43.7466","-122.5785","991","","","Selaginella wallacei Hieron. "
"image","dig14126","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Selaginella wallacei Hieron. "
"observation","299725","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Selaginella wallacei Hieron. "
"image","dig14124","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Selaginella wallacei Hieron. "
"observation","376312","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2004 - 2009","2004","Douglas","Hershberger Mountain and Pup Prairie","43.0328","-122.4499","1707","","","Selaginella wallacei Hieron. "
"observation","397033","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Highway 58, mile post 29 to 30","43.7886","-122.5430","","","","Selaginella wallacei Hieron. "
"image","dig14128","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","April 12, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I049; 42.303970655&#176; N -123.648124189&#176; W","42.3040","-123.6481","","","","Selaginella wallacei Hieron. "
"observation","378588","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","12 November 2010","2010","Lane","Stone Mountain","43.6199","-122.4013","610","","","Selaginella wallacei Hieron. "
"observation","419521","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2014","2003","Linn","Bachelor Mountain: Harvey","44.6180","-122.0225","1475","","","Selaginella wallacei Hieron. "
"observation","414384","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Newhouse, B.","","20 February 2006","2006","Lane","SE Springfield Private Site in T18S R02W","44.0291","-122.9193","","","","Selaginella wallacei Hieron. "
"observation","299523","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Selaginella wallacei Hieron. "
"observation","422949","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","27 June 2011","2011","Lane","McKinley Rock","43.4890","-122.6521","914","","","Selaginella wallacei Hieron. "
"image","dig14125","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Selaginella wallacei Hieron. "
"observation","370400","Selaginellaceae","Selaginella scopulorum","Rocky Mountain spikemoss","Harvey, T.","","2004 - 2007","2004","Linn","Monument Peak","44.6896","-122.3270","1219","","","Selaginella scopulorum Maxon "
"image","dig36301","Selaginellaceae","Selaginella oregana","Oregon selaginella, Oregon spikemoss","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Saddle Mt. Trail; 570m; 45.96059&#176; N -123.68604&#176; W","45.9606","-123.6860","570","","","Selaginella oregana D.C. Eaton "
"observation","378494","Selaginellaceae","Selaginella scopulorum","Rocky Mountain spikemoss","Harvey, T.","","11 September 2009","2009","Lane","Pyramid Rock","43.4630","-122.4991","1524","","","Selaginella scopulorum Maxon "
"observation","369943","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2004 - 2006","2004","Lane","Indian Ridge","43.9883","-122.2538","1648","","","Selaginella wallacei Hieron. "
"observation","10096483","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","N.J. Otting","","16 June 2012","2012","Wheeler","Unaccessioned specimen: Otting, N. #3385","44.7050","-120.1742","640","Rocky toeslope in juniper shrub-steppe.","","Selaginella wallacei Hieron. "
"image","dig36299","Selaginellaceae","Selaginella oregana","Oregon selaginella, Oregon spikemoss","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Saddle Mt. Trail; 570m; 45.96059&#176; N -123.68604&#176; W","45.9606","-123.6860","570","","","Selaginella oregana D.C. Eaton "
"image","dig14123","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Selaginella wallacei Hieron. "
"observation","372071","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Selaginella wallacei Hieron. "
"observation","370510","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2004","2003","Lane","Mount Salem","43.9318","-122.6561","732","","","Selaginella wallacei Hieron. "
"observation","421538","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2013","2013","Lane","Cougar Reservoir","44.0964","-122.2370","510","","","Selaginella wallacei Hieron. "
"observation","295523","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Otting, N., Wilson, B.","","24 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 10 and 011","45.5112","-121.9438","620","","","Selaginella wallacei Hieron. "
"observation","422172","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2013","2013","Lane","Heavenly Bluff","43.5659","-122.5796","1337","","","Selaginella wallacei Hieron. "
"observation","374273","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2008 - 2013","2008","Clackamas","High Rock","45.1664","-121.8971","1408","","","Selaginella wallacei Hieron. "
"observation","375627","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2008 - 2009","2008","Linn","Lava Area along Hwy 126","44.3240","-121.9994","884","","","Selaginella wallacei Hieron. "
"image","dig36303","Selaginellaceae","Selaginella oregana","Oregon selaginella, Oregon spikemoss","Gerald D. Carr","","June 20, 2013","2013","Clatsop","Saddle Mt. Trail; 570m; 45.96059&#176; N -123.68604&#176; W","45.9606","-123.6860","570","","","Selaginella oregana D.C. Eaton "
"observation","304128","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Wilson, B.","","1 May 2005","2005","Linn","EWEB powerhouse cliff","44.2865","-122.0402","640","","","Selaginella wallacei Hieron. "
"observation","423027","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2011","2011","Lane","Mosaic Rock","43.4808","-122.4539","1036","","","Selaginella wallacei Hieron. "
"observation","377459","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2010","2010","Lane","Grassy Glade - Harvey","43.4777","-122.3609","1036","","","Selaginella wallacei Hieron. "
"observation","372370","Selaginellaceae","Selaginella scopulorum","Rocky Mountain spikemoss","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Selaginella scopulorum Maxon "
"observation","422457","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2013","2013","Lane","Lady Bug Rock","43.5057","-122.4231","605","","","Selaginella wallacei Hieron. "
"image","dig14127","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","March 29, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I019; 42.2933449906&#176; N -123.655766634&#176; W","42.2933","-123.6558","","","","Selaginella wallacei Hieron. "
"observation","203687","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","16 June 2003","2003","Marion","Phantom Bridge: Harvey","44.7790","-122.2234","1244","","","Selaginella wallacei Hieron. "
"observation","421780","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2013","2013","Lane","Eagles Rest","43.8445","-122.7535","785","","","Selaginella wallacei Hieron. "
"observation","302164","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2004 - 2011","2004","Clackamas","Table Rock Wilderness Trail","44.9633","-122.3238","1036","","","Selaginella wallacei Hieron. "
"image","dig36300","Selaginellaceae","Selaginella oregana","Oregon selaginella, Oregon spikemoss","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Saddle Mt. Trail; 570m; 45.96059&#176; N -123.68604&#176; W","45.9606","-123.6860","570","","","Selaginella oregana D.C. Eaton "
"observation","185657","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Native Plant Society of Oregon","","12 July 2003","2003","Lane","Horsepasture Mountain","44.1209","-122.0910","1448","","","Selaginella wallacei Hieron. "
"image","dig36298","Selaginellaceae","Selaginella oregana","Oregon selaginella, Oregon spikemoss","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Saddle Mt. Trail; 570m; 45.96059&#176; N -123.68604&#176; W","45.9606","-123.6860","570","","","Selaginella oregana D.C. Eaton "
"observation","413919","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Selaginella wallacei Hieron. "
"observation","378616","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2010","2003","Linn","Three Pyramids - Harvey","44.4976","-122.0786","1167","","","Selaginella wallacei Hieron. "
"observation","375573","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2008 - 2011","2008","Linn","Wildcat Mountain RNA","44.3388","-122.1213","1228","","","Selaginella wallacei Hieron. "
"image","dig14130","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","April 12, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I049; 42.303970655&#176; N -123.648124189&#176; W","42.3040","-123.6481","","","","Selaginella wallacei Hieron. "
"observation","298744","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Brainerd, R., Otting, N., Wilson, B.","","11 July 2005","2005","Wheeler","Service Creek","44.8090","-120.0196","573","","","Selaginella wallacei Hieron. "
"observation","403275","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Selaginella wallacei Hieron. "
"image","dig14129","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Keir Morse","","April 12, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I049; 42.303970655&#176; N -123.648124189&#176; W","42.3040","-123.6481","","","","Selaginella wallacei Hieron. "
"observation","374992","Selaginellaceae","Selaginella scopulorum","Rocky Mountain spikemoss","Harvey, T.","","2004 - 2009","2004","Douglas","Illahee Rock","43.3489","-122.5628","1487","","","Selaginella scopulorum Maxon "
"observation","423527","Selaginellaceae","Selaginella scopulorum","Rocky Mountain spikemoss","Harvey, T.","","6 July 2012","2012","Lane","Scorpion Butte","43.5466","-122.6526","1362","","","Selaginella scopulorum Maxon "
"observation","301449","Selaginellaceae","Selaginella wallacei","Wallace's selaginella, Wallace's spikemoss","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Selaginella wallacei Hieron. "
