"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","282521","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Multnomah","I-5, mile 302 to 303","45.5366","-122.6696","","","","Ailanthus altissima (Mill.) Swingle "
"observation","292383","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Hood River","I-84, mile 61 to 62","45.7090","-121.5609","","","","Ailanthus altissima (Mill.) Swingle "
"observation","285831","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 174 to 175","43.8010","-123.0451","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291870","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 81 to 82","45.6387","-121.2114","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291426","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 109 to 110","45.6957","-120.7391","","","","Ailanthus altissima (Mill.) Swingle "
"observation","282457","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Otting, N., Newhouse, B.","","2003","2003","Multnomah","I-5, mile 305 to 306","45.5779","-122.6791","","","","Ailanthus altissima (Mill.) Swingle "
"observation","292119","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 72 to 73","45.6950","-121.3535","","","","Ailanthus altissima (Mill.) Swingle "
"observation","391174","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Otting, N., Mitchell, K.","","June 2007","2007","Baker","Interstate 84, mile post 336 to 337","44.4934","-117.3662","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291744","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 88 to 89","45.6169","-121.1164","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291623","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 96 to 97","45.6464","-120.9702","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291260","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Gilliam","I-84, mile 120 to 121","45.7166","-120.5441","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291900","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 80 to 81","45.6525","-121.2129","","","","Ailanthus altissima (Mill.) Swingle "
"observation","321581","Simaroubaceae","Ailanthus altissima","tree of heaven","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Ailanthus altissima (Mill.) Swingle "
"observation","291382","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 112 to 113","45.7117","-120.6866","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291396","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 111 to 112","45.7066","-120.7017","","","","Ailanthus altissima (Mill.) Swingle "
"observation","228864","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002 - 2004","2002","Gilliam","Arlington","45.7162","-120.2012","76","","","Ailanthus altissima (Mill.) Swingle "
"observation","291480","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 106 to 107","45.6804","-120.7966","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291582","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 100 to 101","45.6379","-120.9020","","","","Ailanthus altissima (Mill.) Swingle "
"observation","287755","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 98 to 99","42.9273","-123.2800","","","","Ailanthus altissima (Mill.) Swingle "
"observation","289556","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 30 to 31","42.3530","-122.8783","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291544","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 102 to 103","45.6553","-120.8699","","","","Ailanthus altissima (Mill.) Swingle "
"observation","396520","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 12 to 13","43.9128","-122.8009","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291769","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Wasco","I-84, mile 87 to 88","45.6070","-121.1307","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291290","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Gilliam","I-84, mile 118 to 119","45.7346","-120.5750","","","","Ailanthus altissima (Mill.) Swingle "
"observation","291562","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B.","","2002","2002","Sherman","I-84, mile 101 to 102","45.6454","-120.8850","","","","Ailanthus altissima (Mill.) Swingle "
"observation","289619","Simaroubaceae","Ailanthus altissima","tree of heaven","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 27 to 28","42.3150","-122.8541","","","","Ailanthus altissima (Mill.) Swingle "
