"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","229193","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B.","","2002","2002","Hood River","Koberg Beach State Park & Rest Area","45.6981","-121.4741","37","","","Solanum dulcamara L. "
"image","bor6027","Solanaceae","Solanum furcatum","coast nightshade","Richard R. Halse","","June 15, 2005","2005","Curry","locality unknown; 20m; 42.2866666666667&#176; N -124.411388888889&#176; W","42.2867","-124.4114","20","","","Solanum furcatum Dunal "
"observation","312024","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Solanum dulcamara L. "
"observation","404433","Solanaceae","Solanum physalifolium","","Wilson, B.","","8 October 2009","2009","Linn","Hwy 20 below Mountain House","44.4066","-122.2904","423","","","Solanum physalifolium Rusby "
"observation","325298","Solanaceae","Solanum rostratum","buffalo bur","Olson, B.B., Maffitt, V.","","30 August 2006","2006","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Solanum rostratum Dunal "
"observation","351845","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","31 May 2007","2007","Jackson","Sensitive species - location undisclosed","42.0000","-122.5000","1350","","","Solanum parishii A. Heller "
"observation","383479","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B.","","10 September 2009","2009","Lincoln","Elk City Park","44.6209","-123.8753","4","","","Solanum dulcamara L. "
"observation","350968","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","15 July 2004","2004","Josephine","Sensitive species - location undisclosed","42.6000","-123.8000","1210","","","Solanum parishii A. Heller "
"observation","306675","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B.","","12 August 2006","2006","Multnomah","Hayden Island, under I-5","45.6141","-122.6763","6","","","Solanum dulcamara L. "
"observation","228877","Solanaceae","Datura wrightii","sacred thorn-apple","Wilson, B.","","2002 - 2004","2002","Gilliam","Arlington","45.7162","-120.2012","76","","","Datura wrightii Regel "
"observation","321541","Solanaceae","Nicotiana acuminata var. multiflora","many flowered tobacco","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Nicotiana acuminata (Graham) Hook. var. multiflora (Phil.) Reiche "
"observation","330593","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B., Otting, N.","","1 November 2007","2007","Multnomah","Multnomah Falls","45.5790","-122.1165","24","","","Solanum dulcamara L. "
"image","dig42169","Solanaceae","Solanum nigrum","black nightshade","Gerald D. Carr","","September 1, 2015","2015","Lane","S side of Ferguson Rd., just E of jct. with Hulbert Lake Rd., 3.6 mi. NW of Junction City via Hwy 99W; 95m; 44.25246&#176; N -123.24968&#176; W","44.2525","-123.2497","95","","","Solanum nigrum L. "
"image","dig3302","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Bruce Neil Newhouse","","September 19, 2002","2002","Benton","Corvallis","44.5647","-123.2608","","","","Solanum dulcamara L. "
"observation","329925","Solanaceae","Solanum nigrum","black nightshade","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Island Creek Recreation Area","42.9133","-123.4800","226","","","Solanum nigrum L. "
"observation","351841","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","31 May 2007","2007","Jackson","Sensitive species - location undisclosed","42.0000","-122.5000","1219","","","Solanum parishii A. Heller "
"observation","351842","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","21 June 2007","2007","Jackson","Sensitive species - location undisclosed","42.1000","-122.4000","1285","","","Solanum parishii A. Heller "
"observation","311922","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Datura stramonium L. "
"image","dig20692","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Gerald D. Carr","","September 8, 2009","2009","Benton","waters edge, open, rocky shore of Willamette River, 0.4 air mi. southeast of the parking area off Fisher Lane, north end of Willamette Park, Corvallis; 64m","44.5486","-123.2436","64","","","Datura stramonium L. "
"observation","321599","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Datura stramonium L. "
"image","dig14211","Solanaceae","Solanum nigrum","black nightshade","Keir Morse","","August 22, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I145; 42.2776667314&#176; N -123.644386098&#176; W","42.2777","-123.6444","","","","Solanum nigrum L. "
"observation","351297","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","23 April 2004","2004","Jackson","Sensitive species - location undisclosed","42.2000","-123.0000","640","","","Solanum parishii A. Heller "
"observation","229056","Solanaceae","Solanum physalifolium var. nitidibaccatum","hairy nightshade","Wilson, B.","","2002 - 2004","2002","Wasco","Rest area on eastbound I-84 at Memaloose State Park","45.6947","-121.3448","91","","","Solanum physalifolium Rusby var. nitidibaccatum (Bitter) Edmonds "
"observation","403875","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","21 September 2009","2009","Jackson","Sensitive species - location undisclosed","42.3000","-123.1000","686","","","Solanum parishii A. Heller "
"observation","309379","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Newhouse, B., Alverson, E.","","2003 - 2006","2003","Lane","Lower Coyote Creek","44.1320","-123.2851","","","","Solanum dulcamara L. "
"image","dig19707","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Gerald D. Carr","","August 13, 2006","2006","Benton","Jackson-Frazier Wetlands, Corvallis; 44.60419&#176; N -123.23901&#176; W","44.6042","-123.2390","","","","Solanum dulcamara L. "
"observation","10096154","Solanaceae","Nicotiana acuminata var. multiflora","many flowered tobacco","R.E. Brainerd","","11 September 2013","2013","Klamath","Unaccessioned specimen: Brainerd, R. #2259","42.2140","-121.7727","1244","Disturbed gravel wasteland.","","Nicotiana acuminata (Graham) Hook. var. multiflora (Phil.) Reiche "
"observation","309461","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Salix Associates","","June 2006","2006","Benton","Owens Farm","44.6143","-123.2487","","","","Solanum dulcamara L. "
"observation","305038","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B., Brainerd, R.","","13 June 2006","2006","Multnomah","Wahkeena Falls","45.5731","-122.1269","","","","Solanum dulcamara L. "
"observation","229730","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B.","","2002","2002","Marion","Rest area and park on I-5 at 241 mile marker","44.7463","-123.0583","94","","","Solanum dulcamara L. "
"observation","380779","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Bluhm, W., Savage, J., Kimmich, R.","","27 June 2009","2009","Yamhill","Yamhill Oaks Preserve","45.1802","-123.3722","91","","","Solanum dulcamara L. "
"observation","357145","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Wilson, B., Otting, N.","","16 August 2008","2008","Wasco","Clarno nursery","44.9184","-120.4725","389","","","Datura stramonium L. "
"image","dig42170","Solanaceae","Solanum nigrum","black nightshade","Gerald D. Carr","","September 1, 2015","2015","Lane","S side of Ferguson Rd., just E of jct. with Hulbert Lake Rd., 3.6 mi. NW of Junction City via Hwy 99W; 95m","44.2525","-123.2497","95","","","Solanum nigrum L. "
"observation","418554","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Maze, D.","","7 July 2013","2013","Multnomah","Willamette Park 2013","45.4752","-122.6684","","","","Solanum dulcamara L. "
"observation","206465","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Bluhm, W., Savage, J.","","June 2004","2004","Marion","Joryville County Park","44.8561","-123.0789","244","","","Solanum dulcamara L. "
"observation","323300","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Otting, N., Wilson, B.","","23 July 2007","2007","Linn","Waverly Lake Park","44.6422","-123.0662","68","","","Solanum dulcamara L. "
"image","dig20700","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Gerald D. Carr","","October 7, 2009","2009","Benton","muddy south bank of Marys River under 3rd Street Bridge, Corvallis; 61m; 44.55652&#176; N -123.26449&#176; W","44.5565","-123.2645","61","","","Datura stramonium L. "
"observation","229629","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Wilson, B.","","2002 - 2003","2002","Clackamas","Rest Area on southbound I-5 at 282 mile marker","45.2749","-122.7752","69","","","Solanum dulcamara L. "
"image","dig36379","Solanaceae","Solanum triflorum","cutleaf nightshade","Gerald D. Carr","","July 31, 2013","2013","Crook","Hwy 26, 1.5 mi. NE of jct. with Ochoco Creek Rd., ca. 16 mi. ENE of Prineville; 1091m; 44.35548&#176; N -120.54151&#176; W","44.3555","-120.5415","1091","","","Solanum triflorum Nutt. "
"observation","352070","Solanaceae","Solanum rostratum","buffalo bur","Wilson, B., Otting, N.","","2008","2008","Crook","Prineville, from the Stafford Inn to Juniper Street","44.3043","-120.8318","889","","","Solanum rostratum Dunal "
"observation","320567","Solanaceae","Solanum dulcamara","bittersweet, climbing nightshade","Brainerd, R., Otting, N., Wilson, B.","","19 May 2007","2007","Deschutes","Peter's house, Deschutes River","44.2423","-121.2150","935","","","Solanum dulcamara L. "
"image","dig28125","Solanaceae","Leucophysalis nana","dwarf chamaesaracha","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Clausen Road, 0.2 mi. northwest of junction with Highway 97, Bend; 1053m; 44.11403&#176; N -121.29486&#176; W","44.1140","-121.2949","1053","","","Leucophysalis nana (A. Gray) Averett "
"observation","408180","Solanaceae","Datura stramonium","jimson weed, thorn-apple","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Datura stramonium L. "
"image","dig42171","Solanaceae","Solanum nigrum","black nightshade","Gerald D. Carr","","September 1, 2015","2015","Lane","S side of Ferguson Rd., just E of jct. with Hulbert Lake Rd., 3.6 mi. NW of Junction City via Hwy 99W; 95m; 44.25246&#176; N -123.24968&#176; W","44.2525","-123.2497","95","","","Solanum nigrum L. "
"observation","358532","Solanaceae","Solanum nigrum","black nightshade","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Solanum nigrum L. "
"observation","403805","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","21 May 2007","2007","Jackson","Sensitive species - location undisclosed","42.2000","-123.2000","928","","","Solanum parishii A. Heller "
"observation","351299","Solanaceae","Solanum parishii","Parish's nightshade","ORBIC","","20 July 2005","2005","Jackson","Sensitive species - location undisclosed","42.8000","-122.8000","1390","","","Solanum parishii A. Heller "
