"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","408493","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N.","","19 July 2012","2012","Harney","Malheur National Wildlife Refuge, Central Patrol Road 2, pond","42.8661","-118.8897","1272","","","Typha latifolia L. "
"observation","337928","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Halvorson, R.","","18 June 2008","2008","Crook","15S 16E 34","44.2255","-120.7970","","","","Typha latifolia L. "
"observation","354719","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N.","","30 June 2008","2008","Douglas","Anna Drain County Park","43.6593","-123.3150","","","","Typha latifolia L. "
"observation","289846","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 19 to 20","42.2314","-122.7475","","","","Typha latifolia L. "
"observation","318193","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Typha latifolia L. "
"observation","321672","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","town of Moro","45.4832","-120.7299","","","","Typha latifolia L. "
"observation","393663","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","24 June 2010","2010","Malheur","Highway 20, Bend to Ontario, mile post 230 to 231","43.8867","-117.4905","","","","Typha latifolia L. "
"observation","388079","Typhaceae","Typha angustifolia","lesser cattail, narrow-leaf cattail","Wilson, B., Otting, N.","","1 October 2010","2010","Morrow","Irrigon Wildlife Area","45.9093","-119.4140","93","","","Typha angustifolia L. "
"observation","243561","Typhaceae","Sparganium emersum","simple-stem bur-reed","Battaile, C., Battaile, J.","","3 August 2004","2004","Klamath","Mud Spring","42.0817","-122.1900","","forest, herbland","","Sparganium emersum Rehmann "
"observation","322804","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Wood River Wetlands, transplant site","42.5981","-121.9446","1260","","","Typha latifolia L. "
"observation","393409","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","21 August 2009","2009","Malheur","Highway 20, Bend to Ontario, mile post 210 to 211","43.7691","-117.7900","","","","Typha latifolia L. "
"observation","390031","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Mitchell, K.","","30 September 2010","2010","Umatilla","Interstate 84, mile post 237 to 238","45.5144","-118.4335","","","","Typha latifolia L. "
"observation","394882","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 49 to 50","44.3989","-122.3431","","","","Typha latifolia L. "
"observation","305752","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Coberly, C., Mitchell, K., Brainerd, R.","","19 July 2006","2006","Coos","Four-mile Creek near mouth","43.0113","-124.4481","6","","","Typha latifolia L. "
"observation","292760","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B.","","2002","2002","Hood River","I-84, mile 48 to 49","45.6966","-121.8195","","","","Typha latifolia L. "
"observation","289247","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Jackson","I-5, mile 43 to 44","42.4299","-123.0930","","","","Typha latifolia L. "
"observation","392773","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","21 August 2009","2009","Harney","Highway 20, Bend to Ontario, mile post 167 to 168","43.7536","-118.4666","","","","Typha latifolia L. "
"image","dig39552","Typhaceae","Sparganium natans","small bur-reed","Gerald D. Carr","","August 5, 2014","2014","Coos","Saunders Lake County Park, just off Hwy 101, N of North Bend; 20m; 43.53017&#176; N -124.21679&#176; W","43.5302","-124.2168","20","","","Sparganium natans L. "
"observation","283805","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 251 to 252","44.8846","-122.9966","","","","Typha latifolia L. "
"observation","369801","Typhaceae","Sparganium angustifolium","floating bur-reed, narrow-leaf bur-reed","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Sparganium angustifolium Michx. "
"observation","392838","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","21 August 2009","2009","Harney","Highway 20, Bend to Ontario, mile post 174 to 175","43.7824","-118.3428","","","","Typha latifolia L. "
"observation","355407","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N.","","4 July 2008","2008","Douglas","Roseburg: Garden Valley Mall","43.2337","-123.3754","","","","Typha latifolia L. "
"observation","207569","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Coquille Indian Tribe botanist","","2 July 2002","2002","Coos","Empire Watershed","43.3530","-124.2970","","","","Typha latifolia L. "
"observation","355196","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Boomer Hill, pond in S27","43.0186","-123.3919","583","","","Typha latifolia L. "
"observation","392703","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","24 June 2010","2010","Harney","Highway 20, Bend to Ontario, mile post 161 to 162","43.6925","-118.5376","","","","Typha latifolia L. "
"observation","289618","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 28 to 29","42.3260","-122.8657","","","","Typha latifolia L. "
"observation","207803","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Typha latifolia L. "
"observation","390519","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Mitchell, K.","","8 June 2007","2007","Union","Interstate 84, mile post 282 to 283","45.0766","-117.9471","","","","Typha latifolia L. "
"observation","141244","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Heinze, D.","","22 August 2004","2004","Josephine","Fish Hatchery Park","42.3574","-123.4210","293","herbland, savanna, shrubland","","Typha latifolia L. "
"observation","397234","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","2004","2004","Lane","Highway 58, mile post 36 to 37","43.7402","-122.4591","","","","Typha latifolia L. "
"observation","297741","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Newhouse, B., Wilson, B.","","14 June 2005","2005","Jackson","Cobleigh Road before bridge","42.5802","-122.6126","655","","","Typha latifolia L. "
"observation","289714","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 24 to 25","42.2824","-122.8165","","","","Typha latifolia L. "
"observation","394066","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 18 to 19","44.4965","-122.8456","","","","Typha latifolia L. "
"observation","289800","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 21 to 22","42.2492","-122.7781","","","","Typha latifolia L. "
"observation","393849","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Otting, N.","","21 August 2009","2009","Malheur","Highway 20, Bend to Ontario, mile post 254 to 255","43.9885","-117.0895","","","","Typha latifolia L. "
"observation","289296","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Jackson","I-5, mile 41 to 42","42.4286","-123.0548","","","","Typha latifolia L. "
"image","dig22136","Typhaceae","Sparganium emersum","simple-stem bur-reed","Gerald D. Carr","","July 6, 2009","2009","Benton","west side of Porter Lake, near junction of Smith Loop and Hurlburt Road; 44.4477&#176; N -123.24529&#176; W","44.4477","-123.2453","","","","Sparganium emersum Rehmann "
"observation","10094471","Typhaceae","Sparganium emersum","simple-stem bur-reed","R.E. Brainerd","","12 August 2005","2005","Lane","Unaccessioned specimen: Brainerd, R. #709","44.2483","-123.4946","221","Marsh with 1 to 2 feet of open water.","","Sparganium emersum Rehmann "
"observation","305130","Typhaceae","Typha latifolia","broad-leaf cattail, common cattail","Wilson, B.","","June 2006","2006","Linn","Skyline Inn Restaurant, Sweet Home","44.4003","-122.7117","177","","","Typha latifolia L. "
