"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","353938","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Wilson, B., Otting, N.","","8 July 2008","2008","Lake","Deep Creek, near and west of junction of roads 3915 and 4015","42.0624","-120.1598","1748","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","183523","Urticaceae","Urtica dioica","stinging nettle","Otting, N., Lytjen, D.","","30 June 2002","2002","Wheeler","Meyers Canyon","44.6341","-120.1540","1036","","","Urtica dioica L. "
"observation","423810","Urticaceae","Urtica dioica","stinging nettle","Harvey, T.","","2012","2012","Douglas","Upper Elk Meadows: Harvey","43.5296","-122.9021","1231","","","Urtica dioica L. "
"observation","384548","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Wilson, B.","","18 April 2010","2010","Benton","Fort Hoskins Park","44.6756","-123.4632","152","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","369685","Urticaceae","Urtica dioica","stinging nettle","Harvey, T.","","2004 - 2009","2004","Douglas","Hershberger Mountain and Pup Prairie","43.0328","-122.4499","1707","","","Urtica dioica L. "
"observation","300569","Urticaceae","Urtica dioica","stinging nettle","Olson, B.B., Maffitt, V.","","28 March 2003","2003","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Urtica dioica L. "
"observation","22561","Urticaceae","Urtica dioica","stinging nettle","Predeek, D.","","23 April 2003","2003","Lane","Big Island","44.0685","-122.9134","","","","Urtica dioica L. "
"observation","353838","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Wilson, B., Otting, N.","","7 July 2008","2008","Klamath","Sprague River Picnic Area","42.3730","-120.9663","1345","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","293326","Urticaceae","Urtica dioica","stinging nettle","Wilson, B.","","2002","2002","Multnomah","I-84, mile 29 to 30","45.5709","-122.1570","","","","Urtica dioica L. "
"observation","310999","Urticaceae","Urtica dioica","stinging nettle","Brainerd, R., Newhouse, B.","","2 June 2005","2005","Lane","Cedar Creek Site","43.7087","-123.1161","544","","","Urtica dioica L. "
"observation","412576","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","322869","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Wood River Wetlands, near artesian well","42.6171","-121.9659","1262","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","295012","Urticaceae","Urtica dioica","stinging nettle","Wilson, B.","","1 August 2003","2003","Coos","Reiber property","43.3305","-124.1306","","","","Urtica dioica L. "
"observation","205592","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","308284","Urticaceae","Urtica dioica","stinging nettle","Wilson, B.","","5 September 2006","2006","Douglas","Bunch Bar","43.6467","-123.6646","52","","","Urtica dioica L. "
"observation","383367","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Wilson, B.","","10 September 2009","2009","Lincoln","Harlan Road stop at bridge","44.5546","-123.7647","48","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","358142","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Mill Pond Campground","43.3804","-122.9491","347","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","412918","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Newhouse, B.","","2011","2011","Lane","Berggren Watershed Conservation Area","44.0649","-122.8989","155","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","332651","Urticaceae","Urtica dioica ssp. gracilis","northwest nettle, American stinging nettle","Bluhm, W.","","May 2008","2008","Lincoln","Drift Creek Camp","44.9028","-123.9117","76","","","Urtica dioica L. ssp. gracilis (Aiton) Selander "
"observation","367158","Urticaceae","Urtica dioica","stinging nettle","Harvey, T.","","2004 - 2013","2004","Douglas","Buck Canyon","43.0762","-122.4105","1359","","","Urtica dioica L. "
"observation","305318","Urticaceae","Urtica dioica","stinging nettle","Wilson, B.","","29 June 2006","2006","Multnomah","Kelley Point Park","45.6458","-122.7617","79","","","Urtica dioica L. "
"observation","318194","Urticaceae","Urtica dioica","stinging nettle","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Urtica dioica L. "
"observation","413953","Urticaceae","Urtica dioica","stinging nettle","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Urtica dioica L. "
"observation","404588","Urticaceae","Urtica dioica","stinging nettle","Wilson, B.","","10 May 2011","2011","Polk","Coast Range list 35: Steer Creek Road end at Bradish Boulevard","44.7308","-123.6436","320","","","Urtica dioica L. "
"observation","409085","Urticaceae","Urtica dioica","stinging nettle","Wilson, B., Otting, N.","","25 July 2012","2012","Benton","Takena Landing Park","44.6412","-123.1093","58","","","Urtica dioica L. "
"observation","325132","Urticaceae","Urtica dioica","stinging nettle","BLM Botanist","","2006","2006","Tillamook","High Peak/Moon Creek Research Natural Area","45.3380","-123.6812","","","","Urtica dioica L. "
"observation","422298","Urticaceae","Urtica dioica","stinging nettle","Harvey, T.","","23 May 2013","2013","Lane","Jasper Prairie: Harvey","44.0005","-122.8689","253","","","Urtica dioica L. "
