"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","140807","Verbenaceae","Verbena lasiostachys","western verbena","Heinze, D.","","3 August 2003","2003","Josephine","Star Flat, Heinze","42.2766","-123.6777","354","herbland, savanna","","Verbena lasiostachys Link "
"image","dig22383","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on SE side of RR, Shelburn Dr. & Slangal Rd., 3.1 air mi. N of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"observation","294262","Verbenaceae","Verbena lasiostachys","western verbena","Heinze, D.","","5 June 2005","2005","Josephine","Waters Creek","42.3961","-123.5538","433","forest, herbland, savanna","","Verbena lasiostachys Link "
"image","dig22382","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on SE side of RR, Shelburn Dr. & Slangal Rd., 3.1 air mi. N of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"image","dig36541","Verbenaceae","Verbena lasiostachys","western verbena","Gerald D. Carr","","May 17, 2013","2013","Josephine","Deer Creek Center, off CR5070, 1.5 mi. W of Selma; 392m; 42.2774&#176; N -123.6449&#176; W","42.2774","-123.6449","392","","","Verbena lasiostachys Link "
"image","dig36538","Verbenaceae","Verbena lasiostachys","western verbena","Gerald D. Carr","","May 18, 2013","2013","Jackson","Kinney Creek Rd., 4.8 mi. SW of jct. with Upper Applegate Rd., 5.1 mi. SW of McKee Bridge; 709m; 42.09441&#176; N -123.13501&#176; W","42.0944","-123.1350","709","","","Verbena lasiostachys Link "
"image","dig14484","Verbenaceae","Verbena lasiostachys","western verbena","Keir Morse","","May 26, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I148; 42.2774024997&#176; N -123.644929142&#176; W","42.2774","-123.6449","","","","Verbena lasiostachys Link "
"image","dig22368","Verbenaceae","Verbena bracteata","bracted verbena","Gerald D. Carr","","September 2, 2009","2009","Wasco","east side of mouth of Threemile Creek, 0.43 air mi. west of junction of Lone Pine Drive and Highway 197; 24m; 45.60409&#176; N -121.14705&#176; W","45.6041","-121.1470","24","","","Verbena bracteata Lag. & Rodr. "
"image","dig22391","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on SE side of railroad track, junction of Shelburn Dr. & Slangal Rd, 3.1 air mi. due N of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"image","dig22367","Verbenaceae","Verbena bracteata","bracted verbena","Gerald D. Carr","","September 2, 2009","2009","Wasco","east side of mouth of Threemile Creek, 0.43 air mi. west of junction of Lone Pine Drive and Highway 197; 24m","45.6041","-121.1470","24","","","Verbena bracteata Lag. & Rodr. "
"observation","329117","Verbenaceae","Verbena lasiostachys","western verbena","Morse, K.","","26 May 2007","2007","Josephine","Deer Creek Center - South","42.2774","-123.6449","382","","","Verbena lasiostachys Link "
"image","dig22387","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on SE side of RR, Shelburn Dr. & Slangal Rd., 3.1 air mi. N of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"observation","163898","Verbenaceae","Verbena lasiostachys","western verbena","Heinze, D.","","18 April 2002","2002","Josephine","Pacifica","42.2711","-123.2620","390","forest, herbland, savanna","","Verbena lasiostachys Link "
"observation","407372","Verbenaceae","Verbena bracteata","bracted verbena","Wilson, B., Otting, N.","","16 June 2012","2012","Wheeler","Black Canyon on Sutton Mountain","44.7058","-120.1731","632","","","Verbena bracteata Lag. & Rodr. "
"observation","381406","Verbenaceae","Verbena bracteata","bracted verbena","Wilson, B.","","13 September 2007","2007","Wheeler","Meyers Canyon - Wilson","44.6174","-120.2030","679","","","Verbena bracteata Lag. & Rodr. "
"observation","306594","Verbenaceae","Verbena bracteata","bracted verbena","Wilson, B.","","12 August 2006","2006","Multnomah","End of Hayden Island Blvd.","45.6212","-122.6927","6","","","Verbena bracteata Lag. & Rodr. "
"image","dig22369","Verbenaceae","Verbena bracteata","bracted verbena","Gerald D. Carr","","September 2, 2009","2009","Wasco","east side of mouth of Threemile Creek, 0.43 air mi. west of junction of Lone Pine Drive and Highway 197; 24m","45.6041","-121.1470","24","","","Verbena bracteata Lag. & Rodr. "
"image","dig36540","Verbenaceae","Verbena lasiostachys","western verbena","Gerald D. Carr","","May 18, 2013","2013","Jackson","Kinney Creek Rd., 4.8 mi. SW of jct. with Upper Applegate Rd., 5.1 mi. SW of McKee Bridge; 709m; 42.09441&#176; N -123.13501&#176; W","42.0944","-123.1350","709","","","Verbena lasiostachys Link "
"image","dig22386","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on southeast side of railroad track, junction of Shelburn Drive & Slangal Road, 3.1 air mi. due north of Scio; 119m; 44.74979&#176; N -122.84995&#176; W","44.7498","-122.8500","119","","","Verbena hastata L. "
"observation","355343","Verbenaceae","Verbena lasiostachys","western verbena","Wilson, B., Otting, N.","","3 July 2008","2008","Douglas","Umpqua National Forest Road 68, about 6 miles up from the north","42.9539","-122.6436","1192","","","Verbena lasiostachys Link "
"image","dig22388","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on southeast side of railroad track, junction of Shelburn Drive & Slangal Road, 3.1 air mi. due north of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"observation","322694","Verbenaceae","Verbena lasiostachys","western verbena","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Elk Creek crossing","42.9006","-122.9310","386","","","Verbena lasiostachys Link "
"image","dig22384","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on SE side of RR, Shelburn Dr. & Slangal Rd.; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"image","dig14486","Verbenaceae","Verbena lasiostachys","western verbena","Keir Morse","","May 26, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I148; 42.2774024997&#176; N -123.644929142&#176; W","42.2774","-123.6449","","","","Verbena lasiostachys Link "
"image","dig36542","Verbenaceae","Verbena lasiostachys","western verbena","Gerald D. Carr","","May 17, 2013","2013","Josephine","Deer Creek Center, off CR5070, 1.5 mi. W of Selma; 392m; 42.2774&#176; N -123.6449&#176; W","42.2774","-123.6449","392","","","Verbena lasiostachys Link "
"image","dig22385","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on southeast side of railroad track, junction of Shelburn Drive & Slangal Road, 3.1 air mi. due north of Scio; 119m","44.7498","-122.8500","119","","","Verbena hastata L. "
"image","dig36537","Verbenaceae","Verbena lasiostachys","western verbena","Gerald D. Carr","","May 18, 2013","2013","Jackson","Kinney Creek Rd., 4.8 mi. SW of jct. with Upper Applegate Rd., 5.1 mi. SW of McKee Bridge; 709m","42.0944","-123.1350","709","","","Verbena lasiostachys Link "
"image","dig22389","Verbenaceae","Verbena hastata","blue verbena, simpler's joy","Gerald D. Carr","","September 14, 2009","2009","Linn","ditch on southeast side of railroad track, junction of Shelburn Drive & Slangal Road, 3.1 air mi. due north of Scio; 119m; 44.74979&#176; N -122.84995&#176; W","44.7498","-122.8500","119","","","Verbena hastata L. "
"observation","327000","Verbenaceae","Verbena lasiostachys","western verbena","Morse, K.","","1 June 2007","2007","Josephine","Deer Creek Center - North","42.2929","-123.6529","456","","","Verbena lasiostachys Link "
