"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","385656","Violaceae","Viola purpurea","goosefoot violet","Wilson, B.","","7 June 2010","2010","Deschutes","Highway 242, near mile post 90","44.2994","-121.5964","1003","","","Viola purpurea Kellogg "
"observation","202130","Violaceae","Viola orbiculata","darkwoods violet, round leaved violet","Harvey, T.","","1 July 2003","2003","Lane","Sardine Butte: Harvey","43.9741","-122.2958","1524","","","Viola orbiculata Geyer ex Holz. "
"observation","302377","Violaceae","Viola orbiculata","darkwoods violet, round leaved violet","Harvey, T.","","2004 - 2010","2004","Marion","Whetstone Mountain Trail: Harvey","44.8661","-122.2021","1204","","","Viola orbiculata Geyer ex Holz. "
"observation","367645","Violaceae","Viola orbiculata","darkwoods violet, round leaved violet","Harvey, T.","","11 September 2006","2006","Lane","Cupit Mary Meadow","43.7322","-122.1112","1509","","","Viola orbiculata Geyer ex Holz. "
"image","dig29403","Violaceae","Viola howellii","Howell's violet","Gerald D. Carr","","July 6, 2011","2011","Lane","NFD Road 2129, 3.9 mi. east-northeast of junction with NFS Road 21, ca. 14 air mi. south of Oakridge; 1064m","43.5302","-122.4067","1064","","","Viola howellii A. Gray "
"observation","369472","Violaceae","Viola sempervirens","redwoods violet, evergreen violet","Harvey, T.","","2004 - 2011","2004","Douglas","Hemlock Lake","43.1770","-122.7063","1356","","","Viola sempervirens Greene "
"image","dig29415","Violaceae","Viola praemorsa ssp. praemorsa","upland yellow violet, canary violet","Gerald D. Carr","","April 18, 2011","2011","Marion","Bush Pasture Park, Mission Street SE, Salem; 49m; 44.9299&#176; N -123.03555&#176; W","44.9299","-123.0356","49","","","Viola praemorsa Douglas ex Lindl. ssp. praemorsa "
"observation","337548","Violaceae","Viola purpurea","goosefoot violet","BLM Botanist","","16 July 2007","2007","Klamath","23S 10E 28","43.5516","-121.5360","","","","Viola purpurea Kellogg "
"image","dig14565","Violaceae","Viola lobata ssp. integrifolia","northern pine violet","Keir Morse","","March 27, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I010; 42.2952893155&#176; N -123.651201327&#176; W","42.2953","-123.6512","","","","Viola lobata Benth. ssp. integrifolia (S. Watson) R.J. Little "
"observation","368024","Violaceae","Viola glabella","stream violet, pioneer violet","Harvey, T.","","2004 - 2011","2004","Douglas","Donegan Prairie ","42.9181","-122.6095","1554","","","Viola glabella Nutt. ex Torr. & A. Gray "
"observation","185693","Violaceae","Viola sempervirens","redwoods violet, evergreen violet","Native Plant Society of Oregon","","12 July 2003","2003","Lane","Horsepasture Mountain","44.1209","-122.0910","1448","","","Viola sempervirens Greene "
"observation","385445","Violaceae","Viola glabella","stream violet, pioneer violet","Wilson, B.","","2010","2010","Benton","Avery Park, Corvallis","44.5553","-123.2748","75","","","Viola glabella Nutt. ex Torr. & A. Gray "
"image","dig26406","Violaceae","Viola primulifolia ssp. occidentalis","western bog violet","Gerald D. Carr","","May 12, 2010","2010","Josephine","Sensitive species - location undisclosed","42.2000","-123.7000","378","","","Viola primulifolia L. ssp. occidentalis (A. Gray) L.E. McKinney & R.J. Little "
"image","dig14558","Violaceae","Viola hallii","Hall's violet","Keir Morse","","April 6, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I013; 42.2991294711&#176; N -123.647395167&#176; W","42.2991","-123.6474","","","","Viola hallii A. Gray "
