"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","358432","Vitaceae","Vitis californica","western wild grape, California wild grape","Wilson, B.","","17 October 2008","2008","Douglas","Highway 42, Lookingglass Creek","43.1175","-123.4289","158","","","Vitis californica Benth. "
"observation","230475","Vitaceae","Parthenocissus vitacea","great woodbine","Wilson, B.","","2002 - 2003","2002","Umatilla","Hermiston - Wilson","45.8404","-119.2895","","","","Parthenocissus vitacea (Knerr) Hitchc. "
"image","dig22419","Vitaceae","Vitis californica","western wild grape, California wild grape","Gerald D. Carr","","June 8, 2009","2009","Douglas","between Cow Creek Road and Cow Creek, Island Creek BLM site, 6.9 mi. southwest of Riddle; 230m","42.9129","-123.4814","230","","","Vitis californica Benth. "
"observation","355468","Vitaceae","Vitis californica","western wild grape, California wild grape","Wilson, B., Otting, N.","","4 July 2008","2008","Douglas","Whistler's Bend Park","43.3172","-123.2160","194","","","Vitis californica Benth. "
"image","dig35989","Vitaceae","Parthenocissus vitacea","great woodbine","Gerald D. Carr","","May 27, 2013","2013","Benton","Corvallis; E shoulder of NW 4th St., 160 ft. N of jct. with NW Fillmore Ave.; 68m","44.5719","-123.2582","68","","","Parthenocissus vitacea (Knerr) Hitchc. "
"image","dig14576","Vitaceae","Vitis californica","western wild grape, California wild grape","Keir Morse","","August 22, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I278; 42.2977472383&#176; N -123.649746625&#176; W","42.2977","-123.6497","","","","Vitis californica Benth. "
"observation","309233","Vitaceae","Parthenocissus vitacea","great woodbine","Kimpo, A.","","17 August 2006","2006","Clackamas or Multnomah or Washington","Portland region misc. sites","45.6462","-122.7642","","","","Parthenocissus vitacea (Knerr) Hitchc. "
"image","dig22593","Vitaceae","Vitis riparia","riverbank grape","Bruce Neil Newhouse","","August 27, 2008","2008","Clackamas","Molalla State Park; 45.1535&#176; N -122.6951&#176; W","45.1535","-122.6951","","","","Vitis riparia Michx. "
"image","dig22420","Vitaceae","Vitis californica","western wild grape, California wild grape","Gerald D. Carr","","June 8, 2009","2009","Douglas","between Cow Creek Road and Cow Creek, Island Creek BLM site, 6.9 mi. southwest of Riddle; 230m; 42.91288&#176; N -123.48141&#176; W","42.9129","-123.4814","230","","","Vitis californica Benth. "
"observation","380919","Vitaceae","Vitis californica","western wild grape, California wild grape","Wilson, B., Otting, N.","","19 May 2010","2010","Jackson","Valley of the Rogue State Park","42.4108","-123.1510","321","","","Vitis californica Benth. "
"observation","352955","Vitaceae","Vitis californica","western wild grape, California wild grape","Wilson, B.","","19 June 2008","2008","Josephine","North end of Westside Road behind Kirby","42.2002","-123.6668","383","","","Vitis californica Benth. "
"observation","229522","Vitaceae","Parthenocissus vitacea","great woodbine","Wilson, B.","","2002 - 2012","2002","Wasco","The Dalles","45.5946","-121.1787","26","","","Parthenocissus vitacea (Knerr) Hitchc. "
"observation","358517","Vitaceae","Parthenocissus vitacea","great woodbine","Wilson, B., Otting, N.","","2008","2008","Crook","Prineville, from the Stafford Inn to Juniper Street","44.3043","-120.8318","889","","","Parthenocissus vitacea (Knerr) Hitchc. "
"observation","10094675","Vitaceae","Parthenocissus vitacea","great woodbine","R.E. Brainerd","","19 September 2011","2011","Benton","Unaccessioned specimen: Brainerd, R. #1992","44.5721","-123.2573","69","Gravel road shoulder in full sun.","","Parthenocissus vitacea (Knerr) Hitchc. "
"image","dig35987","Vitaceae","Parthenocissus vitacea","great woodbine","Gerald D. Carr","","May 27, 2013","2013","Benton","Corvallis; E shoulder of NW 4th St., 160 ft. N of jct. with NW Fillmore Ave.; 68m; 44.57191&#176; N -123.25816&#176; W","44.5719","-123.2582","68","","","Parthenocissus vitacea (Knerr) Hitchc. "
"observation","383069","Vitaceae","Parthenocissus vitacea","great woodbine","Wilson, B., Otting, N.","","22 July 2009","2009","Baker","Baker City, Leo Adler Parkway","44.7806","-117.8284","1049","","","Parthenocissus vitacea (Knerr) Hitchc. "
"image","dig22416","Vitaceae","Vitis californica","western wild grape, California wild grape","Gerald D. Carr","","June 6, 2009","2009","Douglas","between Cow Creek Road and Cow Creek, Island Creek BLM site, 6.9 mi. southwest of Riddle; 230m","42.9129","-123.4814","230","","","Vitis californica Benth. "
"image","dig14579","Vitaceae","Vitis californica","western wild grape, California wild grape","Keir Morse","","August 22, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I278; 42.2977472383&#176; N -123.649746625&#176; W","42.2977","-123.6497","","","","Vitis californica Benth. "
"observation","327314","Vitaceae","Vitis californica","western wild grape, California wild grape","Morse, K.","","31 May 2007","2007","Josephine","Deer Creek Center - North","42.2959","-123.6497","456","","","Vitis californica Benth. "
"image","dig39190","Vitaceae","Parthenocissus vitacea","great woodbine","Gerald D. Carr","","April 24, 2014","2014","Benton","E shoulder of NW 4th St., 160 ft. N of jct. with NW Fillmore Ave., Corvallis; 68m; 44.57191&#176; N -123.25816&#176; W","44.5719","-123.2582","68","","","Parthenocissus vitacea (Knerr) Hitchc. "
