TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
|Crocosmia Xcrocosmiiflora|||||
43198|Iris bracteata|S. Watson|Species        |Reviewed|accepted||
43203|Iris chrysophylla|Howell|Species        |Reviewed|accepted||
43205|Iris douglasiana|Herb.|Species        |Reviewed|accepted||
43206|Iris fernaldii|R.C. Foster|Species        |Reviewed|accepted||
503196|Iris foetidissima|L.|Species        |Reviewed|accepted||
43207|Iris germanica|L.|Species        |Reviewed|accepted||
43209|Iris hartwegii|Baker|Species        |Reviewed|accepted||
43217|Iris innominata|L.F. Hend.|Species        |Reviewed|accepted||
43219|Iris longipetala|Herb.|Species        |Reviewed|accepted||
43220|Iris macrosiphon|Torr.|Species        |Reviewed|accepted||
43221|Iris missouriensis|Nutt.|Species        |Reviewed|accepted||
43194|Iris pseudacorus|L.|Species        |Reviewed|accepted||
43225|Iris purdyi|Eastw.|Species        |Reviewed|accepted||
43226|Iris tenax|Douglas ex Lindl.|Species        |Reviewed|accepted||
43230|Iris tenuissima|Dykes|Species        |Reviewed|accepted||
43233|Iris thompsonii|R.C. Foster|Species        |Reviewed|not accepted|808597|Iris X thompsonii
808597|Iris X thompsonii|R.C. Foster|Species        |Reviewed|accepted||
507253|Olsynium douglasii|(A. Dietr.) E.P. Bicknell|Species        |Reviewed|accepted||
43313|Romulea rosea|(L.) Eckl.|Species        |Reviewed|accepted||
43242|Sisyrinchium bellum|S. Watson|Species        |Reviewed|accepted||
43253|Sisyrinchium californicum|(Ker Gawl.) W.T. Aiton|Species        |Reviewed|accepted||
43258|Sisyrinchium elmeri|Greene|Species        |Reviewed|accepted||
43263|Sisyrinchium halophilum|Greene|Species        |Reviewed|accepted||
43245|Sisyrinchium hitchcockii|Douglass M. Hend.|Species        |Reviewed|accepted||
43266|Sisyrinchium idahoense|E.P. Bicknell|Species        |Reviewed|accepted||
505300|Sparaxis tricolor|(Schneev.) Ker Gawl.|Species        |Reviewed|accepted||
505741|Watsonia meriana|(L.) Mill.|Species        |Reviewed|accepted||
821243|Cestrum elegans|(Brongn. ex Neumann) Schltdl.|Species        |Reviewed|accepted||
510718|Chamaesaracha nana|(A. Gray) A. Gray|Species        |Reviewed|not accepted|30530|Leucophysalis nana
30520|Datura stramonium|L.|Species        |Reviewed|accepted||
503599|Lycium barbarum|L.|Species        |Reviewed|accepted||
30570|Nicotiana acuminata|(Graham) Hook.|Species        |Reviewed|accepted||
30571|Nicotiana attenuata|Torr. ex S. Watson|Species        |Reviewed|accepted||
30574|Nicotiana glauca|Graham|Species        |Reviewed|accepted||
503955|Nicotiana quadrivalvis|Pursh|Species        |Reviewed|accepted||
30603|Physalis longifolia|Nutt.|Species        |Reviewed|accepted||
30621|Salpichroa origanifolia|(Lam.) Baill.|Species        |Reviewed|not accepted|821257|Salpichroa origanifolia
821257|Salpichroa origanifolia|(Lam.) Thell.|Species        |Reviewed|accepted||
30416|Solanum americanum|auct. non Mill.|Species        |Reviewed|not accepted|505270|Solanum ptychanthum
565523|Solanum americanum|Mill.|Species        |Reviewed|accepted||
30417|Solanum aviculare|G. Forst.|Species        |Reviewed|accepted||
30413|Solanum carolinense|L.|Species        |Reviewed|accepted||
30428|Solanum douglasii|Dunal|Species        |Reviewed|accepted||
30414|Solanum dulcamara|L.|Species        |Reviewed|accepted||
30429|Solanum elaeagnifolium|Cav.|Species        |Reviewed|accepted||
30432|Solanum furcatum|Dunal ex Poir.|Species        |Reviewed|accepted||
30448|Solanum nigrum|auct. non L.|Species        |Reviewed|not accepted|505270|Solanum ptychanthum
565525|Solanum nigrum|L.|Species        |Reviewed|accepted||
30449|Solanum parishii|A. Heller|Species        |Reviewed|accepted||
505268|Solanum physalifolium|Rusby|Species        |Reviewed|accepted||
30454|Solanum rostratum|Dunal|Species        |Reviewed|accepted||
30461|Solanum triflorum|Nutt.|Species        |Reviewed|accepted||
30463|Solanum umbelliferum|Eschsch.|Species        |Reviewed|accepted||
505276|Solanum xanti|A. Gray|Species        |Reviewed|accepted||
20719|Amaranthus albus|L.|Species        |Reviewed|accepted||
20723|Amaranthus blitoides|S. Watson|Species        |Reviewed|accepted||
20725|Amaranthus californicus|(Moq.) S. Watson|Species        |Reviewed|accepted||
20735|Amaranthus hybridus|L.|Species        |Reviewed|accepted||
20742|Amaranthus powellii|S. Watson|Species        |Reviewed|accepted||
20745|Amaranthus retroflexus|L.|Species        |Reviewed|accepted||
20705|Nitrophila occidentalis|(Moq.) S. Watson|Species        |Reviewed|accepted||
23030|Alyssum alyssoides|(L.) L.|Species        |Reviewed|accepted||
23032|Alyssum desertorum|Stapf|Species        |Reviewed|accepted||
823027|Alyssum simplex|Rudolphi|Species        |Reviewed|accepted||
23041|Arabidopsis thaliana|(L.) Heynh.|Species        |Reviewed|accepted||
22673|Arabis aculeolata|Greene|Species        |Reviewed|accepted||
22676|Arabis blepharophylla|Hook. & Arn.|Species        |Reviewed|accepted||
508988|Arabis eschscholtziana|Andrz.|Species        |Reviewed|accepted||
22702|Arabis holboellii|Hornem.|Species        |Reviewed|not accepted|509589|Boechera holboellii
823056|Arabis mcdonaldiana|Eastw.|Species        |Reviewed|accepted||
22713|Arabis modesta|Rollins|Species        |Reviewed|accepted||
22715|Arabis oregana|Rollins|Species        |Reviewed|accepted||
184350|Arabis pycnocarpa|M. Hopkins|Species        |Reviewed|accepted||
22728|Arabis repanda|S. Watson|Species        |Reviewed|not accepted|823147|Boechera repanda
22729|Arabis rigidissima|Rollins|Species        |Reviewed|not accepted|823146|Boechera rigidissima
23046|Athysanus pusillus|(Hook.) Greene|Species        |Reviewed|accepted||
500987|Aubrieta deltoidea|(L.) DC.|Species        |Reviewed|accepted||
22740|Barbarea orthoceras|Ledeb.|Species        |Reviewed|accepted||
22743|Barbarea verna|(Mill.) Asch.|Species        |Reviewed|accepted||
22741|Barbarea vulgaris|W.T. Aiton|Species        |Reviewed|accepted||
822986|Boechera acutina|(Greene) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823186|Boechera arcuata|(Nutt.) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823144|Boechera breweri|(S. Watson) Al-Shehbaz|Species        |Reviewed|accepted||
823028|Boechera cobrensis|(M.E. Jones) Dorn|Species        |Reviewed|accepted||
823160|Boechera covillei|(Greene) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823049|Boechera davidsonii|(Greene) N.H. Holmgren|Species        |Reviewed|accepted||
509584|Boechera divaricarpa|(A. Nelson) Á. Löve & D. Löve|Species        |Reviewed|accepted||
823153|Boechera howellii|(S. Watson) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823181|Boechera koehleri|(Howell) Al-Shehbaz|Species        |Reviewed|accepted||
509590|Boechera lemmonii|(S. Watson) W.A. Weber|Species        |Reviewed|accepted||
823057|Boechera lyallii|(S. Watson) Dorn|Species        |Reviewed|accepted||
823058|Boechera microphylla|(Nutt.) Dorn|Species        |Reviewed|accepted||
823103|Boechera pauciflora|(Nutt.) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823090|Boechera paupercula|(Greene) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
822991|Boechera pinetorum|(Tidestr.) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823154|Boechera pinzliae|(Rollins) Al-Shehbaz|Species        |Reviewed|accepted||
823145|Boechera platysperma|(A. Gray) Al-Shehbaz|Species        |Reviewed|accepted||
823151|Boechera pratincola|(Greene) Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823150|Boechera puberula|(Nutt.) Dorn|Species        |Reviewed|accepted||
509595|Boechera pulchra|(M.E. Jones ex S. Watson) W.A. Weber|Species        |Reviewed|accepted||
823148|Boechera rectissima|(Greene) Al-Shehbaz|Species        |Reviewed|accepted||
823147|Boechera repanda|(S. Watson) Al-Shehbaz|Species        |Reviewed|accepted||
509596|Boechera retrofracta|(Graham) Á. Löve & D. Löve|Species        |Reviewed|accepted||
823146|Boechera rigidissima|(Rollins) Al-Shehbaz|Species        |Reviewed|accepted||
823100|Boechera rollei|(Rollins) Al-Shehbaz|Species        |Reviewed|accepted||
823084|Boechera serpenticola|Windham & Al-Shehbaz|Species        |Reviewed|accepted||
823152|Boechera sparsiflora|(Nutt.) Dorn|Species        |Reviewed|accepted||
822989|Boechera stricta|(Graham) Al-Shehbaz|Species        |Reviewed|accepted||
823009|Boechera subpinnatifida|(S. Watson) Al-Shehbaz|Species        |Reviewed|accepted||
823004|Boechera suffrutescens|(S. Watson) Dorn|Species        |Reviewed|accepted||
823001|Boechera ultraalsa|Windham & Al-Shehbaz|Species        |Reviewed|accepted||
23061|Brassica nigra|(L.) W.D.J. Koch|Species        |Reviewed|accepted||
23062|Brassica oleracea|L.|Species        |Reviewed|accepted||
23063|Brassica rapa|L.|Species        |Reviewed|accepted||
23064|Brassica tournefortii|Gouan|Species        |Reviewed|accepted||
22755|Cakile edentula|(Bigelow) Hook.|Species        |Reviewed|accepted||
22764|Cakile maritima|Scop.|Species        |Reviewed|accepted||
22599|Camelina microcarpa|DC.|Species        |Reviewed|accepted||
22766|Capsella bursa-pastoris|(L.) Medik.|Species        |Reviewed|accepted||
22777|Cardamine angulata|Hook.|Species        |Reviewed|accepted||
22780|Cardamine bellidifolia|L.|Species        |Reviewed|accepted||
22781|Cardamine breweri|S. Watson|Species        |Reviewed|accepted||
22782|Cardamine californica|(Nutt.) Greene|Species        |Reviewed|accepted||
22789|Cardamine cordifolia|A. Gray|Species        |Reviewed|accepted||
22797|Cardamine hirsuta|L.|Species        |Reviewed|accepted||
501196|Cardamine nuttallii|Greene|Species        |Reviewed|accepted||
22804|Cardamine occidentalis|(S. Watson) Howell|Species        |Reviewed|accepted||
22805|Cardamine oligosperma|Nutt.|Species        |Reviewed|accepted||
507690|Cardamine pachystigma|(S. Watson) Rollins|Species        |Reviewed|accepted||
22772|Cardamine pensylvanica|Muhl. ex Willd.|Species        |Reviewed|accepted||
23088|Caulanthus lasiophyllus|(Hook. & Arn.) Payson|Species        |Reviewed|accepted||
23090|Caulanthus major|(M.E. Jones) Payson|Species        |Reviewed|accepted||
23099|Chorispora tenella|(Pall.) DC.|Species        |Reviewed|accepted||
22817|Cochlearia groenlandica|L.|Species        |Reviewed|accepted||
506906|Coincya monensis|(L.) Greuter & Burdet|Species        |Reviewed|accepted||
23103|Conringia orientalis|(L.) Dumort.|Species        |Reviewed|accepted||
501856|Cusickiella douglasii|(A. Gray) Rollins|Species        |Reviewed|accepted||
502003|Descurainia incana|(Bernh. ex Fisch. & C.A. Mey.) Dorn|Species        |Reviewed|accepted||
512191|Descurainia incisa|(Engelm. ex A. Gray) Britton|Species        |Reviewed|accepted||
|Descurainia longipedicellata|||||
823168|Descurainia nelsonii|(Rydb.) Al-Shehbaz & Goodson|Species        |Reviewed|accepted||
22826|Descurainia pinnata|(Walter) Britton|Species        |Reviewed|accepted||
22843|Descurainia sophia|(L.) Webb ex Prantl|Species        |Reviewed|accepted||
22853|Draba albertina|Greene|Species        |Reviewed|accepted||
22864|Draba aureola|S. Watson|Species        |Reviewed|accepted||
22867|Draba breweri|S. Watson|Species        |Reviewed|accepted||
502119|Draba carnosula|O.E. Schulz|Species        |Reviewed|accepted||
22875|Draba densifolia|Nutt.|Species        |Reviewed|accepted||
22883|Draba howellii|S. Watson|Species        |Reviewed|accepted||
22894|Draba nemorosa|L.|Species        |Reviewed|accepted||
512487|Draba novolympica|Payson & H. St. John|Species        |Reviewed|accepted||
502142|Draba pterosperma|Payson|Species        |Reviewed|accepted||
22908|Draba reptans|(Lam.) Fernald|Species        |Reviewed|accepted||
22923|Draba verna|L.|Species        |Reviewed|accepted||
502429|Eruca vesicaria|(L.) Cav.|Species        |Reviewed|accepted||
22932|Erysimum capitatum|(Douglas ex Hook.) Greene|Species        |Reviewed|accepted||
22937|Erysimum concinnum|Eastw.|Species        |Reviewed|accepted||
22939|Erysimum franciscanum|Rossbach|Species        |Reviewed|accepted||
22943|Erysimum menziesii|(Hook.) Wettst.|Species        |Reviewed|accepted||
22946|Erysimum perenne|(S. Watson ex Coville) Abrams|Species        |Reviewed|accepted||
22947|Erysimum repandum|L.|Species        |Reviewed|accepted||
23128|Euclidium syriacum|(L.) W.T. Aiton|Species        |Reviewed|accepted||
23138|Hesperis matronalis|L.|Species        |Reviewed|accepted||
503045|Hirschfeldia incana|(L.) Lagr.-Foss.|Species        |Reviewed|accepted||
823143|Hornungia procumbens|(L.) Hayek|Species        |Reviewed|accepted||
23147|Idahoa scapigera|(Hook.) A. Nelson & J.F. Macbr.|Species        |Reviewed|accepted||
503172|Ionopsidium acaule|(Desf.) Rchb.|Species        |Reviewed|accepted||
23151|Isatis tinctoria|L.|Species        |Reviewed|accepted||
515761|Lepidium acutidens|(A. Gray) Howell|Species        |Reviewed|accepted||
823092|Lepidium appelianum|Al-Shehbaz|Species        |Reviewed|accepted||
