family,ott_id
Malvaceae,279960
Loasaceae,392946
Polemoniaceae,814217
Violaceae,224730
Melanthiaceae,430236
Vitaceae,329895
Primulaceae,47346
Convolvulaceae,494850
Isoetaceae,113193
Aristolochiaceae,37785
Papaveraceae,438092
Adoxaceae,757494
Urticaceae,658494
Juncaceae,931271
Pinaceae,994067
Linaceae,1000257
Rubiaceae,1014022
Scrophulariaceae,23713
Solanaceae,473827
Brassicaceae,309271
Betulaceae,791138
Araliaceae,524079
Anacardiaceae,423320
Iridaceae,1087540
Oleaceae,23723
Polygonaceae,904376
Pteridaceae,164361
Nyctaginaceae,740464
Nymphaeaceae,583541
Caryophyllaceae,317818
Salicaceae,530183
Montiaceae,1061273
Plantaginaceae,1041309
Lycopodiaceae,719013
Dennstaedtiaceae,11446
Liliaceae,781605
Cupressaceae,620757
Typhaceae,225264
Araceae,481972
Juglandaceae,438186
Apiaceae,372831
Verbenaceae,1081077
Campanulaceae,1086303
Ericaceae,66730
Grossulariaceae,488526
Alismataceae,1058522
Cannabaceae,83996
Oxalidaceae,372826
Myricaceae,795388
Caprifoliaceae,69534
Crassulaceae,509332
Rosaceae,208036
Poaceae,508090
Onagraceae,1015483
Lamiaceae,544714
Equisetaceae,719032
Apocynaceae,524059
Cornaceae,737319
Orchidaceae,568878
Euphorbiaceae,914245
Limnanthaceae,721424
Rhamnaceae,329916
Berberidaceae,297866
Lauraceae,913246
Ranunculaceae,387826
Phrymaceae,738841
Cucurbitaceae,1006267
Aizoaceae,367508
Selaginellaceae,144818
Fagaceae,267713
Geraniaceae,948914
Fabaceae,560323
Simaroubaceae,552019
Ophioglossaceae,687370
Asteraceae,46248
Cyperaceae,105574
Sapindaceae,22442
Gentianaceae,816899
Amaryllidaceae,258473
Plumbaginaceae,532273
Boraginaceae,5261925
Dryopteridaceae,"mrcaott18537ott21809"
Saxifragaceae,"mrcaott44468ott182587"
Amaranthaceae,"mrcaott5200ott22343"
Orobanchaceae,"mrcaott8683ott33561"
Asparagaceae,"mrcaott3520ott4662"

