order, ott_id
"Nymphaeales", 927972
"Lamiales", 23736
"Myrtales", 648898
"Solanales", 1050255
"Ericales", 648892
"Isoetales", 113190
"Alismatales", 399481
"Dipsacales", 659705
"Selaginellales", 144821
"Geraniales", 648900
"Fabales", 956360
"Vitales", 1069308
"Ranunculales", 872975
"Asterales", 1042120
"Pinales", 4736806
"Fagales", 267709
"Apiales", 372834
"Equisetales", 719029
"Malpighiales", 429482
"Rosales", 208031
"Gentianales", 524062
"Boraginales", 5261925
"Cucurbitales", 11011
"Caryophyllales", 216628
"Poales", 921871
"Piperales", 1022514
"Malvales", 229284
"Ophioglossales", 687388
"Asparagales", 557124
"Laurales", 913244
"Liliales", 258488
"Brassicales", 8844
"Sapindales", "mrcaott96ott24291"
"Cornales", "mrcaott27233ott44289"
"Saxifragales", "mrcaott2464ott148590"
"Polypodiales", "mrcaott784ott46023"
