genus,species,score
Acanthospermum,hispidum,1.6546429280561253e-05
Achillea,filipendulina,0.00012607840624688122
Achillea,millefolium,0.023484556946284728
Achillea,ptarmica,4.963928784168377e-05
Achyrachaena,mollis,0.0007036893177850916
Acmella,repens,1.6546429280561253e-05
Acroptilon,repens,0.0004865563113112841
Adenocaulon,bicolor,0.008587120584559502
Ageratina,occidentalis,0.0026258969270959837
Ageratina,shastensis,0.00037657196903352364
Agoseris,apargioides,0.0009371739274440484
Agoseris,aurantiaca,0.007139063823035953
Agoseris,elata,0.0005655247331313774
Agoseris,glauca,0.0017811115589818106
Agoseris,gracillens,1.6546429280561253e-05
Agoseris,grandiflora,0.0061085447590277075
Agoseris,heterophylla,0.00464927122084669
Agoseris,hirsuta,5.254492591165447e-05
Agoseris,monticola,0.0007829315819447119
Agoseris,parviflora,0.0005859048469829089
Agoseris,retrorsa,0.0013342233124972501
Ambrosia,acanthicarpa,0.00021766541638948265
Ambrosia,artemisiifolia,0.0010426654126010836
Ambrosia,chamissonis,0.0041957188330641795
Ambrosia,confertiflora,1.7514975303884822e-05
Ambrosia,grayi,6.618571712224501e-05
Ambrosia,psilostachya,0.0002834900736200317
Ambrosia,trifida,0.00015943494861184697
Anaphalis,margaritacea,0.018702754436098097
Anaphalis,subalpina,1.6546429280561253e-05
Ancistrocarphus,filagineus,0.00033476219626248907
Anisocarpus,madioides,0.00511636648832566
Anisocarpus,scabridus,0.0007619014257189897
Antennaria,alpina,0.00020454080589077522
Antennaria,anaphaloides,0.0001534056044180814
Antennaria,argentea,0.0018004746600926613
Antennaria,carpatica,0.0005113520147269381
Antennaria,corymbosa,0.00010803606333530994
Antennaria,dimorpha,0.0013559272080626143
Antennaria,flagellaris,0.00036925966303487715
Antennaria,geyeri,0.0012896285936222162
Antennaria,howellii,0.0018488268243421822
Antennaria,lanata,0.0010913542062304547
Antennaria,luzuloides,0.0015755030083726403
Antennaria,media,0.001770862479679454
Antennaria,microphylla,0.0004578030855776248
Antennaria,neglecta,0.0002812436080998159
Antennaria,parvifolia,5.1135201472693805e-05
Antennaria,pulcherrima,5.1135201472693805e-05
Antennaria,racemosa,0.0035381552724788774
Antennaria,rosea,0.006444050193111525
Antennaria,sawyeri,8.757487651942411e-06
Antennaria,sieboldiana,1.6546429280561253e-05
Antennaria,stenophylla,0.00010979566077016321
Antennaria,suffrutescens,0.001003329229659947
Antennaria,umbrinella,0.000530430967123165
Anthemis,altissima,4.963928784168377e-05
Anthemis,arvensis,0.001137152076419155
Anthemis,cotula,0.00413006370347033
Aplopappus,bloomeri,0.00012783800368173451
Aplopappus,resinosus,2.5567600736346902e-05
Aplopappus,stenophyllus,2.5567600736346902e-05
Arctium,lappa,0.00022834880919226882
Arctium,minus,0.0025986133933015424
Arctium,tomentosum,3.309285856112251e-05
Arctotheca,calendula,0.00038339236463881895
Arctotheca,prostrata,2.6272462955827234e-05
Arnica,amplexicaulis,0.00026891358910003586
Arnica,aurantiaca,1.6546429280561253e-05
Arnica,betonicifolia,7.67028022090407e-05
Arnica,cernua,0.0018461991903990205
Arnica,chamissonis,0.0017886350681190738
Arnica,cordifolia,0.002744801771121201
Arnica,dealbata,7.88173888674817e-05
Arnica,discoidea,0.002367452836886093
Arnica,diversifolia,0.0001120473287916816
Arnica,fulgens,0.00046356874596754715
Arnica,gracilis,0.0004511956417984586
Arnica,hirticaulis,5.1135201472693805e-05
Arnica,lanceolata,0.002587885647001938
Arnica,latifolia,0.007437551075827404
Arnica,longifolia,0.0009050608018020528
Arnica,macounii,7.67028022090407e-05
Arnica,mollis,0.0038801925137718915
Arnica,nevadensis,0.0007592666444007964
Arnica,ovata,0.00047773690478582415
Arnica,parryi,0.0012800870796672655
Arnica,rydbergii,0.00043315329888688733
Arnica,sororia,0.00037011877790773894
Arnica,spathulata,0.001732437171949013
Arnica,venosa,0.00044663187024906293
Arnica,viscosa,0.0006412742640804734
Artemisia,abrotanum,3.309285856112251e-05
Artemisia,absinthium,0.0002692306093820102
Artemisia,annua,0.00010829974713915319
Artemisia,arbuscula,0.0011620808216771146
Artemisia,biennis,0.00042351857063136584
Artemisia,borealis,0.00035033496329203164
Artemisia,californica,7.88173888674817e-05
Artemisia,campestris,0.0011505420331356106
Artemisia,cana,0.0002481558657663885
Artemisia,douglasiana,0.003927673242765588
Artemisia,dracunculus,0.0003463857769024913
Artemisia,estesii,0.00023165000992785757
Artemisia,frigida,4.211403001690816e-05
Artemisia,furcata,0.00040908161178155044
Artemisia,ludoviciana,0.0033288420840466054
Artemisia,michauxiana,0.0002738958448868342
Artemisia,norvegica,0.0006083892411177849
Artemisia,nova,5.15763798883309e-05
Artemisia,pycnocephala,0.0005712255497607374
Artemisia,rigida,9.279599801135587e-05
Artemisia,rothrockii,1.6546429280561253e-05
Artemisia,scoparia,3.309285856112251e-05
Artemisia,serrata,1.6546429280561253e-05
Artemisia,spiciformis,2.5303916932503665e-05
Artemisia,stelleriana,5.1135201472693805e-05
Artemisia,suksdorfii,0.0029683793986793076
Artemisia,tilesii,0.0007234180784424888
Artemisia,tridentata,0.0030698253243661056
Artemisia,tripartita,4.7977066494683225e-05
Artemisia,vulgaris,0.0008327088193162786
Aster,chilensis,2.5567600736346902e-05
Aster,delectus,1.6546429280561253e-05
Aster,eatonii,5.1135201472693805e-05
Aster,engelmannii,2.5567600736346902e-05
Aster,foliaceus,0.0002812436080998159
Aster,glabratus,4.963928784168377e-05
Aster,hallii,5.1135201472693805e-05
Aster,humistratus,2.5567600736346902e-05
Aster,mucronatus,1.6546429280561253e-05
Aster,oregonus,1.6546429280561253e-05
Baccharis,douglasii,6.13653607972339e-05
Baccharis,glutinosa,0.0005867516726801416
Baccharis,pilularis,0.004954989539979588
Baccharis,salicifolia,0.00020339988148335289
Balsamorhiza,Balsamorhiza,7.67028022090407e-05
Balsamorhiza,careyana,0.0007834995229944286
Balsamorhiza,deltoidea,0.003817708922745469
Balsamorhiza,hirsuta,1.7514975303884822e-05
Balsamorhiza,hookeri,0.0009823598293272114
Balsamorhiza,incana,6.768163075325506e-05
