genus,species,score
Acacia,dealbata,0.0015162519880320357
Acacia,decurrens,8.883356960484603e-05
Acacia,melanoxylon,0.00051440329218107
Acacia,pycnantha,3.8103947568968146e-05
Acmispon,americanus,0.020092269641591554
Acmispon,brachycarpus,0.0030465004121715406
Acmispon,cytisoides,3.8103947568968146e-05
Acmispon,denticulatus,0.0036941511323244666
Acmispon,glaber,0.0006858710562414266
Acmispon,grandiflorus,0.0006096631611034903
Acmispon,heermannii,5.7155921353452216e-05
Acmispon,humistratus,0.00015838824125696908
Acmispon,junceus,0.00017146776406035664
Acmispon,maritimus,1.9051973784484073e-05
Acmispon,micranthus,0.00043819539704313367
Acmispon,nevadensis,0.008030527673844504
Acmispon,parviflorus,0.015711870675675844
Acmispon,rubriflorus,3.8103947568968146e-05
Acmispon,strigosus,1.9051973784484073e-05
Acmispon,wrangelianus,0.0007871033761449435
Albizia,julibrissin,5.7155921353452216e-05
Amorpha,californica,0.00044439477219246907
Amorpha,fruticosa,0.001720973531616871
Arachis,hypogaea,5.505395287381634e-05
Aragallus,luteolus,0.00011010790574763268
Astragalus,accidens,0.0028938028333035056
Astragalus,agnicidus,0.0006858710562414266
Astragalus,agrestis,3.1677648251393816e-05
Astragalus,alpinus,5.505395287381634e-05
Astragalus,andersonii,1.9051973784484073e-05
Astragalus,anxius,0.0002095717116293248
Astragalus,applegatei,0.0003027800464064693
Astragalus,arthurii,5.505395287381634e-05
Astragalus,australis,0.0006055934816119798
Astragalus,bolanderi,3.8103947568968146e-05
Astragalus,breweri,0.00019051973784484072
Astragalus,californicus,0.00047987526688000133
Astragalus,canadensis,0.00028754812078908587
Astragalus,caricinus,5.505395287381634e-05
Astragalus,cicer,0.00033032371724289804
Astragalus,clevelandii,0.0003619875019051974
Astragalus,collinus,0.0001417855539990265
Astragalus,columbianus,5.505395287381634e-05
Astragalus,conjunctus,0.0004211892957830733
Astragalus,convallarius,3.1677648251393816e-05
Astragalus,curvicarpus,0.0018880240039855936
Astragalus,cusickii,3.1677648251393816e-05
Astragalus,diaphanus,0.0001734632022504203
Astragalus,drummondii,3.1677648251393816e-05
Astragalus,filipes,0.0025891797436577483
Astragalus,gambelianus,0.0008472633010301351
Astragalus,gibbsii,0.0001333638164913885
Astragalus,hoodianus,0.0012789008378309666
Astragalus,hookerianus,5.505395287381634e-05
Astragalus,howellii,6.335529650278763e-05
Astragalus,inflexus,8.673160112521015e-05
Astragalus,inversus,0.0008573388203017832
Astragalus,iodanthus,6.335529650278763e-05
Astragalus,leibergii,5.505395287381634e-05
Astragalus,lemmonii,0.0005576808478267355
Astragalus,lentiginosus,0.0017530648251643916
Astragalus,lyallii,0.0001417855539990265
Astragalus,malacus,3.1677648251393816e-05
Astragalus,microcystis,5.505395287381634e-05
Astragalus,misellus,0.0002711023981550755
Astragalus,newberryi,3.1677648251393816e-05
Astragalus,nuttallii,0.00011431184270690443
Astragalus,obscurus,0.0003994106769694488
Astragalus,olympicus,0.00011010790574763268
Astragalus,peckii,0.0007285859097820578
Astragalus,pulsiferae,0.0005483033027907664
Astragalus,purshii,0.0049523939523982655
Astragalus,pycnostachyus,0.00019051973784484072
Astragalus,rattanii,0.0017337296143880507
Astragalus,reventiformis,0.0012662409160977758
Astragalus,reventus,0.00011840924937660397
Astragalus,robbinsii,8.673160112521015e-05
Astragalus,salmonis,3.1677648251393816e-05
Astragalus,sclerocarpus,0.0002601948033756305
Astragalus,sinuatus,0.00016516185862144902
Astragalus,spaldingii,3.1677648251393816e-05
Astragalus,speirocarpus,0.00016516185862144902
Astragalus,succumbens,3.1677648251393816e-05
Astragalus,sylvaticus,3.1677648251393816e-05
