genus,species,score
Abeliophyllum,distichum,0.0024509803921568627
Forsythia,intermedia,0.004901960784313725
Forsythia,suspensa,0.0024509803921568627
Fraxinus,caroliniana,0.0024509803921568627
Fraxinus,dipetala,0.02131782945736434
Fraxinus,excelsior,0.007352941176470588
Fraxinus,latifolia,0.7780496603139763
Fraxinus,ornus,0.007352941176470588
Fraxinus,pennsylvanica,0.0024509803921568627
Fraxinus,velutina,0.0029069767441860465
Ligustrum,iboleum,0.004901960784313725
Ligustrum,japonicum,0.010772913816689466
Ligustrum,lucidum,0.003419972640218878
Ligustrum,obtusifolium,0.00980392156862745
Ligustrum,ovalifolium,0.015617875056999544
Ligustrum,sinense,0.010422521729921714
Ligustrum,vulgare,0.08574063459839643
Menodora,spinescens,0.0009689922480620155
Osmanthus,armatus,0.007352941176470588
Osmanthus,heterophyllus,0.0024509803921568627
Phillyrea,latifolia,0.012254901960784314
Syringa,vulgaris,0.004606152805949966
