genus,species,score
Calypso,borealis,0.000393227685157508
Calypso,bulbosa,0.06523112945739303
Calypso,occidentalis,0.0009124087591240876
Cephalanthera,austiniae,0.028664818631046484
Chloraea,austinae,0.0002281021897810219
Coeloglossum,viride,0.0004562043795620438
Corallorhiza,maculata,0.08804364084084444
Corallorhiza,mertensiana,0.05768211749763535
Corallorhiza,striata,0.02583671231700964
Corallorhiza,trifida,0.0024702051364454912
Corallorhiza,wisteriana,0.00016512549537648613
Cypripedium,californicum,0.03479071198582341
Cypripedium,fasciculatum,0.05269008795683579
Cypripedium,montanum,0.03221180788439945
Epipactis,gigantea,0.025590300774031464
Epipactis,helleborine,0.008232778059254332
Goodyera,oblongifolia,0.09209845171679479
Habenaria,aggregata,0.00016512549537648613
Liparis,loeselii,0.0002281021897810219
Listera,banksiana,0.029880522215846698
Listera,convallarioides,0.016534095879139597
Listera,cordata,0.04650194799575117
Neottia,banksiana,0.016764705882352942
Neottia,convallarioides,0.003823529411764706
Neottia,cordata,0.00823529411764706
Phalaenopsis,barbara,0.00016512549537648613
Piperia,candida,0.011610817166372722
Piperia,colemanii,0.0007348618459729571
Piperia,elegans,0.00522516274239713
Piperia,elongata,0.0029394473838918285
Piperia,leptopetala,0.0005878894767783657
Piperia,maritima,0.0002281021897810219
Piperia,michaelii,0.00014697236919459142
Piperia,transversa,0.005291005291005291
Piperia,unalascensis,0.006613756613756613
Platanthera,aquilonis,0.0002281021897810219
Platanthera,dilatata,0.09930905451568085
Platanthera,elegans,0.02203273171594955
Platanthera,elongata,0.0047484406311097856
Platanthera,ephemerantha,0.001410824008126812
Platanthera,huronensis,0.002350076117961286
Platanthera,hyperborea,0.0011405109489051094
Platanthera,orbiculata,0.002052919708029197
Platanthera,purpurascens,0.0002281021897810219
Platanthera,sparsiflora,0.02651659952922246
Platanthera,stricta,0.07564431345628626
Platanthera,tescamnis,0.00102880658436214
Platanthera,transversa,0.010503175457572745
Platanthera,unalascensis,0.020610084467114716
Polystachya,concreta,0.0002281021897810219
Spiranthes,diluvialis,0.0002281021897810219
Spiranthes,porrifolia,0.012981568774192185
Spiranthes,romanzoffiana,0.04363797897079054
Spiranthes,stellata,0.0037462118268707747
