genus,species,score
Aphyllon,californicum,0.005607984568009238
Aphyllon,corymbosum,9.191176470588235e-05
Aphyllon,fasciculatum,0.004909651992861392
Aphyllon,ludovicianum,0.00024063276411099836
Aphyllon,minutum,0.000148720999405116
Aphyllon,pinorum,0.0025116352311299293
Aphyllon,purpureum,0.013231576092661932
Aphyllon,uniflorum,0.004693951866885957
Bellardia,trixago,0.0002947244326554671
Bellardia,viscosa,0.041425227087502736
Boschniakia,tuberosa,9.191176470588235e-05
Castilleja,affinis,0.011214725169466548
Castilleja,ambigua,0.013905066561497372
Castilleja,angustifolia,0.0001838235294117647
Castilleja,applegatei,0.048996447053622515
Castilleja,arachnoidea,0.02300145411834053
Castilleja,attenuata,0.01939447207054129
Castilleja,brevilobata,0.008972643360320845
Castilleja,brevistyla,7.368110816386678e-05
Castilleja,campestris,0.002171696485844559
Castilleja,cervina,0.000148720999405116
Castilleja,chambersii,0.0009191176470588235
Castilleja,chlorotica,0.0017898730373375404
Castilleja,chromosa,0.0016194674156134602
Castilleja,chrysantha,0.00024063276411099836
Castilleja,collegiorum,9.191176470588235e-05
Castilleja,cryptantha,0.001189767995240928
Castilleja,densiflora,0.0005157677571470675
Castilleja,eastwoodiana,9.191176470588235e-05
Castilleja,elata,0.006451033847078472
Castilleja,elmeri,0.001635930993456276
Castilleja,exserta,0.0033197262166061526
Castilleja,foliolosa,0.0015473032714412025
Castilleja,fraterna,0.000148720999405116
Castilleja,gleasoni,0.00022104332449160034
Castilleja,hispida,0.06039584156488591
Castilleja,lacera,0.008836423605693382
Castilleja,latifolia,0.0011052166224580018
Castilleja,lemmonii,7.368110816386678e-05
Castilleja,levisecta,0.006294780330335585
Castilleja,linariifolia,0.0013801934345798444
Castilleja,lineariloba,0.00014736221632773356
Castilleja,litoralis,0.010561030090210853
Castilleja,mendocinensis,0.011105341230214456
Castilleja,miniata,0.10243772780415122
Castilleja,minor,0.0004799067451446143
Castilleja,oreopola,0.000297441998810232
Castilleja,oresbia,9.191176470588235e-05
Castilleja,pallescens,0.000148720999405116
Castilleja,parviflora,0.03014599084452478
Castilleja,peckiana,0.0017463235294117648
Castilleja,peirsonii,7.368110816386678e-05
Castilleja,pilosa,0.009146344766907647
Castilleja,pruinosa,0.038737589789821024
Castilleja,pumicicola,9.191176470588235e-05
Castilleja,rhexiifolia,0.0004812655282219967
Castilleja,rubicundula,0.00348048425824795
Castilleja,rubida,0.001635930993456276
Castilleja,rupicola,0.012059617314199083
Castilleja,schizotricha,0.0049462597446877365
Castilleja,subinclusa,0.001989389920424403
Castilleja,suksdorfii,0.015050198462816354
Castilleja,tenuis,0.03387060086222204
Castilleja,thompsonii,0.004439923277460895
Castilleja,uliginosa,7.368110816386678e-05
Castilleja,victoriae,0.000148720999405116
Castilleja,viscidula,0.0022058823529411764
Castilleja,wightii,0.005599764220453876
Chloropyron,maritimum,0.004730029169050467
Cordylanthus,capitatus,0.0019035135891096282
Cordylanthus,pilosus,0.002136752136752137
Cordylanthus,pringlei,0.0022104332449160036
Cordylanthus,ramosus,0.0012756222441820818
Cordylanthus,tenuis,0.01840154975930838
Euphrasia,nemorosa,0.00536735180389824
Euphrasia,officinalis,0.000892325996430696
Euphrasia,stricta,0.0011065754055353842
Kopsiopsis,hookeri,0.007197084213177605
Kopsiopsis,strobilacea,0.012626829025155597
Melampyrum,lineare,0.000297441998810232
Odontites,vulgaris,0.000148720999405116
Orobanche,bulbosa,0.00022104332449160034
Orobanche,californica,0.002799882110226938
Orobanche,corymbosa,0.001277139208173691
Orobanche,fasciculata,0.008055801159249434
Orobanche,minor,0.0019735604682086993
Orobanche,pinorum,0.002259553983691915
Orobanche,uniflora,0.014915074232416566
Orobanche,valida,0.0005157677571470675
Orobanche,vallicola,7.368110816386678e-05
Orthocarpus,barbatus,0.000148720999405116
Orthocarpus,bracteosus,0.012574686100568382
Orthocarpus,castilloides,0.000297441998810232
Orthocarpus,cuspidatus,0.015049700435729847
Orthocarpus,imbricatus,0.03061369362703372
Orthocarpus,luteus,0.0013675340088879643
Orthocarpus,olympicus,0.000297441998810232
Orthocarpus,pachystachyus,0.0008104921898025346
Orthocarpus,tenuifolius,0.00038935376351611437
Parentucellia,viscosa,0.008768051871500147
Pedicularis,attollens,0.00637811122091041
Pedicularis,aurantiaca,0.0007352941176470588
Pedicularis,bracteosa,0.04007748406353717
Pedicularis,centranthera,0.00045955882352941176
Pedicularis,contorta,0.013739187547045823
Pedicularis,densiflora,0.011801140106794264
Pedicularis,groenlandica,0.04496338053608233
Pedicularis,howellii,0.0029639580191050782
Pedicularis,nemorensis,9.191176470588235e-05
Pedicularis,ornithorhyncha,0.006841165972635336
Pedicularis,palustris,0.000148720999405116
Pedicularis,racemosa,0.06080993756179477
Pedicularis,rainierensis,0.003866745984533016
Pedicularis,semibarbata,0.0022468945580000343
Pedicularis,surrecta,0.000297441998810232
Rhinanthus,minor,0.004069050285194387
Triphysaria,eriantha,0.010313521817121286
Triphysaria,pusilla,0.03344970814598586
Triphysaria,versicolor,0.005671928364626134
