genus,species,score
Oxalis,acetosella,0.001953125
Oxalis,albicans,0.0018867924528301887
Oxalis,articulata,0.00910865322055953
Oxalis,corniculata,0.09004634201598662
Oxalis,debilis,0.005233990147783251
Oxalis,deppei,0.001953125
Oxalis,dillenii,0.022979525862068965
Oxalis,exilis,0.00390625
Oxalis,hirta,0.0009433962264150943
Oxalis,incarnata,0.00274886141834743
Oxalis,latifolia,0.001953125
Oxalis,oregana,0.4874389319407008
Oxalis,pes-caprae,0.030107351984385168
Oxalis,pilosa,0.006603773584905661
Oxalis,rubra,0.0028151939655172414
Oxalis,stricta,0.013671875
Oxalis,suksdorfii,0.17213633643926016
Oxalis,trilliifolia,0.1425602257412399
Oxalis,vespertilionis,0.001953125
