genus,species,score
Antirrhinum,cornutum,0.0005379236148466917
Antirrhinum,majus,0.0005069881122638154
Antirrhinum,orontium,0.0006218905472636816
Antirrhinum,subcordatum,0.0015689438766361844
Antirrhinum,vexillocalyculatum,0.004138599632285051
Antirrhinum,virga,0.0009861932938856016
Bacopa,repens,4.482696790389098e-05
Bacopa,rotundifolia,4.482696790389098e-05
Callitriche,brutia,5.5617352614015575e-05
Callitriche,fassettii,0.0007372329436459336
Callitriche,hermaphroditica,0.0017337858391409957
Callitriche,heterophylla,0.009152343177665723
Callitriche,marginata,0.0008723153209819731
Callitriche,palustris,0.006877112780344698
Callitriche,stagnalis,0.008369069597455502
Callitriche,stenoptera,5.5617352614015575e-05
Callitriche,trochlearis,0.0005045746221041134
Callitriche,verna,0.0001243781094527363
Chaenorhinum,minus,0.0005102040816326531
Chelone,nemorosa,0.00042517006802721087
Collinsia,bartsiifolia,8.965393580778196e-05
Collinsia,bicolor,8.503401360544217e-05
Collinsia,childii,0.0005102040816326531
Collinsia,concolor,4.482696790389098e-05
Collinsia,corymbosa,0.0018827326519634212
Collinsia,grandiflora,0.020996581321588895
Collinsia,greenei,0.004975793437331899
Collinsia,heterophylla,0.0008517123901739287
Collinsia,latifolia,0.0005561735261401557
Collinsia,linearis,0.010666429693183491
Collinsia,multiflora,0.00011123470522803115
Collinsia,parviflora,0.054188655719259494
Collinsia,pusilla,0.00017006802721088434
Collinsia,rattanii,0.012639937382322858
Collinsia,sparsiflora,0.0060368013197095605
Collinsia,tinctoria,0.0005379236148466917
Collinsia,torreyi,0.005218178188144818
Cymbalaria,muralis,0.001530028821793057
Digitalis,lutea,8.503401360544217e-05
Digitalis,purpurea,0.04805862511520604
Gratiola,ebracteata,0.009223289122690312
Gratiola,heterosepala,0.0016585978124439662
Gratiola,neglecta,0.003911744387578343
Hebe,buxifolia,5.5617352614015575e-05
Hebe,franciscana,5.5617352614015575e-05
Hippuris,montana,0.001445578231292517
Hippuris,vulgaris,0.007545835721970141
Keckiella,breviflora,0.0005827505827505828
Keckiella,corymbosa,0.01053433745741438
Keckiella,lemmonii,0.006770247334389914
Kickxia,elatine,0.007318727567227304
Kickxia,spuria,0.0011301964955341777
Linaria,bipartita,8.503401360544217e-05
Linaria,dalmatica,0.025466594299996384
Linaria,genistifolia,0.004213734982965752
Linaria,grandiflora,0.00025510204081632655
Linaria,maroccana,0.0004612981945056674
