genus,species,score
Populus,alba,0.008629616904268764
Populus,balsamifera,0.00011563367252543941
Populus,canadensis,0.00028011204481792715
Populus,canescens,0.00046253469010175765
Populus,deltoides,0.0018046931161845269
Populus,fremontii,0.0025292370639126392
Populus,grandidentata,0.00011563367252543941
Populus,hastata,0.0003469010175763182
Populus,nigra,0.0062810220877126555
Populus,tremuloides,0.02418527713141028
Populus,trichocarpa,0.10763840808784289
Salix,alba,0.001224308108070418
Salix,amygdaloides,0.006227407061897233
Salix,arctica,0.0010407030527289547
Salix,babylonica,7.532389273877674e-05
Salix,barclayi,0.009853284514545873
Salix,bebbiana,0.002469799742278016
Salix,boothii,0.01852048965233134
Salix,brachycarpa,0.00023126734505087883
Salix,breweri,0.0013558300692979813
Salix,cascadensis,0.0009494917300870394
Salix,cinerea,0.00023126734505087883
Salix,columbiana,0.00011563367252543941
Salix,commutata,0.01371622482627919
Salix,delnortensis,0.010525924424941728
Salix,drummondiana,0.00011563367252543941
Salix,eastwoodiae,0.016183890666655494
Salix,eriocephala,0.0027328415177356787
Salix,euxina,0.00014005602240896358
Salix,exigua,0.054030231363752866
Salix,fluviatilis,0.00023126734505087883
Salix,geyeriana,0.025802946236542536
Salix,glauca,0.00046253469010175765
Salix,gooddingii,0.0006779150346489907
Salix,hookeriana,0.10112084407461422
Salix,interior,0.00011563367252543941
Salix,jepsonii,0.0015064778547755348
Salix,laevigata,0.0058540801074874055
Salix,lasiandra,0.09318901245138769
Salix,lasiolepis,0.07679833409662783
Salix,lemmonii,0.01562869785586313
Salix,ligulifolia,0.0018365667590763731
Salix,lucida,0.0006758577621612937
Salix,lutea,0.0019701945255354326
Salix,matsudana,0.00011563367252543941
Salix,melanopsis,0.03495844906881465
Salix,monochroma,0.00013827433628318584
Salix,myrtillifolia,0.0004201680672268908
Salix,nigra,0.00011563367252543941
Salix,nivalis,0.0024283071230342275
Salix,nuttallii,0.00011563367252543941
Salix,orestera,0.0007214636381819978
Salix,pedicellaris,0.0037340926522303926
Salix,pentandra,0.00023126734505087883
Salix,petrophila,0.00015064778547755348
Salix,phylicifolia,0.0006938020351526364
Salix,planifolia,0.004044731613175522
Salix,prolixa,0.02429558758756554
Salix,pseudomonticola,0.00011563367252543941
Salix,purpurea,0.0005728726957926484
Salix,rubens,0.0003713233674598424
Salix,scouleriana,0.15942411395561712
Salix,sepulcralis,0.0006270130623942454
Salix,sessilifolia,0.015025381964062553
Salix,sitchensis,0.12593440902056957
Salix,smithiana,0.00011563367252543941
Salix,tracyi,0.003970982789017988
Salix,tweedyi,0.00011563367252543941
Salix,viminalis,0.0006938020351526364
Salix,wolfii,0.00046253469010175765
Salix,×fragilis,0.001364314738936597
Salix,×pendulina,0.0010436177573695806
